iter	RMSE
0	72682.4991
1	70623.42953
2	68497.14333
3	66421.96824
4	64765.58649
5	62829.1217
6	60981.7131
7	59132.55094
8	57567.80835
9	55999.50991
10	54402.18416
11	52915.23946
12	51422.99892
13	50156.04113
14	48893.6465
15	47680.65833
16	46539.80221
17	45382.11589
18	44332.40971
19	43264.40693
20	42204.60286
21	41281.13943
22	40350.63538
23	39420.44956
24	38550.19064
25	37763.2767
26	36950.04119
27	36179.2492
28	35422.56284
29	34674.10507
30	33970.10106
31	33361.31177
32	32799.524
33	32267.5644
34	31743.56983
35	31232.98729
36	30701.65631
37	30239.51867
38	29755.77645
39	29282.53398
40	28844.24246
41	28434.67408
42	28038.51396
43	27672.07618
44	27290.02703
45	26951.37289
46	26595.58706
47	26257.22818
48	25915.73119
49	25607.05298
50	25287.89562
51	25006.5363
52	24733.45464
53	24490.5654
54	24231.60058
55	24007.94101
56	23774.0295
57	23580.2821
58	23345.34522
59	23145.93154
60	22973.57145
61	22778.8249
62	22583.26037
63	22409.13462
64	22253.61891
65	22110.25749
66	21985.14254
67	21836.43865
68	21682.09676
69	21540.69412
70	21420.63615
71	21277.57737
72	21159.55813
73	21040.8982
74	20940.80334
75	20833.97966
76	20689.13764
77	20590.92037
78	20480.58118
79	20359.02594
80	20233.58432
81	20113.98198
82	20021.47094
83	19929.57782
84	19830.17888
85	19727.88553
86	19642.29452
87	19557.64998
88	19463.5933
89	19393.23104
90	19307.57003
91	19214.50256
92	19120.2669
93	19029.69948
94	18949.97639
95	18862.49146
96	18788.47087
97	18739.57739
98	18674.78908
99	18575.05019
100	18508.17861
101	18422.87685
102	18372.57312
103	18284.48896
104	18213.54085
105	18161.94255
106	18086.76134
107	18050.16148
108	17992.60407
109	17935.4792
110	17866.33179
111	17831.23474
112	17751.39364
113	17699.70647
114	17659.20412
115	17617.0414
116	17578.52077
117	17551.27379
118	17511.94171
119	17458.40971
120	17408.64611
121	17371.17551
122	17329.82751
123	17279.72311
124	17237.55868
125	17190.1531
126	17115.3791
127	17050.24897
128	16998.78733
129	16960.93644
130	16891.13889
131	16852.9793
132	16801.57473
133	16741.28279
134	16705.85418
135	16672.32762
136	16651.58976
137	16615.67798
138	16581.37262
139	16538.85873
140	16505.09952
141	16469.84519
142	16438.15194
143	16397.51623
144	16370.9479
145	16326.81124
146	16289.56987
147	16238.81535
148	16210.95285
149	16176.64639
150	16142.03495
151	16105.55936
152	16083.60604
153	16058.22804
154	16027.11235
155	15990.70388
156	15953.35275
157	15927.49658
158	15893.20869
159	15871.03071
160	15845.01599
161	15796.67345
162	15765.8744
163	15731.22375
164	15710.33304
165	15681.79896
166	15652.23204
167	15621.7635
168	15596.97023
169	15571.22323
170	15522.74544
171	15486.28356
172	15455.02458
173	15427.95325
174	15392.56716
175	15354.62517
176	15320.46996
177	15293.36715
178	15260.80351
179	15232.27782
180	15202.69
181	15179.61829
182	15160.58014
183	15109.08373
184	15087.38082
185	15061.099
186	15040.48381
187	15023.67406
188	14980.58868
189	14943.20271
190	14920.31883
191	14888.10681
192	14873.92242
193	14848.13925
194	14807.61618
195	14780.29396
196	14755.12092
197	14729.98431
198	14691.85811
199	14670.909
200	14630.29578
201	14601.20986
202	14564.6276
203	14530.20263
204	14495.75683
