iter	Passed	Remaining
0	4	4742
1	12	6036
2	16	5489
3	21	5291
4	29	5854
5	37	6228
6	41	5910
7	49	6084
8	58	6437
9	63	6281
10	71	6398
11	79	6539
12	83	6356
13	93	6567
14	98	6494
15	104	6427
16	108	6283
17	119	6543
18	124	6429
19	131	6429
20	135	6323
21	139	6217
22	149	6337
23	153	6254
24	162	6336
25	172	6444
26	178	6438
27	184	6388
28	190	6388
29	194	6287
30	201	6283
31	211	6399
32	217	6382
33	223	6344
34	229	6333
35	234	6286
36	239	6229
37	243	6157
38	248	6114
39	254	6110
40	259	6061
41	265	6045
42	270	6009
43	276	6016
44	281	5978
45	286	5933
46	293	5956
47	300	5960
48	304	5918
49	308	5870
50	314	5846
51	318	5807
52	322	5765
53	326	5728
54	336	5773
55	344	5799
56	348	5765
57	354	5754
58	362	5785
59	369	5790
60	374	5759
61	382	5783
62	386	5751
63	390	5714
64	394	5681
65	404	5723
66	410	5721
67	417	5719
68	424	5722
69	430	5717
70	434	5686
71	441	5693
72	447	5677
73	453	5671
74	459	5667
75	468	5694
76	473	5674
77	482	5703
78	493	5748
79	501	5770
80	512	5812
81	518	5800
82	525	5807
83	529	5778
84	535	5767
85	540	5740
86	544	5712
87	551	5713
88	557	5710
89	562	5682
90	565	5651
91	573	5664
92	582	5676
93	586	5654
94	590	5629
95	603	5683
96	608	5664
97	612	5640
98	617	5616
99	622	5606
100	630	5607
101	635	5593
102	641	5590
103	646	5572
104	654	5577
105	664	5604
106	669	5590
107	681	5627
108	687	5616
109	691	5591
110	699	5602
111	706	5600
112	710	5579
113	715	5559
114	723	5566
115	729	5559
116	733	5538
117	741	5541
118	747	5532
119	754	5533
120	760	5525
121	768	5527
122	771	5503
123	776	5485
124	783	5483
125	787	5465
126	791	5443
127	797	5436
128	802	5417
129	806	5398
130	813	5394
131	820	5392
132	824	5376
133	829	5361
134	834	5345
135	841	5346
136	845	5328
137	850	5315
138	855	5296
139	861	5291
140	870	5302
141	878	5305
142	884	5299
143	888	5282
144	896	5285
145	901	5272
146	907	5264
147	912	5255
148	917	5239
149	922	5225
150	926	5210
151	930	5192
152	937	5188
153	948	5208
154	955	5208
155	959	5192
156	966	5188
157	973	5188
158	981	5189
159	988	5190
160	992	5174
161	1000	5174
162	1009	5182
163	1013	5165
164	1017	5151
165	1023	5141
166	1028	5128
167	1033	5120
168	1041	5123
169	1048	5117
170	1053	5108
171	1058	5094
172	1062	5077
173	1066	5062
174	1071	5050
175	1075	5035
176	1081	5027
177	1086	5015
178	1095	5023
179	1102	5021
180	1106	5007
181	1115	5014
182	1120	5003
183	1125	4990
184	1132	4987
185	1138	4984
186	1143	4969
187	1150	4967
188	1155	4958
189	1160	4947
190	1166	4941
191	1172	4934
192	1176	4920
193	1181	4906
194	1186	4899
195	1194	4900
196	1199	4889
197	1207	4890
198	1211	4877
199	1215	4863
200	1226	4874
201	1232	4868
202	1237	4858
203	1247	4867
204	1253	4861
205	1259	4852
206	1264	4844
207	1268	4830
208	1277	4836
209	1282	4824
210	1290	4825
211	1295	4815
212	1299	4802
213	1307	4803
214	1313	4795
215	1319	4790
216	1327	4788
217	1332	4781
218	1337	4769
219	1341	4757
220	1349	4755
221	1353	4744
222	1360	4740
223	1365	4731
224	1374	4733
225	1378	4719
226	1384	4714
227	1389	4706
228	1398	4708
229	1405	4706
230	1415	4712
231	1423	4712
232	1428	4700
233	1435	4697
234	1442	4696
235	1446	4684
236	1451	4674
237	1455	4660
238	1459	4647
239	1463	4635
240	1469	4627
241	1475	4621
242	1480	4612
243	1486	4605
244	1492	4600
245	1499	4596
246	1505	4588
247	1510	4579
248	1514	4567
249	1521	4565
250	1528	4559
251	1534	4555
252	1540	4549
253	1545	4538
254	1550	4530
255	1555	4520
256	1562	4516
257	1568	4511
258	1573	4502
259	1577	4490
260	1582	4480
261	1587	4470
262	1592	4463
263	1597	4452
264	1605	4452
265	1609	4441
266	1615	4435
267	1622	4430
268	1626	4420
269	1632	4412
270	1635	4400
271	1643	4398
