iter	RMSE
0	73226.96596
1	71072.36508
2	68976.59393
3	66849.6335
4	65036.58243
5	62972.67311
6	61005.07375
7	59209.11566
8	57582.9552
9	56049.32324
10	54451.14261
11	53015.71583
12	51608.7791
13	50268.10486
14	49002.34242
15	47775.88213
16	46629.92349
17	45439.35574
18	44375.02577
19	43380.26668
20	42425.7941
21	41391.06876
22	40554.03885
23	39674.32945
24	38878.19841
25	38124.36277
26	37365.81615
27	36689.34634
28	35975.55416
29	35288.06506
30	34632.98681
31	34028.17663
32	33442.45214
33	32896.91951
34	32339.23391
35	31871.78965
36	31343.74323
37	30913.25747
38	30460.14094
39	30006.69116
40	29614.48317
41	29269.06098
42	28878.89635
43	28495.80276
44	28145.26722
45	27845.19664
46	27511.04516
47	27211.83591
48	26918.48143
49	26581.37788
50	26284.08905
51	25982.75034
52	25689.77755
53	25421.44425
54	25157.69325
55	24927.00436
56	24686.03266
57	24484.30626
58	24264.06724
59	24075.03796
60	23841.91472
61	23673.47436
62	23489.95827
63	23292.96589
64	23086.18134
65	22921.04226
66	22763.05671
67	22616.29062
68	22449.56527
69	22303.75335
70	22177.47409
71	22047.91688
72	21922.35227
73	21812.94261
74	21665.15782
75	21547.11234
76	21413.21054
77	21308.43863
78	21208.13327
79	21103.02422
80	20976.49978
81	20829.67705
82	20737.89821
83	20657.68577
84	20532.04691
85	20435.98889
86	20323.05939
87	20218.75304
88	20126.47045
89	20022.4944
90	19938.23393
91	19835.62622
92	19734.0434
93	19632.15686
94	19548.60183
95	19477.74398
96	19406.5492
97	19340.03574
98	19279.17582
99	19179.80549
100	19096.21867
101	19033.02395
102	18987.0043
103	18911.90888
104	18848.8757
105	18797.06452
106	18729.42083
107	18671.32694
108	18586.86997
109	18523.4283
110	18470.68143
111	18419.71744
112	18351.65949
113	18297.85481
114	18250.81269
115	18198.36201
116	18152.99254
117	18106.23333
118	18048.25684
119	17998.60111
120	17961.67584
121	17909.8885
122	17853.95167
123	17800.47815
124	17749.02955
125	17691.81137
126	17633.81964
127	17582.63108
128	17545.76004
129	17504.26352
130	17470.172
131	17427.81079
132	17382.54206
133	17325.29585
134	17261.05092
135	17193.91969
136	17163.13226
137	17118.08671
138	17084.95544
139	17054.66101
140	16996.88107
141	16968.93663
142	16931.96796
143	16893.08106
144	16851.00513
145	16811.50309
146	16769.74007
147	16729.12448
148	16698.34319
149	16659.0516
150	16631.56534
151	16604.86213
152	16559.57393
153	16518.26149
154	16488.13983
155	16456.21041
156	16406.65626
157	16365.27509
158	16307.64653
159	16282.6412
160	16250.43742
161	16203.85682
162	16169.84413
163	16131.22762
164	16095.01631
165	16058.1395
166	16016.61107
167	15985.36275
168	15960.04674
169	15919.48967
170	15879.34005
171	15830.47862
172	15796.44539
173	15761.0004
174	15732.42959
175	15690.57903
176	15642.48426
177	15621.38123
178	15594.53899
179	15546.88699
180	15505.50632
181	15486.16542
182	15461.3176
183	15444.83836
184	15419.56021
185	15394.73423
186	15367.53084
187	15342.7141
188	15317.64652
189	15287.97168
190	15259.59383
191	15243.9063
192	15219.73795
193	15193.07418
194	15157.47992
195	15123.45741
196	15094.98652
197	15072.17455
198	15059.85179
199	15040.62289
200	15009.77609
201	14990.79521
202	14973.75618
203	14940.19029
204	14907.32461
205	14877.75112
206	14846.89851
207	14824.14951
208	14792.43177
209	14782.16685
210	14765.93433
211	14747.20127
212	14721.50693
213	14709.65991
214	14675.04554
215	14642.2714
216	14615.07076
217	14596.76493
218	14574.25717
219	14548.12786
220	14521.25999
221	14513.57287
222	14505.6609
223	14472.12809
224	14451.32491
225	14429.2276
226	14384.4009
227	14360.98805
228	14354.50463
229	14325.99635
230	14319.73574
231	14289.80348
232	14282.55636
233	14265.49492
234	14258.9372
235	14225.71191
236	14196.57836
237	14168.92787
238	14163.2157
239	14138.17264
240	14125.86431
241	14094.28767
242	14086.67967
243	14073.20539
244	14048.2772
245	14016.9381
246	13983.98784
247	13951.38022
248	13918.64079
249	13913.43017
250	13904.35682
251	13876.94899
252	13849.61744
253	13842.8376
254	13813.88036
255	13781.9966
256	13777.16323
257	13766.8526
258	13743.96716
259	13717.52635
260	13684.31062
261	13645.37069
262	13639.00833
263	13611.15174
264	13584.44476
265	13557.86426
266	13530.89618
267	13525.01572
268	13488.58133
269	13461.17339
270	13443.99575
271	13415.42618
272	13394.3816
273	13371.89643
274	13345.00955
275	13339.96634
276	13333.93585
277	13315.71911
278	13292.23651
279	13262.09834
280	13226.95597
281	13216.04706
282	13191.0841
283	13167.47306
284	13145.5716
285	13106.3606
286	13078.00338
287	13052.79868
288	13028.90147
289	13016.96884
290	12991.30604
291	12971.35178
292	12957.49835
293	12952.99779
294	12929.04947
295	12924.54292
296	12904.75533
297	12874.68263
298	12870.06474
299	12850.40428
300	12826.80131
301	12794.34087
302	12768.87029
303	12746.93475
304	12716.85764
305	12699.86051
306	12691.39457
307	12671.1095
308	12664.87302
309	12643.90604
310	12622.27871
311	12593.44237
312	12578.7525
