iter	Passed	Remaining
0	4	4524
1	9	4614
2	19	6424
3	27	6730
4	33	6722
5	38	6324
6	43	6201
7	47	5872
8	53	5908
9	58	5801
10	65	5923
11	70	5806
12	77	5912
13	85	6018
14	89	5888
15	96	5941
16	101	5881
17	109	5990
18	114	5913
19	121	5965
20	126	5889
21	132	5881
22	137	5838
23	145	5921
24	152	5944
25	158	5955
26	163	5905
27	169	5892
28	174	5833
29	181	5883
30	187	5866
31	194	5878
32	199	5833
33	204	5802
34	211	5834
35	217	5819
36	224	5834
37	227	5768
38	232	5730
39	238	5723
40	244	5725
41	248	5669
42	257	5736
43	265	5769
44	271	5766
45	276	5728
46	286	5810
47	293	5812
48	300	5830
49	306	5816
50	312	5812
51	320	5834
52	324	5805
53	333	5836
54	337	5804
55	348	5870
56	357	5907
57	362	5894
58	370	5901
59	375	5886
60	387	5969
61	392	5932
62	396	5891
63	403	5902
64	414	5956
65	427	6047
66	436	6084
67	440	6044
68	445	6007
69	453	6031
70	459	6013
71	465	5998
72	469	5956
73	473	5928
74	489	6037
75	507	6169
76	514	6171
77	519	6136
78	534	6226
79	540	6212
80	552	6266
81	558	6254
82	562	6214
83	566	6174
84	573	6177
85	577	6135
86	584	6129
87	587	6088
88	591	6049
89	594	6010
90	597	5970
91	603	5952
92	608	5932
93	618	5961
94	621	5922
95	628	5918
96	631	5879
97	636	5857
98	639	5823
99	643	5787
100	647	5761
101	651	5733
102	654	5697
103	658	5671
104	664	5667
105	668	5637
106	672	5610
107	677	5594
108	680	5560
109	683	5527
110	686	5498
111	690	5474
112	694	5447
113	698	5427
114	701	5401
115	706	5383
116	711	5367
117	714	5341
118	718	5316
119	722	5296
120	726	5279
121	730	5258
122	736	5254
123	741	5237
124	744	5208
125	748	5190
126	754	5183
127	760	5178
128	765	5167
129	771	5160
130	776	5149
131	780	5130
132	786	5127
133	790	5109
134	794	5090
135	800	5088
136	804	5070
137	809	5058
138	812	5033
139	822	5051
140	826	5033
141	834	5039
142	841	5041
143	848	5044
144	852	5026
145	856	5007
146	860	4995
147	864	4974
148	867	4955
149	871	4936
150	877	4931
151	882	4920
152	887	4911
153	889	4888
154	893	4872
155	899	4868
156	903	4850
157	907	4834
158	914	4837
159	918	4822
160	921	4802
161	925	4788
162	928	4769
163	932	4751
164	936	4740
165	942	4733
166	947	4725
167	951	4710
168	954	4694
169	958	4679
170	964	4674
171	969	4666
172	972	4649
173	975	4632
174	979	4618
175	983	4604
176	987	4591
177	990	4576
178	995	4565
179	1000	4556
180	1005	4549
181	1008	4532
182	1011	4517
183	1015	4502
184	1018	4488
185	1022	4474
186	1026	4461
187	1031	4453
188	1034	4437
189	1044	4451
190	1047	4436
191	1050	4422
192	1055	4414
193	1061	4411
194	1066	4403
195	1070	4390
196	1073	4376
197	1079	4371
198	1082	4357
199	1087	4349
200	1091	4337
201	1095	4328
202	1099	4316
203	1103	4305
204	1109	4302
205	1113	4291
206	1121	4297
207	1126	4290
208	1132	4284
209	1135	4271
210	1138	4258
211	1143	4249
212	1149	4246
213	1155	4242
214	1159	4232
215	1163	4223
216	1168	4216
217	1174	4212
218	1177	4200
219	1181	4188
220	1187	4185
221	1191	4174
222	1195	4165
223	1199	4155
224	1203	4145
225	1208	4140
226	1213	4133
227	1220	4130
228	1228	4135
229	1232	4127
230	1236	4116
231	1243	4117
232	1246	4102
233	1249	4090
234	1253	4081
235	1257	4070
236	1260	4058
237	1267	4056
238	1270	4045
239	1275	4039
240	1279	4029
241	1283	4019
242	1288	4015
243	1292	4005
244	1296	3996
245	1301	3989
246	1310	3995
247	1314	3987
248	1319	3979
249	1322	3968
250	1326	3959
251	1332	3956
252	1336	3946
253	1341	3940
254	1347	3937
255	1353	3933
256	1358	3927
257	1362	3919
258	1366	3910
259	1371	3902
260	1375	3893
261	1379	3884
262	1383	3875
263	1386	3866
264	1391	3859
265	1395	3849
266	1398	3840
267	1402	3829
268	1405	3819
269	1408	3808
270	1411	3798
271	1414	3785
272	1416	3773
273	1419	3761
274	1422	3750
275	1425	3740
276	1429	3732
277	1432	3721
278	1436	3711
279	1439	3700
280	1443	3693
281	1447	3686
282	1452	3679
283	1455	3669
284	1459	3662
285	1463	3654
286	1467	3645
287	1471	3638
288	1475	3630
289	1478	3620
290	1482	3612
291	1485	3602
292	1488	3590
293	1491	3582
294	1495	3573
295	1498	3564
296	1502	3555
297	1504	3545
298	1507	3534
299	1512	3528
300	1516	3521
301	1519	3512
302	1523	3503
303	1526	3495
304	1530	3488
305	1534	3479
306	1537	3470
307	1540	3461
308	1543	3452
309	1546	3443
310	1550	3434
311	1554	3426
312	1557	3417
313	1559	3407
314	1562	3398
315	1566	3389
316	1569	3381
317	1572	3372
318	1575	3363
319	1579	3355
320	1582	3347
321	1585	3338
322	1588	3329
323	1591	3320
324	1595	3312
325	1597	3303
326	1600	3294
327	1605	3288
328	1608	3280
329	1611	3270
330	1614	3262
331	1617	3255
332	1620	3246
333	1623	3238
334	1626	3229
335	1630	3223
336	1634	3214
337	1637	3206
338	1639	3196
339	1642	3188
340	1646	3181
341	1648	3171
342	1651	3163
343	1655	3156
344	1659	3150
345	1661	3141
346	1664	3131
347	1667	3123
348	1670	3116
349	1673	3108
350	1676	3099
351	1678	3090
352	1681	3082
353	1685	3076
354	1688	3067
355	1690	3058
356	1693	3050
357	1696	3043
358	1699	3034
359	1702	3026
360	1705	3018
361	1707	3009
362	1711	3002
363	1713	2994
364	1716	2986
365	1719	2979
366	1723	2972
367	1726	2964
368	1729	2957
369	1732	2950
370	1736	2943
371	1738	2934
372	1741	2926
373	1743	2918
374	1746	2910
375	1749	2903
376	1752	2896
377	1755	2887
378	1757	2880
379	1759	2871
380	1763	2864
381	1766	2857
382	1768	2849
383	1771	2842
384	1774	2835
385	1777	2827
386	1780	2819
387	1783	2812
388	1785	2804
389	1788	2797
390	1792	2791
391	1795	2784
392	1797	2776
393	1802	2772
394	1805	2765
395	1808	2757
396	1810	2749
397	1813	2742
398	1817	2736
399	1819	2729
400	1822	2722
401	1825	2715
402	1829	2709
403	1832	2703
404	1834	2695
405	1837	2688
406	1841	2682
407	1843	2674
408	1846	2667
409	1848	2660
410	1852	2654
411	1854	2646
412	1856	2639
413	1859	2632
414	1862	2624
415	1865	2618
416	1868	2611
417	1870	2604
418	1872	2596
419	1874	2588
420	1877	2581
421	1879	2573
422	1881	2566
423	1883	2558
424	1885	2550
425	1887	2542
426	1889	2535
427	1891	2528
428	1894	2521
429	1896	2514
430	1898	2506
431	1900	2499
432	1902	2491
433	1904	2484
434	1906	2476
435	1909	2469
436	1911	2462
437	1913	2455
438	1916	2448
439	1918	2441
440	1920	2434
441	1922	2427
442	1925	2420
443	1927	2413
444	1929	2407
445	1932	2400
446	1935	2394
447	1937	2387
448	1939	2380
449	1941	2373
450	1944	2366
451	1947	2360
452	1948	2353
453	1950	2346
454	1952	2338
455	1954	2332
456	1957	2325
457	1959	2318
458	1961	2312
459	1964	2305
460	1966	2299
461	1968	2292
462	1971	2286
463	1973	2279
464	1975	2272
465	1977	2266
466	1979	2259
467	1981	2253
468	1983	2246
469	1986	2239
470	1988	2233
471	1990	2226
472	1992	2219
473	1994	2213
474	1996	2206
475	1998	2200
476	2000	2193
477	2003	2187
478	2005	2181
479	2007	2175
480	2010	2169
481	2013	2163
482	2015	2157
483	2017	2150
484	2019	2144
485	2021	2137
486	2023	2131
487	2025	2125
488	2027	2118
489	2030	2113
490	2032	2106
491	2035	2101
492	2037	2095
493	2039	2088
494	2041	2082
495	2043	2076
496	2046	2070
497	2048	2064
498	2050	2058
499	2052	2052
500	2054	2046
501	2057	2040
502	2059	2034
503	2061	2028
504	2063	2022
505	2065	2016
506	2067	2010
507	2069	2004
508	2071	1998
509	2073	1992
510	2076	1987
511	2078	1981
512	2080	1975
513	2083	1969
514	2084	1963
515	2087	1958
516	2090	1952
517	2092	1946
518	2094	1940
519	2096	1935
520	2099	1930
521	2101	1924
522	2103	1918
523	2106	1913
524	2108	1907
525	2110	1901
526	2112	1896
527	2114	1890
528	2117	1885
529	2119	1879
530	2121	1874
531	2123	1868
532	2125	1862
533	2127	1857
534	2130	1851
535	2132	1845
536	2134	1840
537	2136	1834
538	2138	1829
539	2140	1823
540	2142	1817
541	2144	1812
542	2147	1807
543	2149	1801
544	2151	1795
545	2153	1790
546	2155	1784
547	2157	1779
548	2159	1774
549	2164	1771
550	2166	1765
551	2168	1760
552	2171	1754
553	2173	1749
554	2175	1744
555	2177	1739
556	2180	1733
557	2181	1728
558	2183	1722
559	2185	1717
560	2187	1711
561	2189	1706
562	2191	1701
563	2194	1696
564	2196	1691
565	2199	1686
566	2201	1681
567	2203	1675
568	2205	1670
569	2208	1665
570	2210	1660
571	2212	1655
572	2214	1650
573	2216	1645
574	2218	1640
575	2221	1635
576	2223	1629
577	2225	1625
578	2227	1619
579	2230	1614
580	2232	1609
581	2234	1604
582	2236	1599
583	2238	1594
584	2241	1589
585	2243	1585
586	2245	1580
587	2247	1575
588	2249	1569
589	2252	1564
590	2254	1559
591	2256	1554
592	2259	1550
593	2261	1545
594	2263	1540
595	2265	1535
596	2267	1530
597	2269	1525
598	2271	1520
599	2274	1516
600	2276	1511
601	2278	1506
602	2280	1501
603	2282	1496
604	2284	1491
605	2286	1486
606	2288	1481
607	2290	1476
608	2292	1471
609	2294	1467
610	2296	1462
611	2299	1457
612	2301	1452
613	2303	1448
614	2305	1443
615	2307	1438
616	2310	1433
617	2311	1428
618	2313	1424
619	2315	1419
620	2317	1414
621	2319	1409
622	2321	1404
623	2324	1400
624	2326	1395
625	2327	1390
626	2330	1386
627	2332	1381
628	2334	1376
629	2336	1372
630	2338	1367
631	2340	1362
632	2342	1358
633	2344	1353
634	2346	1348
635	2348	1344
636	2350	1339
637	2352	1334
638	2354	1330
639	2356	1325
640	2358	1320
641	2360	1316
642	2363	1312
643	2365	1307
644	2368	1303
645	2370	1298
646	2372	1294
647	2374	1289
648	2376	1285
649	2379	1281
650	2381	1276
651	2383	1272
652	2385	1267
653	2387	1263
654	2389	1258
655	2391	1254
656	2394	1250
657	2396	1245
658	2398	1241
659	2401	1236
660	2403	1232
661	2405	1228
662	2408	1224
663	2410	1219
664	2412	1215
665	2414	1210
666	2416	1206
667	2418	1202
668	2420	1197
669	2423	1193
670	2425	1189
671	2426	1184
672	2430	1180
673	2431	1176
674	2433	1171
675	2435	1167
676	2438	1163
677	2440	1158
678	2441	1154
679	2444	1150
680	2446	1145
681	2448	1141
682	2450	1137
683	2452	1132
684	2454	1128
685	2456	1124
686	2458	1120
687	2461	1116
688	2462	1111
689	2464	1107
690	2466	1103
691	2468	1098
692	2470	1094
693	2473	1090
694	2475	1086
695	2477	1082
696	2479	1077
697	2481	1073
698	2483	1069
699	2485	1065
700	2487	1060
701	2489	1056
702	2491	1052
703	2494	1048
704	2496	1044
705	2498	1040
706	2500	1036
707	2503	1032
708	2505	1028
709	2507	1024
710	2509	1020
711	2511	1015
712	2514	1011
713	2516	1008
714	2518	1003
715	2520	999
716	2523	995
717	2525	991
718	2527	987
719	2528	983
720	2530	979
721	2532	975
722	2534	971
723	2536	967
724	2538	962
725	2540	958
726	2543	954
727	2545	950
728	2547	946
729	2549	943
730	2551	939
731	2554	935
732	2556	931
733	2558	927
734	2560	923
735	2562	919
736	2564	915
737	2566	911
738	2568	907
739	2570	903
740	2572	899
741	2575	895
742	2578	891
743	2581	888
744	2582	884
745	2584	880
746	2588	876
747	2589	872
748	2592	868
749	2594	864
750	2596	860
751	2599	857
752	2601	853
753	2603	849
754	2605	845
755	2607	841
756	2609	837
757	2611	833
758	2613	829
759	2615	826
760	2618	822
761	2620	818
762	2622	814
763	2624	810
764	2626	806
765	2629	803
766	2631	799
767	2633	795
768	2636	791
769	2638	788
770	2640	784
771	2642	780
772	2644	776
773	2646	772
774	2649	769
775	2651	765
776	2653	761
777	2655	757
778	2657	753
779	2659	750
780	2661	746
781	2663	742
782	2665	738
783	2667	735
784	2669	731
785	2671	727
786	2673	723
787	2676	720
788	2678	716
789	2680	712
790	2682	708
791	2684	704
792	2686	701
793	2688	697
794	2691	693
795	2693	690
796	2695	686
797	2697	682
798	2699	679
799	2701	675
800	2703	671
801	2705	667
802	2707	664
803	2709	660
804	2710	656
805	2713	653
806	2715	649
807	2718	645
808	2719	642
809	2722	638
810	2724	634
811	2726	631
812	2728	627
813	2731	624
814	2733	620
815	2735	616
816	2738	613
817	2740	609
818	2742	606
819	2745	602
820	2747	598
821	2749	595
822	2751	591
823	2754	588
824	2756	584
825	2759	581
826	2761	577
827	2764	574
828	2766	570
829	2768	567
830	2770	563
831	2773	560
832	2776	556
833	2778	553
834	2780	549
835	2782	545
836	2784	542
837	2787	538
838	2790	535
839	2791	531
840	2794	528
841	2796	524
842	2798	521
843	2800	517
844	2802	514
845	2804	510
846	2806	507
847	2808	503
848	2810	499
849	2812	496
850	2815	492
851	2817	489
852	2820	486
853	2822	482
854	2824	479
855	2827	475
856	2829	472
857	2831	468
858	2834	465
859	2836	461
860	2838	458
861	2840	454
862	2842	451
863	2845	447
864	2847	444
865	2851	441
866	2853	437
867	2855	434
868	2857	430
869	2860	427
870	2862	424
871	2865	420
872	2867	417
873	2868	413
874	2871	410
875	2873	406
876	2875	403
877	2878	399
878	2880	396
879	2883	393
880	2886	389
881	2888	386
882	2890	383
883	2892	379
884	2894	376
885	2897	372
886	2899	369
887	2901	365
888	2902	362
889	2905	359
890	2907	355
891	2909	352
892	2911	348
893	2913	345
894	2915	342
895	2917	338
896	2920	335
897	2921	331
898	2924	328
899	2926	325
900	2928	321
901	2930	318
902	2932	315
903	2934	311
904	2936	308
905	2939	304
906	2941	301
907	2943	298
908	2945	294
909	2948	291
910	2950	288
911	2952	284
912	2955	281
913	2957	278
914	2960	275
915	2962	271
916	2964	268
917	2966	264
918	2968	261
919	2970	258
920	2973	255
921	2975	251
922	2977	248
923	2979	245
924	2981	241
925	2983	238
926	2985	235
927	2987	231
928	2989	228
929	2992	225
930	2994	221
931	2996	218
932	2998	215
933	3000	212
934	3002	208
935	3005	205
936	3007	202
937	3009	198
938	3011	195
939	3013	192
940	3015	189
941	3017	185
942	3019	182
943	3021	179
944	3023	175
945	3025	172
946	3027	169
947	3029	166
948	3032	162
949	3034	159
950	3036	156
951	3038	153
