iter	RMSE
0	72998.20327
1	71001.75306
2	68831.92058
3	66955.73929
4	65026.73499
5	63257.79455
6	61334.39644
7	59532.27729
8	57905.9935
9	56299.20596
10	54701.11147
11	53317.96872
12	51915.09204
13	50658.79947
14	49304.28474
15	48043.80302
16	46957.02532
17	45889.63619
18	44858.30405
19	43821.52609
20	42883.32365
21	41914.50399
22	41015.10411
23	40208.14351
24	39366.55512
25	38564.17684
26	37884.37295
27	37081.84832
28	36463.40105
29	35878.04928
30	35132.69505
31	34540.0288
32	33943.38104
33	33333.82482
34	32801.18413
35	32240.33466
36	31713.85341
37	31255.05758
38	30727.33526
39	30240.08057
40	29864.71999
41	29426.15744
42	29029.97243
43	28653.2594
44	28286.25206
45	27925.42325
46	27583.5135
47	27230.07191
48	26931.23273
49	26591.2393
50	26317.32801
51	26021.99758
52	25747.60171
53	25514.4829
54	25289.20227
55	25039.58203
56	24823.68986
57	24618.70782
58	24395.61045
59	24182.57002
60	24009.50965
61	23853.9427
62	23676.04619
63	23484.41941
64	23307.22586
65	23149.30798
66	23006.82968
67	22884.40525
68	22718.73105
69	22572.53875
70	22407.81622
71	22247.70077
72	22108.20687
73	21980.5237
74	21861.58902
75	21716.55152
76	21579.041
77	21467.06866
78	21337.04346
79	21220.54849
80	21095.84874
81	20998.91956
82	20901.67926
83	20794.86325
84	20689.97177
85	20604.5496
86	20537.20467
87	20426.91936
88	20341.33586
89	20255.87193
90	20175.19141
91	20048.9126
92	19931.57302
93	19853.08992
94	19802.21601
95	19742.49467
96	19681.68308
97	19598.84662
98	19526.21362
99	19468.95326
100	19404.88385
101	19348.73784
102	19272.04672
103	19219.51448
104	19138.82103
105	19057.46029
106	19002.8059
107	18937.18201
108	18882.59896
109	18831.32323
110	18773.90334
111	18691.43757
112	18616.79082
113	18565.25215
114	18515.16155
115	18449.5757
116	18408.31671
117	18350.96604
118	18304.24723
119	18261.55084
120	18185.13044
121	18119.63963
122	18078.44093
123	18046.63596
124	17991.48634
125	17933.74304
126	17879.5258
127	17831.08724
128	17777.3576
129	17714.78354
130	17657.67239
131	17611.30597
132	17561.18718
133	17515.80264
134	17477.41114
135	17397.70571
136	17330.87404
137	17301.90829
138	17262.20103
139	17229.56307
140	17188.88006
141	17160.29196
142	17133.70474
143	17074.12429
144	17032.46379
145	16996.02502
146	16945.03864
147	16916.42549
148	16871.5184
149	16815.72484
150	16772.95539
151	16727.93666
152	16694.50842
153	16665.73343
154	16617.98457
155	16575.93532
156	16540.95606
157	16486.42116
158	16454.26766
159	16422.38171
160	16396.33278
161	16375.26729
162	16333.40565
163	16299.78213
164	16263.87049
165	16233.54745
166	16189.1059
167	16156.48621
168	16126.98414
169	16082.68066
170	16041.64311
171	15999.08172
172	15959.75769
173	15925.50778
174	15902.69128
175	15858.6627
176	15830.39072
177	15794.39365
178	15773.97191
179	15732.26366
180	15689.07933
181	15664.10558
182	15646.93709
183	15599.15949
184	15559.23723
185	15508.0628
186	15472.61452
187	15447.20726
188	15432.09322
189	15405.41382
190	15368.23756
191	15347.64342
192	15324.44625
193	15282.79505
194	15246.5459
195	15215.52877
196	15179.12077
197	15146.78037
198	15120.19098
199	15093.28417
200	15075.31102
201	15049.70788
202	15020.24036
203	14972.47154
204	14930.59291
205	14904.2951
206	14882.40768
207	14862.31244
208	14823.15181
209	14798.64245
210	14771.80007
211	14745.45077
212	14719.17277
213	14686.97825
214	14659.023
215	14623.25949
216	14601.09627
217	14560.18271
218	14537.96478
219	14524.20392
220	14485.60324
221	14458.99941
222	14429.05464
223	14400.71575
224	14379.78776
225	14356.03944
226	14332.00316
227	14309.74947
228	14287.77286
229	14261.60164
230	14239.71768
231	14230.13467
232	14212.21329
233	14181.77737
234	14164.47086
235	14134.12946
236	14108.18089
237	14083.18713
238	14064.3124
239	14038.82134
240	14010.89325
241	13992.1013
242	13971.41664
243	13952.60997
244	13927.92758
245	13907.65889
246	13885.42007
247	13850.94631
248	13832.96289
249	13811.6268
250	13794.78288
251	13765.095
252	13742.39448
253	13715.10822
254	13696.76472
255	13676.9743
256	13661.32495
257	13648.94902
258	13632.23305
259	13599.55329
260	13585.99838
261	13555.85568
262	13530.14826
263	13512.49232
264	13494.36127
265	13474.9282
266	13451.60405
267	13433.99096
268	13409.89688
269	13384.34482
270	13371.89861
271	13348.4625
272	13321.41662
273	13304.8236
274	13278.63758
275	13265.69679
276	13246.79114
277	13225.47808
278	13189.7901
279	13162.60253
280	13137.03661
281	13122.86255
282	13095.80746
283	13073.43968
284	13063.75516
285	13033.63677
286	13021.75159
287	12987.68043
288	12956.86608
289	12933.15606
290	12927.7441
291	12892.59211
292	12872.35378
293	12862.25865
294	12845.05174
295	12834.13725
296	12824.58857
297	12808.22212
298	12796.50306
299	12787.10564
300	12768.55313
301	12743.28423
302	12718.67075
303	12699.9223
304	12680.69
305	12676.78551
306	12656.8177
307	12638.48313
308	12617.87149
309	12605.74193
310	12571.77744
311	12555.63688
312	12531.66428
313	12520.25825
314	12501.30816
315	12479.17627
316	12458.33681
317	12435.71615
318	12418.45041
319	12414.23744
320	12405.69811
321	12390.46478
322	12378.38389
323	12356.37333
324	12329.95198
325	12326.00862
326	12309.92168
327	12298.98901
328	12295.23135
329	12286.40033
330	12267.36514
331	12253.79857
332	12240.4241
333	12218.12965
334	12201.32547
335	12180.04285
336	12164.62891
337	12146.07393
338	12136.1361
339	12128.69212
340	12104.10593
341	12084.73584
342	12062.7283
343	12052.66638
344	12034.42201
345	12028.00553
346	12009.01466
347	11995.74126
348	11984.12713
349	11976.81157
350	11957.57535
351	11935.22035
352	11916.91909
353	11907.01837
354	11896.82698
355	11885.35468
356	11867.64031
357	11847.16137
358	11833.62935
359	11827.06129
360	11818.1594
361	11811.94972
362	11796.88294
363	11784.01447
364	11771.25879
365	11759.73244
366	11756.80759
367	11736.35405
368	11723.51582
369	11704.72111
370	11686.92906
371	11677.0417
372	11657.95029
373	11646.11543
374	11627.8812
375	11617.38079
376	11609.41362
377	11588.3165
378	11565.66544
379	11563.37725
380	11542.4631
381	11534.64005
382	11509.90092
383	11495.05172
384	11477.98083
385	11464.34134
386	11453.56499
387	11436.90192
388	11418.72815
389	11392.99732
390	11368.99991
391	11359.69314
392	11338.37837
393	11308.87721
394	11291.48536
395	11273.62547
396	11255.69763
397	11250.03457
398	11243.67744
399	11231.46293
400	11220.20753
401	11207.30764
402	11200.47501
403	11181.99493
404	11159.69983
405	11156.10253
406	11138.69738
407	11127.56383
408	11111.28521
409	11089.46026
410	11068.01258
411	11056.27655
412	11037.21791
413	11016.69816
414	11004.28698
415	10994.15626
416	10977.26776
417	10961.37254
418	10951.18828
419	10930.18361
420	10913.43137
421	10903.62711
422	10891.05785
423	10871.6833
424	10849.66622
425	10829.06042
426	10817.54042
427	10795.12269
428	10776.96858
429	10764.88075
430	10743.40626
431	10730.11475
432	10719.11014
433	10703.94811
434	10677.3072
435	10663.46123
436	10650.70111
437	10643.01214
438	10623.62415
439	10616.62075
440	10600.35912
441	10588.36947
442	10569.58305
443	10562.71453
444	10552.31323
445	10535.19266
446	10521.68506
447	10510.87209
448	10500.9606
449	10491.20611
450	10475.24287
451	10460.74044
452	10450.59113
453	10437.17558
454	10433.57312
455	10423.24118
456	10409.78324
457	10389.55062
458	10371.42835
459	10367.11355
460	10363.00435
461	10359.43043
462	10340.32927
463	10326.83119
464	10315.413
465	10310.31364
466	10303.25862
467	10291.08261
468	10283.43489
469	10274.13933
470	10266.17406
471	10244.71684
472	10231.17794
473	10219.01065
474	10212.46281
475	10203.68611
476	10190.2417
477	10174.59696
478	10165.24807
479	10156.90102
480	10149.58597
481	10136.35159
482	10124.79572
483	10114.37283
484	10105.15101
485	10095.98301
486	10082.8335
487	10074.02222
488	10060.95636
489	10047.33253
490	10031.26207
491	10020.44324
492	10008.85289
493	10002.9992
494	9986.250487
495	9975.855641
496	9953.623223
497	9935.820723
498	9923.60855
499	9919.06661
500	9911.324483
501	9896.874468
502	9881.681329
503	9863.011656
504	9849.982421
505	9831.005296
506	9828.664938
507	9815.876662
508	9800.037784
509	9790.120007
510	9783.548347
511	9774.324588
512	9759.844189
513	9751.85186
514	9746.046332
515	9737.244909
516	9724.036115
517	9717.518386
518	9707.573683
519	9698.608828
520	9689.060859
521	9674.382778
522	9662.734917
523	9648.773566
524	9642.591046
525	9631.189272
526	9627.148066
527	9610.492743
528	9601.87591
529	9593.406288
530	9589.90327
531	9581.546351
532	9566.026297
533	9553.096399
534	9538.093875
535	9529.042955
536	9514.577103
537	9510.848931
538	9496.856816
539	9489.243886
540	9472.880518
541	9460.733519
542	9446.307497
543	9436.505764
544	9428.481752
545	9424.506671
546	9408.621089
547	9395.547045
548	9392.786632
549	9391.119941
550	9388.931175
551	9377.92453
552	9363.712277
553	9349.748814
554	9341.174078
555	9339.024834
556	9333.518599
557	9317.831254
558	9308.355061
559	9298.018987
560	9292.164684
561	9283.783561
562	9271.93067
563	9262.805732
564	9250.120484
565	9241.292317
566	9233.275671
567	9219.882894
568	9204.85726
569	9197.705013
570	9188.018568
571	9174.631295
572	9165.53853
573	9156.643705
574	9146.914623
575	9137.238498
576	9123.827802
577	9114.66744
578	9112.1244
579	9098.576976
580	9080.110207
581	9068.144514
582	9056.381208
583	9048.781637
584	9039.207773
585	9030.251314
586	9027.162715
587	9019.065347
588	9014.737565
589	9012.904845
590	9002.810168
591	8995.089964
592	8989.041447
593	8981.639624
594	8967.979076
595	8956.911346
596	8954.482889
597	8946.20139
598	8935.778353
599	8925.162478
600	8917.316326
601	8905.573979
602	8893.171465
603	8887.623361
604	8877.947661
605	8867.293066
606	8866.913982
607	8854.534725
608	8844.030024
609	8832.977919
610	8821.250269
611	8807.319996
612	8796.035719
613	8784.572917
614	8772.673688
615	8758.221264
616	8743.206691
617	8734.943057
618	8731.871102
619	8729.453521
620	8720.245931
621	8712.474022
622	8704.615121
623	8692.67479
624	8686.385568
625	8682.719134
626	8674.444838
627	8662.970875
628	8650.725772
629	8650.183889
630	8648.393746
631	8638.467535
632	8630.871099
633	8618.760006
634	8608.656794
635	8596.908451
636	8589.520201
637	8584.19452
638	8580.736384
639	8575.235636
640	8567.384007
641	8558.657453
642	8552.40592
643	8545.191275
644	8534.872421
645	8525.300387
646	8515.22054
647	8510.40634
648	8501.320654
649	8492.207477
650	8484.516566
651	8481.084204
652	8469.419294
653	8454.270795
654	8453.198304
655	8442.441648
656	8436.767499
657	8428.784962
658	8421.4956
659	8412.399546
660	8405.15172
661	8394.284228
662	8390.140857
663	8380.25159
664	8378.668823
665	8368.475027
666	8357.0138
667	8350.219829
668	8347.801618
669	8334.973946
670	8325.364742
671	8323.119816
672	8321.014077
673	8313.170332
674	8297.600447
675	8295.091909
676	8282.889308
677	8275.702335
678	8274.600552
679	8264.920057
680	8251.904481
681	8249.607123
682	8247.878802
683	8231.721522
684	8219.799517
685	8217.106126
686	8211.360508
687	8205.884031
688	8192.716009
689	8184.241004
690	8177.505482
691	8176.640072
692	8169.36508
693	8167.925602
694	8158.7092
695	8147.565883
696	8138.117576
697	8133.79554
698	8125.623705
699	8111.71466
700	8098.367117
701	8091.482258
702	8088.067436
703	8077.187866
704	8071.537052
705	8060.539104
706	8055.441398
707	8046.818091
708	8033.957739
709	8022.800409
710	8020.891462
711	8013.333726
712	8004.116232
713	7998.976123
714	7990.606942
715	7983.532055
716	7977.804506
717	7970.751823
718	7968.230057
719	7960.927027
720	7954.816392
721	7952.971468
722	7948.524464
723	7938.683367
724	7931.237543
725	7923.528943
726	7914.21335
727	7913.229758
728	7901.849604
729	7894.462039
730	7884.956607
731	7880.97121
732	7869.665225
733	7859.265018
734	7849.743946
735	7841.893352
736	7837.056963
737	7823.269612
738	7813.88098
739	7805.754328
740	7801.264749
741	7792.419873
742	7791.486466
743	7785.851602
744	7779.461005
745	7776.988954
746	7773.955788
747	7767.895716
748	7761.244785
749	7753.150161
750	7751.238654
751	7743.08576
752	7733.064274
753	7727.039638
754	7717.580955
755	7709.612591
756	7708.52248
757	7700.78535
758	7693.10759
759	7686.30401
760	7680.385544
761	7672.189246
762	7668.6529
763	7658.185663
764	7645.290228
765	7639.421664
766	7631.57089
767	7624.655118
768	7616.109691
769	7606.779745
770	7594.833026
771	7589.434325
772	7581.685346
773	7577.196245
774	7568.66392
775	7561.755347
776	7556.397409
777	7546.677815
778	7541.375438
779	7531.297184
780	7522.876902
781	7515.948918
782	7510.106526
783	7499.599258
784	7490.649423
785	7486.635625
786	7477.228624
787	7465.11948
788	7458.865775
789	7454.979159
790	7445.845837
791	7444.468963
792	7439.545269
793	7430.054427
794	7420.023755
795	7413.36004
796	7408.167179
797	7397.576176
798	7394.646455
799	7386.691313
800	7385.066324
801	7378.980771
802	7378.541755
803	7372.978524
804	7365.582713
805	7362.028654
806	7353.804693
807	7344.6935
808	7342.554584
809	7332.720818
810	7326.080144
811	7325.474951
812	7319.573903
813	7311.900588
814	7303.515783
815	7296.84863
816	7288.200208
817	7278.366659
818	7270.881729
819	7266.7241
820	7259.353504
821	7249.695408
822	7245.100431
823	7243.01375
824	7242.274787
825	7234.578409
826	7228.612347
827	7224.162469
828	7219.963923
829	7208.420806
830	7201.664818
831	7199.776923
832	7195.40638
833	7187.645937
834	7179.8449
835	7173.939622
836	7168.279742
837	7162.592804
838	7161.13523
839	7155.883604
840	7154.089984
841	7151.29409
842	7150.75562
843	7144.958925
844	7139.388263
845	7131.374651
846	7119.735752
847	7113.073863
848	7102.169271
849	7089.344423
850	7085.741105
851	7080.088365
852	7075.662215
853	7069.870971
854	7069.282693
855	7068.768237
856	7057.61739
857	7051.413169
858	7050.956321
859	7045.538577
860	7044.897404
861	7038.879803
862	7031.988642
863	7028.522569
864	7026.518974
865	7018.150255
866	7010.598662
867	7004.029497
868	6999.009433
869	6998.257109
870	6991.048313
871	6979.952612
872	6976.05341
873	6966.867902
874	6959.772709
875	6957.356565
876	6953.592211
877	6948.041698
878	6942.937267
879	6937.245131
880	6930.900276
881	6928.483024
882	6918.767336
883	6912.2628
884	6906.510158
885	6892.880854
886	6888.179168
887	6883.150453
888	6878.225051
889	6875.568451
890	6874.992007
891	6874.548351
892	6867.15639
893	6861.569447
894	6858.085355
895	6857.185496
896	6855.56054
897	6847.306467
898	6841.131731
899	6833.862826
900	6825.844039
901	6816.957478
902	6812.477911
903	6803.861371
904	6799.39974
905	6795.508157
906	6789.836538
907	6778.480597
908	6775.601089
909	6774.260376
910	6770.313304
911	6761.358245
912	6759.615569
913	6753.625675
914	6745.984557
915	6736.30038
916	6735.727445
917	6729.067764
918	6723.817218
919	6717.909685
920	6710.999806
921	6703.833012
922	6700.10694
923	6693.276643
924	6688.569617
925	6682.679268
926	6677.814261
927	6676.510016
928	6674.043776
929	6665.027158
930	6663.418014
931	6657.689245
932	6652.47576
933	6646.699722
934	6644.029881
935	6636.7379
936	6634.980541
937	6629.670284
938	6621.127653
939	6617.080977
940	6608.029475
941	6601.996094
942	6594.372856
943	6589.615612
944	6580.474136
945	6575.147464
946	6569.631147
947	6563.470464
948	6557.627364
949	6553.585152
950	6545.623578
951	6540.904435
952	6531.15845
953	6529.013002
954	6521.323651
955	6515.071362
956	6511.061699
957	6502.703398
958	6496.785939
959	6489.703076
960	6480.691192
961	6475.084341
962	6472.076148
963	6467.30985
964	6461.425079
965	6453.241921
966	6445.389932
967	6436.568805
968	6433.465817
969	6430.86227
970	6425.092849
971	6422.349959
972	6417.941414
973	6415.691432
974	6410.336226
975	6403.825506
976	6401.94223
977	6392.160861
978	6385.21737
979	6379.08617
980	6370.167318
981	6365.59062
982	6357.201752
983	6350.336943
984	6344.629527
985	6337.313153
986	6334.462644
987	6326.101271
988	6318.690304
989	6313.209425
990	6308.575391
991	6303.844773
992	6296.399561
993	6291.749993
994	6288.321008
995	6282.746391
996	6277.057764
997	6272.887003
998	6268.966281
999	6262.753165
	6135.246876
999	6133.585081
