iter	Passed	Remaining
0	5	5254
1	14	7222
2	19	6502
3	31	7752
4	37	7403
5	48	7965
6	53	7593
7	65	8063
8	73	8056
9	79	7846
10	84	7568
11	89	7348
12	98	7472
13	104	7378
14	110	7230
15	116	7161
16	122	7102
17	128	7026
18	133	6884
19	143	7053
20	149	6992
21	161	7194
22	165	7038
23	173	7035
24	177	6915
25	183	6863
26	187	6739
27	199	6934
28	203	6828
29	207	6719
30	213	6661
31	217	6575
32	221	6490
33	225	6418
34	232	6413
35	239	6408
36	244	6368
37	250	6348
38	257	6354
39	266	6402
40	274	6416
41	279	6373
42	285	6363
43	292	6349
44	297	6323
45	305	6337
46	312	6333
47	316	6271
48	320	6220
49	326	6209
50	332	6182
51	336	6129
52	340	6076
53	343	6025
54	347	5973
55	354	5978
56	360	5961
57	365	5931
58	369	5886
59	372	5829
60	379	5845
61	394	5963
62	401	5964
63	404	5921
64	409	5894
65	416	5895
66	425	5930
67	431	5915
68	437	5904
69	446	5933
70	452	5918
71	460	5941
72	465	5912
73	470	5891
74	477	5890
75	483	5872
76	491	5887
77	495	5859
78	504	5880
79	509	5861
80	515	5849
81	524	5876
82	531	5873
83	539	5879
84	546	5886
85	552	5876
86	557	5853
87	561	5816
88	567	5812
89	572	5790
90	579	5787
91	587	5799
92	591	5771
93	596	5752
94	601	5728
95	607	5716
96	611	5694
97	617	5679
98	621	5652
99	626	5642
100	630	5615
101	636	5606
102	642	5599
103	650	5606
104	656	5599
105	661	5576
106	667	5571
107	672	5557
108	676	5530
109	683	5532
110	689	5523
111	695	5515
112	700	5496
113	704	5472
114	710	5466
115	714	5447
116	718	5422
117	722	5397
118	727	5386
119	732	5371
120	741	5389
121	747	5378
122	754	5377
123	760	5369
124	764	5348
125	769	5334
126	775	5332
127	784	5344
128	790	5334
129	796	5332
130	803	5333
131	809	5324
132	814	5309
133	817	5286
134	822	5272
135	826	5250
136	831	5240
137	836	5223
138	841	5211
139	847	5208
140	854	5203
141	858	5186
142	863	5172
143	870	5176
144	879	5183
145	888	5196
146	896	5200
147	901	5187
148	907	5184
149	913	5176
150	917	5157
151	924	5156
152	929	5143
153	934	5134
154	940	5124
155	946	5122
156	951	5110
157	956	5099
158	962	5093
159	968	5086
160	972	5069
161	977	5057
162	983	5050
163	988	5040
164	995	5038
165	1002	5035
166	1009	5033
167	1012	5015
168	1019	5010
169	1023	4994
170	1030	4996
171	1035	4986
172	1041	4976
173	1047	4971
174	1053	4968
175	1060	4966
176	1064	4950
177	1068	4932
178	1073	4924
179	1078	4914
180	1083	4904
181	1088	4890
182	1091	4871
183	1095	4858
184	1102	4857
185	1107	4846
186	1113	4839
187	1118	4831
188	1122	4816
189	1128	4808
190	1132	4796
191	1136	4783
192	1145	4788
193	1153	4791
194	1161	4793
195	1166	4786
196	1173	4784
197	1184	4799
198	1191	4795
199	1195	4780
200	1199	4766
201	1207	4771
202	1215	4771
203	1220	4761
204	1225	4751
205	1230	4742
206	1236	4738
207	1245	4744
208	1250	4733
209	1254	4720
210	1258	4705
211	1264	4701
212	1269	4690
213	1276	4689
214	1281	4679
215	1286	4669
216	1290	4658
217	1297	4655
218	1304	4652
219	1310	4645
220	1316	4640
221	1321	4631
222	1327	4623
223	1331	4613
224	1336	4603
225	1341	4594
226	1346	4583
227	1351	4576
228	1356	4566
229	1359	4552
230	1365	4545
231	1370	4535
232	1373	4522
233	1378	4512
234	1382	4501
235	1391	4504
236	1397	4497
237	1404	4498
238	1410	4489
239	1414	4480
240	1422	4478
241	1427	4472
242	1433	4465
243	1438	4457
244	1444	4450
245	1449	4443
246	1456	4440
247	1461	4431
248	1465	4420
249	1475	4425
250	1485	4434
251	1495	4438
252	1504	4443
253	1510	4436
254	1519	4440
255	1525	4433
256	1533	4433
257	1538	4424
258	1544	4419
259	1550	4412
260	1555	4403
261	1561	4397
262	1564	4385
263	1572	4384
264	1577	4374
265	1580	4362
266	1584	4350
267	1588	4338
268	1592	4327
269	1597	4318
270	1604	4316
271	1611	4312
272	1615	4301
273	1621	4297
274	1626	4287
275	1632	4281
276	1637	4273
277	1642	4266
278	1647	4256
279	1652	4249
280	1656	4238
281	1662	4231
