iter	RMSE
0	71710.09274
1	69376.7413
2	67141.22239
3	64895.55069
4	62735.64947
5	60638.65389
6	58737.13477
7	56836.68635
8	55081.96047
9	53348.77073
10	51816.82873
11	50289.01079
12	48825.46112
13	47387.2279
14	45973.39509
15	44735.58047
16	43471.42677
17	42302.37571
18	41242.24923
19	40162.78364
20	39040.94491
21	38173.98669
22	37265.88308
23	36419.87553
24	35554.45086
25	34840.09773
26	34114.06788
27	33393.93216
28	32766.65302
29	32098.09945
30	31500.11891
31	30939.25648
32	30331.68193
33	29742.32938
34	29204.34243
35	28685.1247
36	28233.94477
37	27784.02535
38	27344.28662
39	26918.07147
40	26540.61419
41	26170.06888
42	25812.61994
43	25473.42652
44	25171.2137
45	24915.52518
46	24618.31465
47	24299.46415
48	24070.91238
49	23786.67727
50	23576.11899
51	23303.76905
52	23101.73035
53	22918.03847
54	22698.23311
55	22517.58014
56	22339.20532
57	22143.03741
58	21964.34748
59	21798.98239
60	21668.54905
61	21511.83101
62	21346.38632
63	21187.00715
64	21048.17085
65	20914.88187
66	20771.82508
67	20650.85155
68	20553.97227
69	20464.69878
70	20361.04635
71	20262.87443
72	20189.86694
73	20106.48953
74	20033.41332
75	19966.92601
76	19892.20468
77	19790.12716
78	19709.67004
79	19622.00196
80	19545.52485
81	19468.4618
82	19409.14698
83	19337.4645
84	19248.48648
85	19179.68343
86	19121.88348
87	19050.23926
88	18980.68118
89	18907.80769
90	18830.30014
91	18760.43231
92	18710.13604
93	18650.90479
94	18595.56908
95	18514.6791
96	18447.31162
97	18382.65189
98	18325.19963
99	18255.41289
100	18210.94918
101	18163.96065
102	18099.81677
103	18056.41451
104	17995.77186
105	17923.84265
106	17878.82685
107	17821.93197
108	17782.07231
109	17744.34302
110	17706.53178
111	17665.77308
112	17623.8342
113	17572.574
114	17527.33048
115	17497.94093
116	17444.53483
117	17402.67136
118	17358.54008
119	17310.82236
120	17277.23319
121	17251.75056
122	17227.15342
123	17202.52201
124	17171.43696
125	17139.0332
126	17090.26947
127	17046.83876
128	17020.86791
129	16992.35396
130	16957.55769
131	16932.19606
132	16901.08515
133	16871.37101
134	16840.56774
135	16818.45206
136	16780.63902
137	16760.15159
138	16739.90985
139	16719.06573
140	16685.22283
141	16664.19525
142	16622.70324
143	16589.82907
144	16563.76814
145	16550.87047
146	16526.22946
147	16508.70969
148	16484.452
149	16457.65051
150	16439.21326
151	16424.49419
152	16413.62374
153	16389.76813
154	16358.25437
155	16322.66671
156	16282.26642
157	16266.53997
158	16239.73767
159	16209.95554
160	16191.62155
161	16171.97298
162	16147.98114
163	16127.3361
164	16098.98529
165	16057.30354
166	16037.38769
167	16013.84109
168	15990.06699
169	15964.95795
170	15948.37019
171	15931.30442
172	15919.9192
173	15898.36938
174	15882.19008
175	15871.70025
176	15838.6234
177	15820.53489
178	15807.54064
179	15780.46515
180	15751.1546
181	15726.58668
182	15698.95719
183	15682.6304
184	15657.34069
185	15643.18759
186	15621.08125
187	15611.39603
188	15582.03342
189	15555.27167
190	15518.32837
191	15479.60198
192	15460.06394
193	15444.77015
194	15415.71154
195	15396.18879
196	15384.81658
197	15357.79537
198	15339.8952
199	15318.72168
200	15277.86283
201	15270.06342
202	15228.67533
203	15204.30324
204	15157.61448
205	15141.17065
206	15128.46773
207	15107.44873
208	15096.05825
209	15064.85872
210	15045.83783
211	15018.57281
212	15010.35271
213	14975.4137
214	14945.97812
215	14917.9296
216	14896.354
217	14877.31432
218	14860.09459
219	14849.72906
220	14836.34358
221	14815.88367
222	14798.18589
223	14761.36063
224	14731.25359
225	14718.74798
226	14685.81417
227	14670.74864
228	14661.93903
229	14640.71174
230	14615.99029
231	14591.60233
232	14557.43335
233	14541.77773
234	14517.71617
235	14505.65539
236	14469.93768
237	14437.1637
238	14417.99767
239	14410.45392
240	14375.54309
241	14358.80785
