iter	Passed	Remaining
0	6	6219
1	11	5542
2	15	5188
3	21	5256
4	29	5787
5	33	5525
6	41	5878
7	48	5959
8	52	5734
9	55	5534
10	60	5408
11	64	5277
12	69	5275
13	74	5214
14	78	5149
15	86	5320
16	90	5254
17	97	5316
18	101	5233
19	107	5275
20	112	5230
21	117	5218
22	122	5207
23	128	5210
24	137	5364
25	145	5435
26	150	5438
27	155	5386
28	158	5316
29	163	5285
30	169	5285
31	177	5377
32	183	5366
33	189	5372
34	193	5337
35	197	5298
36	201	5249
37	205	5208
38	209	5169
39	213	5129
40	217	5094
41	222	5076
42	227	5069
43	234	5090
44	239	5088
45	243	5052
46	247	5020
47	252	5014
48	256	4986
49	260	4956
50	265	4941
51	271	4942
52	274	4913
53	281	4931
54	288	4952
55	293	4944
56	297	4927
57	303	4923
58	307	4898
59	311	4877
60	315	4864
61	320	4843
62	324	4827
63	329	4818
64	336	4835
65	342	4844
66	347	4842
67	352	4831
68	356	4815
69	361	4803
70	366	4790
71	371	4786
72	375	4770
73	382	4787
74	389	4803
75	394	4799
76	398	4773
77	403	4771
78	410	4785
79	415	4782
80	420	4768
81	425	4759
82	428	4732
83	432	4720
84	437	4705
85	441	4689
86	445	4675
87	451	4682
88	457	4683
89	463	4682
90	469	4694
91	474	4683
92	479	4673
93	485	4676
94	490	4676
95	494	4652
96	501	4668
97	509	4686
98	513	4670
99	518	4667
100	526	4689
101	530	4674
102	537	4678
103	541	4664
104	546	4656
105	549	4636
106	554	4630
107	559	4621
108	563	4602
109	570	4614
110	574	4599
111	578	4587
112	582	4575
113	587	4566
114	592	4556
115	598	4558
116	602	4547
117	608	4549
118	612	4537
119	617	4529
120	623	4529
121	627	4515
122	632	4509
123	636	4496
124	641	4487
125	645	4475
126	651	4480
127	659	4492
128	663	4482
129	669	4479
130	674	4473
131	678	4460
132	683	4454
133	687	4441
134	694	4450
135	698	4438
136	702	4426
137	706	4414
138	710	4402
139	716	4399
140	720	4390
141	725	4385
142	730	4379
143	736	4377
144	739	4363
145	743	4349
146	747	4339
147	752	4331
148	758	4329
149	761	4317
150	765	4304
151	769	4293
152	773	4284
153	783	4306
154	789	4304
155	794	4296
156	799	4291
157	805	4290
158	810	4289
159	815	4279
160	821	4279
161	826	4274
162	832	4276
163	837	4268
164	850	4304
165	859	4316
166	865	4318
167	870	4310
168	879	4323
169	883	4314
170	888	4307
171	893	4303
172	898	4296
173	903	4288
174	909	4287
175	916	4290
176	923	4294
177	927	4284
178	931	4274
179	937	4270
180	941	4258
181	945	4247
182	949	4238
183	955	4235
184	958	4224
185	962	4212
186	971	4222
187	974	4209
188	980	4208
189	984	4197
190	988	4186
191	992	4177
192	996	4165
193	1000	4157
194	1004	4147
195	1010	4146
196	1014	4135
197	1019	4129
198	1022	4117
199	1026	4106
200	1030	4096
201	1034	4086
202	1038	4079
203	1042	4066
204	1047	4063
205	1052	4055
206	1056	4048
207	1060	4036
208	1065	4033
209	1071	4032
210	1079	4036
211	1084	4030
212	1088	4020
213	1092	4012
214	1096	4003
215	1100	3995
216	1104	3985
217	1109	3979
218	1114	3973
219	1117	3963
220	1123	3961
221	1128	3953
222	1133	3950
223	1138	3942
224	1142	3934
225	1147	3931
226	1152	3923
227	1156	3914
228	1159	3904
229	1164	3898
230	1170	3896
231	1173	3885
232	1179	3883
233	1187	3887
234	1194	3887
235	1199	3882
236	1204	3876
237	1206	3863
238	1210	3854
239	1214	3844
240	1218	3836
241	1224	3836
242	1228	3827
243	1232	3820
244	1238	3816
245	1244	3813
246	1248	3805
247	1256	3810
248	1262	3807
249	1265	3797
250	1269	3788
251	1273	3778
252	1277	3770
253	1281	3762
254	1289	3767
255	1294	3761
256	1298	3754
257	1304	3750
258	1310	3748
259	1314	3741
260	1319	3736
261	1323	3727
262	1327	3719
263	1331	3711
264	1336	3706
265	1340	3699
266	1346	3696
267	1351	3692
268	1359	3695
269	1364	3688
270	1369	3685
271	1375	3682
272	1380	3675
273	1384	3668
274	1387	3658
275	1394	3657
276	1398	3649
277	1401	3640
278	1405	3631
279	1412	3632
280	1418	3628
281	1422	3621
282	1427	3615
283	1431	3609
284	1435	3601
285	1440	3595
286	1445	3591
287	1450	3585
288	1454	3577
289	1457	3567
290	1462	3563
291	1466	3556
292	1474	3558
293	1478	3550
294	1482	3542
295	1485	3534
296	1490	3527
297	1493	3519
298	1498	3512
299	1502	3505
300	1508	3503
301	1512	3495
302	1519	3496
303	1524	3490
304	1527	3481
305	1531	3473
306	1534	3464
307	1540	3460
308	1544	3452
309	1548	3445
310	1551	3437
311	1555	3431
312	1560	3424
313	1567	3424
314	1571	3416
315	1574	3409
316	1580	3404
317	1583	3396
318	1588	3390
319	1592	3383
320	1596	3377
321	1601	3372
322	1604	3363
323	1608	3356
324	1613	3350
325	1617	3343
326	1620	3335
327	1627	3335
328	1631	3328
329	1637	3323
330	1641	3317
331	1645	3310
332	1651	3306
333	1655	3300
334	1659	3293
335	1664	3288
336	1669	3283
337	1674	3280
338	1679	3274
339	1684	3270
340	1689	3265
341	1694	3260
342	1698	3253
343	1702	3247
344	1709	3244
345	1715	3242
346	1723	3242
347	1727	3236
348	1731	3229
349	1734	3221
350	1740	3217
351	1744	3211
352	1749	3207
353	1753	3199
354	1756	3192
355	1765	3193
356	1769	3187
357	1776	3186
358	1781	3180
359	1788	3179
360	1792	3172
361	1796	3166
362	1801	3161
363	1808	3159
364	1811	3151
365	1815	3145
366	1820	3139
367	1824	3133
368	1827	3125
369	1832	3119
370	1837	3115
371	1841	3108
372	1845	3101
373	1849	3096
374	1855	3092
375	1858	3084
376	1863	3080
377	1867	3072
378	1870	3065
379	1874	3057
380	1882	3058
381	1885	3050
382	1889	3044
383	1894	3039
384	1898	3032
385	1902	3026
386	1908	3022
387	1913	3017
388	1917	3011
389	1922	3007
390	1926	3000
391	1930	2994
392	1935	2989
393	1942	2987
394	1945	2979
395	1948	2972
396	1954	2968
397	1961	2967
398	1972	2970
399	1979	2969
400	1990	2972
401	1994	2967
402	2001	2964
403	2005	2958
404	2009	2951
405	2013	2945
406	2017	2938
407	2021	2933
408	2027	2929
409	2035	2928
41410	3439	49241411	3449	4923
412	3462	4920
413	3469	4911
414	3482	4909
415	3497	4910
416	3513	4912
417	3523	4905
418	3536	4903
419	3548	4899
420	3560	4896
421	3571	4892
422	3584	4889
423	3597	4886
424	3607	4880
425	3619	4876
426	3627	4868
427	3640	4865
428	3649	4857
429	3659	4850
430	3665	4839
431	3672	4828
432	3680	4819
433	3689	4811
434	3705	4813
435	3712	4802
436	3721	4794
437	3732	4788
438	3741	4781
439	3749	4772
440	3760	4766
441	3771	4761
442	3780	4753
443	3790	4746
444	3796	4735
445	3808	4730
446	3816	4721
447	3824	4712
448	3843	4716
449	3849	4704
450	3855	4693
451	3866	4687
452	3880	4685
453	3891	4680
454	3905	4677
455	3911	4666
456	3927	4666
457	3934	4656
458	3948	4654
459	3960	4649
460	3969	4641
461	3979	4634
462	3989	4626
463	4001	4622
464	4010	4614
465	4023	4611
466	4033	4603
467	4043	4596
468	4054	4590
469	4061	4579
470	4079	4581
471	4088	4573
472	4098	4565
473	4109	4559
474	4116	4549
475	4127	4543
476	4135	4534
477	4149	4531
478	4157	4522
479	4164	4511
480	4173	4502
481	4183	4495
482	4193	4489
483	4203	4481
484	4210	4471
485	4216	4459
486	4227	4452
487	4237	4445
488	4249	4440
489	4255	4429
490	4268	4425
491	4277	4416
492	4289	4411
493	4296	4400
494	4303	4390
495	4314	4383
496	4322	4375
497	4333	4368
498	4347	4364
499	4352	4352
500	4360	4343
501	4368	4333
502	4378	4326
503	4384	4315
504	4394	4307
505	4406	4302
506	4415	4293
507	4424	4284
508	4429	4273
509	4436	4262
510	4446	4254
511	4454	4246
512	4461	4235
513	4470	4226
514	4479	4218
515	4487	4209
516	4496	4200
517	4500	4188
518	4509	4179
519	4516	4168
520	4523	4158
521	4532	4150
522	4543	4143
523	4552	4135
524	4560	4125
525	4570	4118
526	4578	4109
527	4587	4100
528	4595	4091
529	4607	4085
530	4614	4075
531	4621	4065
532	4627	4054
533	4637	4047
534	4645	4038
535	4658	4032
536	4668	4025
537	4674	4013
538	4679	4002
539	4689	3994
540	4701	3988
541	4708	3978
542	4717	3970
543	4732	3966
544	4739	3957
545	4755	3954
546	4765	3946
547	4776	3939
548	4782	3928
549	4789	3918
550	4796	3908
551	4805	3899
552	4810	3888
553	4820	3880
554	4828	3871
555	4837	3862
556	4847	3855
557	4852	3844
558	4864	3838
559	4872	3828
560	4879	3818
561	4888	3809
562	4899	3803
563	4906	3793
564	4925	3791
565	4933	3783
566	4942	3774
567	4954	3768
568	4963	3759
569	4974	3752
570	4985	3745
571	4990	3734
572	4997	3724
573	5005	3714
574	5013	3705
575	5024	3698
576	5030	3687
577	5039	3679
578	5051	3673
579	5061	3665
580	5069	3655
581	5077	3647
582	5089	3640
583	5097	3630
584	5106	3622
585	5114	3613
586	5121	3603
587	5131	3595
588	5138	3585
589	5149	3578
590	5158	3569
591	5165	3559
592	5177	3553
593	5188	3546
594	5198	3538
595	5207	3529
596	5213	3519
597	5223	3511
598	5230	3501
599	5239	3492
600	5247	3484
601	5254	3474
602	5263	3465
603	5273	3457
604	5285	3450
605	5295	3443
606	5302	3433
607	5308	3422
608	5321	3416
609	5327	3406
610	5337	3398
611	5349	3391
612	5364	3386
613	5370	3376
614	5379	3367
615	5387	3358
616	5397	3350
617	5400	3338
618	5413	3332
619	5421	3322
620	5430	3314
621	5442	3307
622	5453	3300
623	5462	3291
624	5474	3284
625	5484	3276
626	5494	3268
627	5503	3259
628	5509	3249
629	5518	3241
630	5526	3231
631	5535	3223
632	5541	3212
633	5546	3201
634	5556	3193
635	5562	3183
636	5567	3172
637	5580	3166
638	5586	3156
639	5596	3147
640	5604	3138
641	5607	3127
642	5616	3118
643	5627	3110
644	5636	3102
645	5645	3093
646	5650	3082
647	5657	3073
648	5662	3062
649	5676	3056
650	5688	3049
651	5705	3045
652	5711	3035
653	5719	3026
