iter	RMSE
0	73285.20546
1	71170.36397
2	69114.67229
3	67130.43362
4	65247.26922
5	63188.89499
6	60034.11521
7	58376.53626
8	56925.0371699	55463.90531110	53965.27641
11	52532.41045
12	51130.17625
13	49813.61456
14	48526.87838
15	47392.5516
16	46321.97449
17	45217.00861
18	44212.15789
19	43184.56494
20	42185.33162
21	41272.56001
22	40380.54083
23	39511.51503
24	38720.37843
25	37962.83309
26	37236.50157
27	36542.79601
28	35832.40603
29	35178.85381
30	34613.31193
31	33997.58655
32	33411.3092
33	32905.73659
34	32380.73168
35	32189.47693
36	31392.19991
37	30948.83151
38	30483.44445
39	30318.26011
40	29625.63063
41	29474.98781
42	28827.32099
43	28434.72501
44	28375.07958445	28041.38707446	27720.7702447	27165.49433
48	26875.50366
449	26764.60963550	26483.88469551	26172.15087552	25893.42175353	25648.26445454	25404.036255	25041.54485
56	24803.31963
57	24542.59653
58	24319.66307
59	24122.39824
60	23936.44889
61	23704.56878
62	23499.14552
63	23313.7865
64	23133.71442
65	22993.96512
66	22815.87809
67	22653.91479
68	22482.61557
69	22340.88153
70	22234.0868
71	22054.2155
72	21942.79458
73	21808.139
74	21690.27014
75	21551.90189
76	21445.70123
77	21351.35057
78	21235.69121
79	21142.02016
80	21050.92058
81	20950.9006
82	20866.02454
83	20760.17083
84	20644.26503
85	20537.73458
86	20422.77976
87	20332.41311
88	20219.69846
89	20129.17468
90	20027.60771
91	19947.11595
92	19852.39835
93	19771.45891
94	19701.69142
95	19607.59544
96	19544.20431
97	19456.26886
98	193898	1962499	193099	19566100	192100	1949101	1917101	1939102	1908102	1934103	1897103	192104	18896.6453
105	18831.81369
106	18733.92875
107	18680.45691
108	18629.33762
109	18567.97583
110	18500.81218
111	1842111	1876112	1835112	1870113	1830113	1866114	1825114	1860115	1822115	18536.99487
116	1847117	1810117	1843118	1805118	1839119	1800119	1833120	1795120	18305.35553
121	18256.59478
122	18219.50621
123	18168.15582
124	18109.66609
125	18046.27753
126	17991.34201
127	17964.58504
128	17917.20723
129	17889.05024
130	17839.17992
131	17803.63075
132	17755.02241
133	17691.53851
134	17652.21279
135	17612.42805
136	17581.88937
137	17535.73747
138	17484.94895
139	17430.11045
140	17385.82727
141	17337.27892
142	17284.54235
143	17236.25325
144	17193.91526
145	17123.18405
146	17061.66019
147	17024.01656
148	16986.44862
149	16953.51557
150	16914.84664
151	16885.52529
152	16853.16079
153	16822.62384
154	16791.9036
155	16742.38204
156	16720.66146
157	16696.03967
158	16664.65598
159	16612.56208
160	16580.29334
161	16540.36366
162	16494.05907
163	16463.71249
164	16432.15357
165	16401.0134
166	16364.54876
167	16333.85673
168	16296.05407
169	16278.1158
170	16242.63948
171	16201.91569
172	16152.35789
173	16102.43058
174	16073.1721
175	16040.50553
176	15995.66205
177	15955.3726
178	15935.31366
179	15895.90861
180	15860.75808
181	15845.89565
182	15813.02836
183	15792.18294
184	15765.40757
185	15728.75644
186	15710.35912
187	15691.796
188	15662.57119
189	15630.4191
190	15585.82556
191	15548.44667
192	15508.54175
193	15490.77769
194	15469.34737
195	15429.58859
196	15398.997
197	15377.83324
198	15348.50085
199	15327.26854
200	15287.43959
201	15262.71091
202	15239.71766
203	15206.36438
204	15190.27533
205	15173.38641
206	15144.16608
207	15109.66227
208	15088.5228
209	15071.87171
210	15049.5877
211	15034.91208
212	14989.21438
213	14948.29744
214	14924.40087
215	14902.21402
216	14862.90523
217	14835.85682
218	14822.32316
219	14796.87976
220	14767.11393
221	14754.36552
222	14724.17101
223	14702.71208
224	14696.57689
225	14685.0623
226	14659.66051
227	14633.68399
228	14622.12437
229	14607.4377
230	14587.82904
231	14561.94363
232	14536.43284
233	14503.26201
234	14465.26197
235	14441.28544
236	14422.1596
237	14400.33248
238	14369.017
239	14330.74147
240	14303.92615
241	14285.8438
242	14283.0911
243	14255.43896
244	14237.50556
245	14192.73761
246	14152.77507
247	14150.00059
248	14125.34993
249	14094.50061
250	14089.49373
251	14062.86664
252	14038.5172
253	14029.55982
254	14012.90007
255	13984.35221
256	13964.75755
257	13939.02233
258	13921.90216
259	13896.02866
260	13866.91904
261	13834.95314
262	13828.42469
263	13803.64343
264	13771.10016
265	13752.282
266	13735.88097
267	13720.41922
268	13696.92552
269	13671.83288
270	13659.18782
271	13633.81585
272	13616.10998
273	13586.87721
274	13564.34629
275	13538.29322
276	13534.9984
277	13523.67417
278	13521.34467
279	13492.39636
280	13469.47793
281	13457.43353
282	13439.44163
283	13403.36106
284	13368.37891
285	13339.66385
286	13326.20761
287	13302.87438
288	13268.86725
289	13244.16991
290	13236.86734
291	13210.13604
292	13199.5174
293	13177.16726
294	13165.82177
295	13139.84936
296	13120.64566
297	13099.07499
298	13071.19282
299	13051.40647
