iter	Passed	Remaining
0	11	11118
1	24	12131
2	35	11914
3	44	11065
4	53	10703
5	65	10901
6	74	10566
7	87	10821
8	97	10694
9	107	10593
10	115	10398
11	127	10514
12	138	10489
13	147	10399
14	158	10429
15	169	10424
16	177	10282
17	191	10432
18	200	10376
19	214	10510
20	229	10697
21	238	10620
22	246	10480
23	254	10365
24	267	10433
25	277	10384
26	290	10455
27	302	10517
28	313	10502
29	326	10544
30	337	10552
31	352	10655
32	363	10644
33	374	10633
34	384	10605
35	393	10547
36	406	10584
37	420	10649
38	430	10619
39	437	10490
40	443	10368
41	448	10225
42	453	10091
43	458	9960
44	464	9853
45	472	9804
46	480	9734
47	487	9662
48	500	9719
49	509	9671
50	516	9609
51	523	9542
52	533	9524
53	542	9497
54	549	9443
55	561	9469
56	569	9418
57	575	9348
58	586	9359
59	596	9350
60	602	9280
61	611	9252
62	618	9201
63	626	9161
64	637	9173
65	644	9120
66	652	9087
67	664	9112
68	673	9091
69	682	9064
70	691	9047
71	705	9099
72	719	9142
73	723	9054
74	731	9021
75	735	8940
76	740	8876
77	744	8803
78	747	8719
79	753	8663
80	757	8593
81	762	8535
82	767	8478
83	773	8437
84	776	8362
85	780	8292
86	784	8233
87	787	8165
88	792	8114
89	795	8047
90	800	7992
91	805	7954
92	810	7905
93	815	7859
94	818	7796
95	823	7752
96	826	7696
97	830	7640
98	833	7588
99	837	7534
100	842	7500
101	849	7476
102	853	7434
103	858	7399
104	863	7356
105	870	7342
106	874	7301
107	883	7294
108	888	7263
109	894	7233
110	897	7191
111	905	7176
112	910	7145
113	915	7112
114	918	7068
115	924	7046
116	931	7027
117	934	6988
118	938	6947
119	941	6903
120	947	6883
121	951	6846
122	954	6807
123	958	6770
124	962	6735
125	969	6721
126	973	6694
127	978	6664
128	982	6631
129	986	6601
130	990	6570
131	995	6545
132	999	6512
133	1004	6492
134	1008	6459
135	1012	6431
136	1016	6400
137	1020	6376
138	1026	6361
139	1032	6344
140	1036	6313
141	1040	6288
142	1046	6273
143	1053	6260
144	1056	6231
145	1060	6204
146	1068	6197
147	1071	6168
148	1078	6158
149	1084	6143
150	1089	6126
151	1094	6105
152	1099	6089
153	1103	6063
154	1107	6037
155	1110	6010
156	1117	5998
157	1121	5976
158	1127	5963
159	1134	5954
160	1138	5933
161	1143	5913
162	1146	5889
163	1153	5881
164	1157	5858
165	1163	5843
166	1167	5823
167	1172	5804
168	1178	5794
169	1183	5777
170	1188	5760
171	1193	5743
172	1200	5736
173	1204	5715
174	1208	5696
175	1213	5681
176	1217	5663
177	1223	5650
178	1229	5638
179	1234	5622
180	1237	5601
181	1243	5588
182	1248	5571
183	1251	5549
184	1255	5531
185	1259	5510
186	1265	5503
187	1270	5487
188	1274	5467
189	1280	5457
190	1285	5443
191	1288	5422
192	1295	5416
193	1299	5400
194	1303	5381
195	1309	5370
196	1319	5377
197	1328	5382
198	1333	5367
199	1338	5352
200	1341	5334
201	1347	5321
202	1350	5302
203	1356	5292
204	1360	5276
205	1365	5261
206	1368	5242
207	1372	5225
208	1380	5223
209	1384	5208
210	1388	5190
211	1391	5172
212	1396	5161
