iter	Passed	Remaining
0	65	65874
1	68	34344
2	71	23771
3	74	18511
4	76	15291
5	79	13144
6	81	11623
7	84	10462
8	86	9546
9	88	8810
10	91	8203
11	93	7708
12	96	7328
13	98	6942
14	100	6612
15	102	6315
16	104	6052
17	106	5821
18	108	5620
19	110	5429
20	112	5261
21	114	5098
22	116	4940
23	117	4795
24	119	4671
25	121	4553
26	123	4443
27	124	4339
28	126	4239
29	128	4148
30	129	4060
31	131	3982
32	133	3910
33	134	3835
34	136	3764
35	138	3707
36	140	3648
37	142	3597
38	143	3543
39	145	3494
40	147	3448
41	149	3403
42	150	3355
43	152	3317
44	154	3278
45	156	3237
46	157	3199
47	159	3165
48	161	3131
49	163	3099
50	164	3066
51	166	3035
52	168	3008
53	170	2981
54	171	2952
55	173	2928
56	175	2900
57	176	2873
58	178	2850
59	180	2824
60	182	2803
61	183	2778
62	185	2758
63	187	2744
64	189	2722
65	190	2702
66	192	2682
67	194	2662
68	195	2641
69	197	2624
70	199	2609
71	201	2595
72	202	2577
73	204	2562
74	206	2547
75	208	2529
76	209	2511
77	211	2496
78	212	2483
79	214	2466
80	216	2453
81	217	2440
82	220	2431
83	221	2419
84	223	2408
85	225	2401
86	228	2396
87	230	2384
88	231	2369
89	233	2356
90	234	2343
91	236	2332
92	237	2320
93	239	2308
94	241	2296
95	242	2284
96	244	2272
97	245	2262
98	247	2255
99	249	2249
100	251	2239
101	253	2229
102	254	2220
103	256	2211
104	258	2203
105	260	2195
106	262	2187
107	263	2179
108	265	2169
109	267	2166
110	269	2160
111	271	2151
112	273	2144
113	274	2135
114	276	2127
115	278	2120
116	279	2112
117	281	2105
118	283	2096
119	284	2088
120	286	2081
121	288	2072
122	289	2065
123	291	2062
124	293	2054
125	295	2046
126	296	2039
127	298	2033
128	300	2027
129	302	2023
130	303	2016
131	305	2011
132	307	2005
133	309	2000
134	311	1994
135	312	1986
136	315	1984
137	317	1980
138	319	1976
139	320	1971
140	322	1966
141	324	1960
142	326	1956
143	328	1951
144	330	1947
145	333	1948
146	335	1944
147	336	1939
148	338	1932
149	340	1927
150	342	1922
151	343	1916
152	345	1911
153	346	1905
154	348	1898
155	349	1893
156	351	1888
157	353	1882
158	355	1877
159	356	1871
160	358	1866
161	359	1860
162	361	1855
163	362	1850
164	364	1844
165	366	1839
166	367	1835
167	369	1829
168	371	1828
169	373	1824
170	375	1819
171	376	1814
172	378	1809
173	380	1806
174	382	1801
175	383	1797
176	385	1793
177	387	1788
178	388	1784
179	390	1780
180	392	1775
181	394	1771
182	395	1767
183	397	1762
184	399	1758
185	400	1754
186	402	1750
187	404	1746
188	406	1742
189	407	1738
190	409	1734
191	410	1729
192	412	1724
193	414	1721
194	415	1716
195	417	1712
196	418	1707
197	420	1703
198	422	1701
199	424	1697
200	425	1692
201	427	1689
202	429	1686
203	431	1682
204	432	1677
205	434	1673
206	435	1669
207	437	1665
208	439	1661
209	440	1658
210	442	1654
211	444	1650
212	445	1646
213	447	1643
214	449	1640
215	450	1636
216	452	1633
217	454	1631
218	456	1628
219	458	1624
220	459	1620
221	461	1616
222	462	1613
223	464	1609
224	466	1605
225	467	1602
226	469	1599
227	472	1598
228	473	1595
229	475	1591
230	476	1586
231	477	1582
232	479	1578
233	481	1575
234	482	1572
235	484	1568
236	486	1565
237	488	1564
238	490	1561
239	491	1557
240	494	1556
241	495	1553
242	497	1549
243	499	1546
244	501	1544
245	503	1543
246	505	1539
247	506	1536
248	508	1533
249	510	1530
250	511	1527
251	514	1525
252	516	1523
253	518	1521
254	519	1517
255	521	1514
256	522	1510
257	524	1507
258	525	1503
259	527	1500
260	528	1496
261	530	1494
262	532	1492
263	534	1490
264	536	1486
265	537	1483
266	539	1480
267	541	1479
268	543	1475
269	544	1472
270	546	1470
271	548	1467
272	549	1464
273	552	1462
274	554	1460
275	556	1459
276	558	1457
277	560	1454
278	561	1452
279	563	1448
280	565	1446
281	567	1443
282	568	1440
283	571	1439
284	572	1437
285	574	1434
286	576	1431
287	577	1428
288	579	1425
289	581	1423
290	582	1419
291	584	1416
292	586	1414
293	588	1412
294	589	1409
295	591	1407
296	593	1405
297	595	1403
298	597	1400
299	599	1397
300	600	1394
301	602	1392
302	603	1388
303	605	1385
304	606	1381
305	607	1378
306	609	1375
307	610	1371
308	612	1369
309	613	1366
310	615	1363
311	618	1363
312	619	1360
313	621	1357
314	622	1354
315	624	1352
316	626	1349
317	627	1346
318	629	1344
319	631	1342
320	633	1339
321	635	1337
322	636	1334
323	638	1332
324	640	1330
325	642	1328
326	644	1325
