iter	Passed	Remaining
0	65	65179
1	71	35481
2	76	25370
3	80	20015
4	84	16788
5	87	14499
6	91	12972
7	94	11697
8	97	10721
9	100	9915
10	102	9252
11	105	8709
12	108	8207
13	110	7766
14	112	7387
15	114	7069
16	117	6771
17	119	6514
18	121	6273
19	123	6045
20	126	5877
21	127	5688
22	129	5517
23	131	5357
24	133	5213
25	135	5082
26	137	4957
27	139	4835
28	141	4722
29	143	4625
30	144	4527
31	146	4434
32	148	4351
33	150	4263
34	151	4180
35	153	4102
36	154	4030
37	156	3961
38	158	3913
39	160	3849
40	161	3787
41	163	3729
42	165	3675
43	166	3619
44	168	3567
45	169	3522
46	171	3477
47	173	3438
48	175	3398
49	176	3356
50	179	3331
51	181	3306
52	183	3271
53	184	3238
54	186	3206
55	188	3179
56	190	3146
57	191	3113
58	193	3083
59	195	3055
60	196	3027
61	198	2997
62	199	2973
63	201	2951
64	203	2929
65	205	2907
66	207	2891
67	210	2882
68	212	2863
69	213	2842
70	215	2824
71	217	2802
72	219	2783
73	221	2774
74	224	2765
75	225	2746
76	227	2727
77	229	2709
78	230	2690
79	232	2673
80	234	2655
81	236	2646
82	238	2630
83	239	2614
84	241	2599
85	243	2583
86	245	2576
87	247	2561
88	248	2547
89	250	2534
90	252	2518
91	253	2506
92	255	2492
93	257	2479
94	259	2467
95	260	2455
96	263	2449
97	264	2436
98	266	2424
99	267	2411
100	269	2398
101	270	2385
102	272	2375
103	274	2363
104	276	2352
105	277	2341
106	279	2334
107	281	2323
108	282	2312
109	284	2301
110	286	2291
111	287	2281
112	289	2270
113	290	2260
114	292	2251
115	294	2245
116	296	2235
117	297	2226
118	299	2218
119	301	2208
120	302	2200
121	304	2191
122	306	2187
123	308	2179
124	310	2170
125	311	2162
126	313	2153
127	314	2145
128	317	2141
129	318	2134
130	320	2127
131	322	2118
132	323	2111
133	325	2102
134	326	2094
135	328	2086
136	330	2079
137	331	2073
138	333	2066
139	335	2058
140	337	2053
141	338	2046
142	340	2039
143	341	2031
144	344	2029
145	345	2023
146	347	2016
147	349	2009
148	351	2004
149	352	1998
150	354	1993
151	356	1987
152	357	1979
153	359	1974
154	360	1967
155	362	1961
156	364	1956
157	366	1950
158	367	1943
159	368	1936
160	370	1930
161	372	1925
162	373	1919
163	375	1913
164	377	1909
165	378	1904
166	380	1897
167	382	1891
168	383	1887
169	385	1882
170	387	1877
171	388	1871
172	390	1866
173	392	1861
174	394	1857
175	395	1852
176	397	1846
177	398	1841
178	400	1836
179	402	1831
180	403	1827
181	405	1822
182	406	1817
183	408	1812
184	410	1808
185	411	1803
186	413	1798
187	415	1794
188	417	1790
189	418	1785
190	420	1781
191	422	1777
192	424	1773
193	425	1768
194	427	1764
195	429	1760
196	431	1757
197	432	1753
198	434	1748
199	436	1744
200	437	1740
201	439	1735
202	440	1731
203	442	1726
204	444	1724
205	446	1719
206	447	1715
207	449	1712
208	451	1708
209	452	1703
210	454	1699
211	456	1695
212	457	1690
213	459	1686
214	460	1682
215	462	1678
216	464	1675
217	466	1671
218	467	1668
219	470	1666
220	472	1664
221	473	1660
222	475	1655
223	476	1651
224	478	1648
225	480	1643
226	481	1639
227	482	1635
228	485	1633
229	486	1629
230	488	1627
231	491	1625
232	492	1621
233	494	1618
234	496	1616
235	498	1612
236	500	1610
237	501	1606
238	503	1602
239	505	1599
240	506	1596
241	508	1593
242	510	1589
243	511	1585
244	513	1583
245	515	1579
246	516	1575
247	518	1572
248	520	1569
249	521	1565
250	523	1562
251	525	1558
252	527	1557
253	529	1554
254	531	1551
255	532	1548
256	534	1544
257	536	1541
258	537	1538
259	539	1535
260	541	1532
261	543	1529
262	544	1526
263	546	1523
264	548	1520
265	550	1519
266	552	1516
267	554	1513
268	556	1510
269	557	1507
270	559	1504
271	560	1501
272	562	1498
273	564	1495
274	566	1492
275	567	1488
276	569	1485
277	571	1483
278	572	1480
279	574	1478
280	576	1475
281	578	1472
282	579	1469
283	581	1466
284	583	1463
285	584	1460
286	586	1457
287	588	1455
288	590	1452
289	592	1450
290	593	1447
291	596	1445
292	597	1442
293	599	1439
294	601	1436
295	603	1434
296	604	1431
297	606	1428
298	608	1426
299	610	1423
300	612	1422
301	614	1420
302	616	1417
303	617	1414
304	619	1411
305	621	1408
306	623	1407
307	625	1404
308	626	1401
309	628	1398
310	630	1396
311	631	1393
312	633	1390
313	635	1388
314	637	1385
315	638	1382
316	640	1380
317	642	1377
318	643	1374
319	645	1372
320	647	1369
321	649	1366
322	650	1363
323	652	1360
324	653	1357
325	655	1355
326	657	1352
327	658	1349
328	660	1346
329	662	1344
330	663	1341
331	665	1338
332	666	1335
333	668	1332
334	670	1331
335	672	1329
336	674	1326
337	675	1323
338	677	1321
339	679	1318
340	681	1316
341	682	1313
342	684	1310
343	685	1307
344	687	1305
345	689	1303
346	691	1300
347	692	1298
348	694	1295
349	696	1293
350	697	1290
351	699	1287
352	701	1285
353	703	1283
354	704	1280
355	706	1277
356	708	1275
357	710	1273
358	711	1270
359	713	1268
360	714	1265
361	716	1262
362	718	1260
363	719	1257
364	721	1254
365	723	1252
366	724	1249
367	726	1247
368	728	1245
369	729	1242
370	731	1240
371	732	1237
372	734	1234
373	736	1232
374	737	1229
375	739	1227
376	741	1224
377	743	1222
378	745	1221
379	747	1218
380	748	1216
381	750	1213
382	751	1211
383	753	1208
384	755	1206
385	756	1204
386	758	1201
387	760	1198
388	761	1196
389	763	1194
390	765	1192
391	766	1189
392	768	1187
393	770	1185
394	772	1182
395	773	1180
396	775	1177
397	776	1175
398	778	1173
399	780	1170
400	782	1168
401	783	1165
402	785	1163
403	787	1161
404	788	1158
405	790	1156
406	793	1155
407	794	1153
408	796	1150
409	797	1148
410	799	1146
411	801	1143
412	803	1141
413	804	1139
414	806	1136
415	808	1135
416	810	1132
417	811	1130
418	813	1127
419	815	1125
420	816	1122
421	818	1120
422	819	1118
423	821	1116
424	823	1114
425	825	1112
426	827	1109
427	829	1108
428	831	1106
429	832	1103
430	834	1101
431	836	1099
432	837	1096
433	839	1094
434	840	1092
435	843	1090
436	844	1088
437	846	1086
438	848	1084
439	850	1081
440	851	1079
441	853	1077
442	854	1074
443	856	1072
444	858	1070
445	859	1067
446	861	1065
447	863	1063
448	864	1061
449	866	1059
450	868	1056
451	870	1054
452	871	1052
453	873	1050
454	874	1048
455	876	1045
456	878	1043
457	880	1041
458	881	1039
459	883	1037
460	885	1035
461	886	1032
462	888	1030
463	890	1028
464	892	1026
465	893	1024
466	895	1021
467	896	1019
468	898	1017
469	900	1015
470	902	1013
471	903	1011
472	905	1009
473	907	1006
474	908	1004
475	910	1002
476	912	1000
477	913	997
478	915	995
479	917	993
480	918	991
481	920	989
482	922	987
483	924	985
484	925	982
485	927	980
486	929	978
487	930	976
488	932	974
489	934	972
490	935	970
491	937	968
492	939	965
493	941	963
494	942	961
495	945	960
496	946	958
497	948	956
498	950	954
499	951	951
500	953	950
501	955	947
502	957	945
503	958	943
504	960	941
505	962	939
506	963	937
507	966	935
508	967	933
509	969	931
510	971	929
511	973	927
512	975	925
513	977	924
514	979	922
515	981	920
516	982	918
517	984	916
518	986	913
519	987	911
520	989	909
521	991	907
522	992	905
523	995	904
524	996	901
525	998	899
526	1000	898
527	1002	895
528	1003	893
529	1005	891
530	1006	889
531	1008	887
532	1010	884
533	1011	882
534	1013	880
535	1015	879
536	1018	877
537	1020	876
