iter	RMSE
0	72751.87911
1	70347.09761
2	67991.57699
3	65837.95675
4	63795.39991
5	61828.62509
6	59903.14807
7	58230.04297
8	56626.34345
9	55165.69555
10	53719.10806
11	52230.09088
12	50720.38348
13	49384.32383
14	48084.34829
15	46964.30608
16	45697.06774
17	44536.58074
18	43487.47479
19	42447.35052
20	41394.17363
21	40473.08525
22	39616.06103
23	38749.66342
24	37966.66742
25	37229.17413
26	36481.57505
27	35731.07086
28	34990.67749
29	34343.26788
30	33726.70949
31	33118.69316
32	32491.37129
33	31906.32986
34	31424.72801
35	30923.20083
36	30448.15145
37	29980.01259
38	29575.38159
39	29186.97031
40	28716.28822
41	28316.29355
42	27964.36073
43	27599.2062
44	27267.27625
45	26959.47395
46	26610.99427
47	26333.33269
48	26057.6224
49	25790.29379
50	25522.2476
51	25229.89918
52	24958.65918
53	24735.80052
54	24524.53117
55	24296.74756
56	24078.5967
57	23845.19851
58	23620.86036
59	23424.74761
60	23259.03431
61	23065.3751
62	22881.05603
63	22724.30409
64	22552.17134
65	22426.95469
66	22265.92282
67	22139.06417
68	21953.65129
69	21805.46563
70	21665.83059
71	21522.49636
72	21384.80058
73	21275.97752
74	21132.68938
75	21029.9221
76	20923.37536
77	20799.05452
78	20697.18669
79	20592.60494
80	20478.01245
81	20385.32398
82	20295.75207
83	20184.42648
84	20093.83111
85	20010.18879
86	19901.68653
87	19832.56892
88	19752.49323
89	19676.26876
90	19616.47479
91	19542.17999
92	19466.87914
93	19392.26566
94	19315.50731
95	19249.34178
96	19176.2849
97	19088.80226
98	19033.04213
99	18954.58091
100	18880.01547
101	18825.58876
102	18760.08306
103	18690.95839
104	18634.99125
105	18560.25506
106	18468.17582
107	18422.49374
108	18368.99778
109	18318.23947
110	18248.4055
111	18194.40759
112	18137.55077
113	18090.82341
114	18047.68681
115	17997.36819
116	17947.14941
117	17874.61937
118	17827.52488
119	17792.70724
120	17756.3178
121	17695.18245
122	17651.61782
123	17596.93099
124	17555.36157
125	17523.13851
126	17475.41382
127	17415.2664
128	17381.78529
129	17335.99017
130	17299.77465
131	17259.31413
132	17229.68555
133	17192.45586
134	17150.28823
135	17119.82663
136	17090.40911
137	17067.82913
138	17035.52659
139	16995.06719
140	16964.4642
141	16916.24448
142	16883.30448
143	16852.34644
144	16820.74634
145	16763.42252
146	16736.72885
147	16699.4184
148	16659.66212
149	16626.42783
150	16592.4734
151	16560.26059
152	16533.3836
153	16495.44061
154	16471.30438
155	16436.55871
156	16401.01705
157	16375.64838
158	16349.68727
159	16332.70498
160	16281.93293
161	16255.11972
162	16198.89881
163	16168.90292
164	16128.4498
165	16083.84705
166	16036.06907
167	15999.65927
168	15966.38847
169	15941.82631
170	15886.53596
171	15866.00877
172	15848.55917
173	15806.70968
174	15766.91741
175	15750.12292
176	15708.0769
177	15661.43518
178	15636.13251
179	15602.11329
180	15578.97036
181	15552.22367
182	15524.16755
183	15498.77373
184	15459.34878
185	15428.19349
186	15404.60698
187	15368.83203
188	15343.41614
189	15303.79035
190	15275.81873
191	15246.1644
192	15210.27508
193	15171.32479
194	15142.66204
195	15112.97524
196	15077.27948
197	15054.56255
198	15032.92901
199	15003.5023
200	14969.50182
201	14947.29747
202	14924.81395
203	14901.97475
204	14881.75414
205	14863.68845
206	14840.79243
207	14813.23752
208	14791.11143
209	14764.88958
210	14742.76012
211	14720.41814
212	14699.48654
213	14675.54406
214	14645.61645
215	14622.10899
216	14602.05755
217	14580.2723
218	14571.97596
219	14544.406
220	14526.17379
221	14521.7269
222	14503.59963
223	14480.47004
224	14450.09622
225	14425.916
226	14401.6142
227	14375.4076
228	14347.08276
229	14313.98503
230	14287.94653
231	14274.09867
232	14251.75846
233	14235.30888
234	14214.99698
235	14193.85953
236	14180.15686
237	14166.98111
238	14133.13443
239	14109.46322
240	14089.13059
241	14073.96496
242	14045.99039
243	14030.1977
244	14007.56034
245	13984.68972
246	13970.23352
247	13953.10304
248	13926.59435
249	13911.11829
250	13895.97252
251	13876.96316
252	13852.54243
253	13838.71499
254	13818.47539
255	13797.77731
256	13783.86392
257	13764.07429
258	13728.21552
259	13706.93755
260	13683.68699
261	13657.85739
262	13633.36176
263	13614.11934
264	13590.40286
265	13575.38323
266	13550.62399
267	13531.29011
268	13504.10415
269	13483.47621
270	13465.82083
271	13442.8035
272	13428.62973
273	13411.94177
274	13394.69809
275	13379.60967
276	13354.52333
277	13333.58588
278	13325.16861
279	13306.42295
280	13293.59846
281	13269.99752
282	13247.48041
283	13223.90924
284	13203.20043
285	13189.55292
286	13170.90631
287	13163.11351
288	13145.97958
289	13127.93451
290	13115.85161
291	13099.43247
292	13078.3853
293	13056.7889
294	13042.14173
295	13029.36913
296	13000.01271
297	12983.32038
298	12967.31037
299	12959.49881
300	12940.27196
301	12919.18588
302	12896.84972
303	12873.33831
304	12858.74735
305	12844.22442
306	12823.58005
307	12805.67704
308	12790.83213
309	12773.05238
310	12750.38393
311	12730.00312
312	12716.00585
313	12708.7924
314	12689.1668
315	12668.38642
316	12662.81645
317	12650.82468
318	12637.28255
319	12613.62977
320	12602.48157
321	12576.47922
322	12562.09567
323	12545.46129
324	12538.91283
325	12521.99939
326	12508.02771
327	12492.73284
328	12472.18998
329	12456.75429
330	12452.55553
331	12433.59523
332	12416.26352
333	12404.91551
334	12398.65359
335	12382.17237
336	12364.40437
337	12350.20026
338	12346.15365
339	12329.93277
340	12313.20597
341	12302.66727
342	12285.12508
343	12271.08301
344	12257.54005
