iter	Passed	Remaining
0	68	68102
1	73	36861
2	78	25992
3	81	20344
4	85	17020
5	88	14645
6	91	12943
7	93	11640
8	96	10626
9	98	9797
10	101	9105
11	103	8520
12	106	8079
13	108	7653
14	110	7284
15	113	6950
16	115	6655
17	117	6400
18	119	6154
19	121	5964
20	123	5767
21	125	5591
22	127	5421
23	129	5272
24	131	5135
25	133	5004
26	135	4879
27	137	4762
28	138	4650
29	140	4549
30	142	4450
31	144	4365
32	145	4276
33	147	4191
34	149	4114
35	150	4041
36	152	3970
37	154	3899
38	156	3846
39	157	3784
40	159	3726
41	160	3665
42	162	3610
43	163	3558
44	165	3513
45	167	3468
46	168	3424
47	170	3381
48	172	3341
49	173	3302
50	175	3266
51	177	3234
52	179	3200
53	180	3168
54	182	3135
55	184	3103
56	185	3072
57	187	3042
58	189	3016
59	190	2990
60	192	2966
61	194	2942
62	196	2918
63	197	2892
64	199	2867
65	201	2845
66	202	2823
67	204	2803
68	206	2783
69	208	2763
70	209	2741
71	211	2721
72	212	2700
73	214	2681
74	216	2664
75	217	2646
76	219	2629
77	221	2612
78	222	2594
79	224	2577
80	225	2559
81	227	2543
82	228	2527
83	230	2512
84	232	2497
85	233	2483
86	235	2474
87	237	2459
88	239	2446
89	240	2434
90	242	2420
91	243	2407
92	245	2395
93	247	2382
94	248	2369
95	250	2357
96	251	2345
97	253	2333
98	255	2329
99	257	2320
100	259	2310
101	261	2298
102	262	2287
103	264	2279
104	266	2270
105	268	2260
106	269	2250
107	271	2240
108	272	2230
109	274	2222
110	276	2211
111	277	2202
112	279	2196
113	281	2187
114	283	2179
115	285	2174
116	287	2166
117	288	2158
118	290	2150
119	292	2146
120	294	2139
121	296	2132
122	297	2124
123	299	2115
124	301	2109
125	302	2101
126	304	2095
127	306	2088
128	308	2081
129	309	2074
130	311	2067
131	313	2060
132	315	2056
133	317	2049
134	318	2042
135	320	2036
136	322	2030
137	324	2023
138	325	2018
139	327	2012
140	329	2005
141	330	1999
142	332	1993
143	334	1987
144	336	1981
145	337	1975
146	339	1969
147	341	1964
148	342	1958
149	344	1953
150	346	1947
