iter	Passed	Remaining
0	5	5913
1	9	4976
2	12	4289
3	15	3900
4	18	3608
5	20	3369
6	22	3194
7	24	3075
8	27	2977
9	29	2920
10	32	2905
11	34	2869
12	37	2860
13	40	2821
14	42	2773
15	44	2737
16	46	2691
17	48	2663
18	50	2626
19	52	2587
20	54	2548
21	56	2514
22	58	2484
23	60	2446
24	62	2421
25	63	2390
26	65	2370
27	67	2348
28	69	2322
29	71	2306
30	73	2284
31	75	2274
32	76	2252
33	78	2230
34	80	2207
35	81	2189
36	83	2172
37	85	2157
38	87	2146
39	89	2138
40	90	2121
41	92	2104
42	93	2089
43	95	2076
44	97	2066
45	99	2053
46	100	2042
47	102	2031
48	104	2021
49	105	2011
50	107	2003
51	109	1994
52	110	1982
53	112	1970
54	114	1959
55	115	1952
56	117	1942
57	118	1932
58	120	1927
59	122	1921
60	124	1913
61	125	1902
62	127	1896
63	129	1886
64	130	1879
65	132	1874
66	134	1870
67	136	1864
68	138	1862
69	139	1855
70	141	1848
71	142	1841
72	144	1835
73	146	1829
74	147	1824
75	149	1816
76	150	1807
77	152	1802
78	154	1796
79	156	1794
80	157	1787
81	159	1784
82	160	1778
83	162	1771
84	164	1765
85	165	1761
86	167	1755
87	168	1750
88	170	1750
89	172	1746
90	174	1747
91	176	1742
92	178	1739
93	180	1735
94	181	1730
95	183	1723
96	184	1719
97	186	1715
98	187	1710
99	189	1706
100	191	1704
101	193	1701
102	194	1697
103	196	1695
104	198	1690
105	200	1688
106	201	1683
107	203	1679
108	204	1675
109	206	1670
110	208	1667
111	209	1661
112	211	1659
113	213	1655
114	214	1651
115	216	1647
116	217	1644
117	219	1643
118	221	1638
119	223	1635
120	224	1631
121	226	1626
122	227	1623
123	229	1622
124	231	1619
125	232	1615
126	234	1614
127	236	1610
128	237	1606
129	239	1602
130	241	1601
131	243	1602
132	245	1601
133	247	1598
134	249	1597
135	250	1593
136	252	1590
137	254	1587
138	255	1585
139	257	1580
140	258	1577
141	260	1574
142	262	1573
143	264	1570
144	265	1568
145	267	1565
146	269	1563
147	271	1561
148	273	1559
149	274	1556
150	276	1555
151	278	1552
152	279	1549
153	281	1546
154	283	1544
155	285	1542
156	286	1539
157	288	1535
158	289	1532
159	291	1530
160	293	1528
161	294	1525
162	296	1523
163	298	1522
164	300	1520
165	302	1518
166	303	1515
167	305	1512
168	306	1509
169	309	1509
170	310	1505
171	312	1503
172	313	1500
173	316	1500
174	317	1498
175	319	1496
176	321	1493
177	322	1491
178	324	1489
179	326	1487
180	327	1484
181	329	1480
182	331	1477
183	332	1474
184	334	1474
185	336	1472
186	338	1471
187	340	1468
188	341	1466
189	343	1463
190	344	1461
191	346	1458
192	348	1456
193	350	1454
194	351	1451
195	353	1448
196	355	1448
197	356	1445
198	358	1443
199	360	1440
200	361	1438
201	363	1436
202	365	1433
203	366	1430
204	368	1428
205	369	1426
206	371	1424
207	373	1422
208	375	1420
209	377	1418
210	379	1417
211	380	1415
212	382	1411
213	383	1409
214	385	1407
215	387	1405
216	389	1403
217	390	1401
218	392	1399
219	393	1396
220	395	1394
221	396	1391
222	398	1389
223	400	1386
224	401	1384
225	403	1383
226	405	1380
227	406	1377
228	408	1376
229	410	1374
230	412	1372
231	413	1370
232	415	1367
233	417	1365
234	418	1362
235	420	1361
236	422	1358
237	423	1357
238	425	1354
239	427	1352
240	428	1350
241	430	1348
242	432	1346
243	434	1344
244	435	1342
245	437	1341
246	439	1339
247	441	1338
248	442	1335
249	444	1333
250	446	1332
251	448	1330
252	449	1327
253	451	1326
254	453	1323
255	455	1322
256	456	1320
257	458	1318
258	460	1316
259	461	1313
260	463	1312
261	465	1310
262	467	1309
263	468	1306
264	470	1304
265	472	1302
266	473	1300
267	475	1298
268	477	1297
269	478	1295
270	480	1293
271	482	1292
272	484	1290
273	486	1289
274	488	1287
275	490	1286
276	492	1284
277	494	1283
278	495	1281
279	497	1279
280	499	1277
281	500	1275
282	502	1273
283	504	1271
284	506	1269
285	507	1267
286	509	1265
287	511	1263
288	513	1262
289	514	1260
290	516	1257
291	517	1255
292	519	1253
293	521	1251
294	522	1249
295	524	1247
296	525	1244
297	527	1242
298	529	1240
299	531	1240
300	533	1237
301	534	1235
302	536	1233
303	537	1231
304	539	1229
305	541	1227
306	543	1226
307	544	1224
308	546	1222
309	548	1220
310	550	1218
311	551	1217
312	553	1215
313	555	1213
314	557	1211
315	558	1209
316	560	1207
317	562	1205
318	564	1204
319	565	1202
320	567	1200
321	569	1198
322	570	1196
323	572	1194
324	574	1193
325	576	1191
326	577	1189
327	579	1187
328	581	1185
329	583	1183
330	585	1182
331	586	1180
332	587	1177
333	589	1175
334	591	1173
335	592	1171
336	594	1169
337	596	1167
338	597	1165
339	599	1163
340	601	1161
341	602	1159
342	604	1157
343	606	1155
344	607	1153
345	609	1152
346	611	1150
347	612	1148
348	614	1146
349	616	1145
350	618	1143
351	620	1142
352	621	1139
353	623	1137
354	625	1135
355	627	1134
356	629	1132
357	630	1131
358	632	1129
359	634	1127
360	635	1125
361	637	1123
362	638	1121
363	640	1119
364	642	1117
365	643	1115
366	645	1113
367	647	1112
368	649	1110
369	650	1108
370	652	1106
371	654	1104
372	655	1102
373	657	1100
374	659	1098
375	661	1097
376	662	1095
377	664	1093
378	666	1092
379	668	1090
380	670	1088
381	671	1087
382	673	1085
383	675	1083
384	677	1081
385	678	1079
386	680	1077
387	681	1075
388	683	1073
389	685	1071
390	686	1069
391	688	1068
392	690	1066
393	692	1064
394	693	1062
395	695	1061
396	697	1059
397	699	1057
398	700	1055
399	702	1053
400	704	1051
401	706	1050
402	707	1048
403	709	1046
404	711	1045
405	713	1044
406	715	1042
407	717	1040
408	718	1038
409	720	1036
410	722	1034
411	723	1033
412	725	1031
413	727	1029
414	729	1027
415	730	1026
416	732	1024
417	734	1022
418	736	1021
419	738	1019
420	739	1017
421	741	1015
422	743	1013
423	744	1012
424	746	1010
425	748	1008
426	750	1006
427	751	1004
428	753	1002
429	755	1001
430	757	999
431	758	997
432	760	995
433	762	993
434	763	992
435	766	990
436	767	989
437	769	987
438	770	985
439	772	983
440	774	981
441	776	979
442	777	977
443	779	975
444	781	974
445	783	973
446	785	971
447	786	969
448	788	967
449	790	966
450	792	964
451	794	962
452	795	961
453	797	959
454	799	957
455	801	955
456	802	953
457	804	952
458	806	950
459	807	948
460	809	946
461	811	944
462	812	942
463	814	940
464	816	938
465	817	936
466	819	934
467	820	933
468	822	931
469	824	929
470	825	927
471	827	925
472	829	923
473	830	921
474	832	920
475	834	918
476	836	916
477	837	914
478	839	913
479	841	911
480	843	909
481	844	907
482	846	906
483	848	904
484	849	902
485	851	900
486	853	899
487	855	897
488	857	896
489	858	894
490	860	892
491	862	890
492	864	888
493	865	886
494	867	884
495	868	882
496	870	881
497	872	879
498	874	877
499	875	875
500	877	874
501	879	872
502	881	870
503	882	868
504	884	867
505	886	865
506	887	863
507	889	861
508	891	860
509	893	858
510	895	856
511	896	854
512	898	852
513	900	851
514	901	849
515	904	848
516	905	845
517	907	844
518	908	842
519	910	840
520	912	838
521	914	837
522	915	835
523	917	833
524	919	831
525	921	829
526	922	828
527	924	826
528	926	824
529	927	822
530	929	820
531	930	818
532	932	817
533	933	815
534	935	813
535	937	811
536	939	809
537	940	807
538	942	806
539	944	804
540	946	802
541	948	801
542	950	799
543	951	797
544	953	796
545	955	794
546	957	792
547	958	790
548	960	789
549	962	787
550	963	785
551	965	783
552	967	781
553	969	780
554	970	778
555	972	776
556	974	774
557	975	772
558	977	771
559	979	769
560	981	768
561	983	766
562	985	765
563	987	763
564	989	761
565	990	759
566	992	757
567	993	755
568	995	754
569	997	752
570	998	750
571	1000	748
572	1001	746
573	1003	744
574	1005	743
575	1007	741
576	1008	739
577	1010	737
578	1012	736
579	1014	734
580	1015	732
581	1017	730
582	1019	729
583	1021	727
584	1023	725
585	1024	724
586	1026	722
587	1028	720
588	1030	718
589	1031	717
590	1033	715
591	1035	713
592	1036	711
593	1038	709
594	1040	708
595	1042	706
596	1044	705
597	1046	703
598	1048	701
599	1050	700
600	1052	698
601	1053	696
602	1055	694
603	1056	692
604	1058	691
605	1060	689
606	1062	687
607	1063	685
608	1065	683
609	1066	682
610	1068	680
611	1070	678
612	1071	676
613	1074	675
614	1076	673
615	1077	671
616	1079	670
617	1081	668
618	1083	666
619	1084	664
620	1086	663
621	1089	662
622	1091	660
623	1092	658
624	1094	656
625	1096	655
626	1098	653
627	1100	651
628	1102	650
629	1103	648
630	1105	646
631	1107	644
632	1109	643
633	1111	641
634	1113	639
635	1114	638
636	1116	636
637	1118	634
638	1120	633
639	1122	631
640	1123	629
641	1125	627
642	1127	625
643	1129	624
644	1130	622
645	1132	620
646	1133	618
647	1135	616
648	1137	615
649	1139	613
650	1140	611
651	1142	609
652	1144	608
653	1146	606
654	1147	604
655	1149	602
656	1151	600
657	1152	599
658	1154	597
659	1156	595
660	1158	594
661	1159	592
662	1161	590
663	1163	588
664	1165	586
665	1166	585
666	1168	583
667	1169	581
668	1171	579
669	1173	578
670	1175	576
671	1178	575
672	1179	573
673	1181	571
674	1182	569
675	1184	567
676	1186	566
677	1188	564
678	1189	562
679	1191	560
680	1193	558
681	1194	557
682	1196	555
683	1198	553
684	1200	551
685	1201	550
686	1204	548
687	1206	547
688	1207	545
689	1209	543
690	1211	541
691	1213	539
692	1215	538
693	1217	536
694	1218	534
695	1220	532
696	1221	531
697	1223	529
698	1224	527
699	1226	525
700	1228	523
701	1230	522
702	1232	520
703	1233	518
704	1235	517
705	1237	515
706	1239	513
707	1240	511
708	1242	510
709	1244	508
710	1245	506
711	1247	504
712	1249	502
713	1251	501
714	1253	499
715	1254	497
716	1256	495
717	1258	494
718	1259	492
719	1261	490
720	1262	488
721	1264	486
722	1266	485
723	1268	483
724	1269	481
725	1271	480
726	1273	478
727	1275	476
728	1277	474
729	1278	472
730	1280	471
731	1282	469
732	1283	467
733	1285	465
734	1286	463
735	1288	462
736	1290	460
737	1292	458
738	1294	457
739	1295	455
740	1297	453
741	1299	451
742	1300	449
743	1302	448
744	1304	446
745	1305	444
746	1307	442
747	1309	441
748	1311	439
749	1312	437
750	1315	436
751	1317	434
752	1319	432
753	1321	431
754	1322	429
755	1324	427
756	1326	425
757	1328	424
758	1329	422
759	1331	420
760	1333	418
761	1335	417
762	1337	415
763	1339	413
764	1341	411
765	1342	410
766	1344	408
767	1346	406
768	1347	404
769	1349	403
770	1350	401
771	1352	399
772	1354	397
773	1356	395
774	1357	394
775	1359	392
776	1360	390
777	1362	388
778	1364	387
779	1366	385
780	1367	383
781	1369	381
782	1371	379
783	1372	378
784	1374	376
785	1375	374
786	1377	372
787	1379	371
788	1381	369
789	1383	367
790	1384	365
791	1386	364
792	1388	362
793	1389	360
794	1391	358
795	1393	357
796	1394	355
797	1396	353
798	1398	351
799	1400	350
800	1401	348
801	1403	346
802	1405	344
803	1406	342
804	1408	341
805	1410	339
806	1411	337
807	1413	335
808	1414	334
809	1416	332
810	1418	330
811	1419	328
812	1421	327
813	1423	325
814	1425	323
815	1426	321
816	1428	319
817	1430	318
818	1432	316
819	1433	314
820	1435	313
821	1437	311
822	1439	309
823	1440	307
824	1442	305
825	1443	304
826	1445	302
827	1447	300
828	1448	298
829	1450	297
830	1452	295
831	1453	293
832	1456	291
833	1457	290
834	1459	288
835	1461	286
836	1464	285
837	1465	283
838	1467	281
839	1469	279
840	1471	278
841	1472	276
842	1474	274
843	1476	272
844	1478	271
845	1479	269
846	1481	267
847	1483	265
848	1484	264
849	1486	262
850	1488	260
851	1490	258
852	1491	257
853	1493	255
854	1495	253
855	1496	251
856	1498	249
857	1499	248
858	1501	246
859	1503	244
860	1504	242
861	1506	241
862	1508	239
863	1510	237
864	1511	235
865	1513	234
866	1515	232
867	1517	230
868	1518	228
869	1520	227
870	1522	225
871	1523	223
872	1525	221
873	1526	220
874	1528	218
875	1530	216
876	1532	214
877	1533	213
878	1535	211
879	1537	209
880	1538	207
881	1540	206
882	1542	204
883	1544	202
884	1545	200
885	1547	199
886	1549	197
887	1550	195
888	1552	193
889	1554	192
890	1555	190
891	1557	188
892	1558	186
893	1560	185
894	1562	183
895	1563	181
896	1565	179
897	1567	178
898	1569	176
899	1570	174
900	1572	172
901	1573	171
902	1575	169
903	1577	167
904	1579	165
905	1580	164
906	1582	162
907	1584	160
908	1585	158
909	1587	157
910	1589	155
911	1591	153
912	1593	151
913	1595	150
914	1597	148
915	1598	146
916	1600	144
917	1602	143
918	1604	141
919	1605	139
920	1607	137
921	1609	136
922	1611	134
923	1612	132
924	1614	130
925	1616	129
926	1617	127
927	1620	125
928	1621	123
929	1623	122
930	1625	120
931	1626	118
932	1628	116
933	1630	115
934	1631	113
935	1633	111
936	1635	109
937	1636	108
938	1638	106
939	1641	104
940	1642	102
941	1644	101
942	1645	99
943	1647	97
944	1649	95
945	1650	94
946	1652	92
947	1654	90
948	1656	89
949	1657	87
950	1659	85
951	1661	83
952	1662	82
953	1664	80
954	1666	78
955	1668	76
956	1669	75
957	1671	73
958	1673	71
959	1674	69
960	1676	68
961	1678	66
962	1679	64
963	1681	62
964	1683	61
965	1684	59
966	1686	57
967	1687	55
968	1689	54
969	1691	52
970	1693	50
971	1695	48
972	1696	47
973	1699	45
974	1700	43
975	1702	41
976	1704	40
977	1706	38
978	1708	36
979	1709	34
980	1711	33
981	1713	31
982	1715	29
983	1716	27
984	1718	26
985	1720	24
986	1721	22
987	1723	20
988	1725	19
989	1727	17
990	1728	15
991	1730	13
992	1732	12
993	1734	10
994	1735	8
995	1737	6
996	1739	5
997	1741	3
998	1742	1
999	1744	0
