iter	RMSE
0	76174.58091
1	73962.24752
2	71801.53951
3	70133.64931
4	68066.85028
5	66194.06291
6	64440.41522
7	62816.78459
8	61207.99276
9	59523.13987
10	58072.28122
11	56544.31308
12	55003.12787
13	53583.89468
14	52354.90878
15	51048.38591
16	49834.21214
17	48579.36919
18	47397.54571
19	46295.67441
20	45252.46955
21	44289.0032
22	43291.53212
23	42458.57755
24	41626.22748
25	40795.6543
26	39905.08622
27	39113.09933
28	38375.5168
29	37648.02411
30	36973.92562
31	36366.72463
32	35750.89306
33	35146.88799
34	34548.99498
35	33945.12695
36	33401.73185
37	32837.52963
38	32406.62634
39	31901.26272
40	31437.2952
41	31007.12785
42	30606.76228
43	30256.78588
44	29854.41526
45	29537.07098
46	29141.22374
47	28779.71424
48	28424.62486
49	28120.72674
50	27828.2508
51	27547.56654
52	27270.07889
53	26909.34388
54	26615.85777
55	26364.73441
56	26089.78712
57	25829.58201
58	25536.24375
59	25304.14762
60	25047.7802
61	24819.16655
62	24614.52365
63	24408.59545
64	24230.77037
65	24088.04097
66	23872.83478
67	23716.20862
68	23557.08696
69	23399.00096
70	23234.31652
71	23070.08148
72	22928.08474
73	22776.09411
74	22611.53215
75	22454.70275
76	22324.58234
77	22223.34881
78	22094.53078
79	21975.14169
80	21851.45926
81	21748.57863
82	21633.76775
83	21501.24155
84	21385.56983
85	21282.68415
86	21179.45633
87	21065.76923
88	20965.65391
89	20888.14581
90	20809.51452
91	20742.46329
92	20655.17949
93	20553.41967
94	20472.95667
95	20393.75904
96	20320.06579
97	20238.77971
98	20167.42609
99	20081.39915
100	20005.50896
101	19940.58248
102	19874.66435
103	19792.89399
104	19723.82172
105	19648.34583
106	19584.1123
107	19533.0363
108	19452.50851
109	19397.19872
110	19332.93832
111	19277.40453
112	19224.47547
113	19153.95904
114	19086.4257
115	19040.83032
116	18991.11347
117	18942.86825
118	18887.53057
119	18829.40802
120	18755.95845
121	18696.0663
122	18640.8465
123	18591.74651
124	18532.76883
125	18489.44323
126	18434.62716
127	18372.2596
128	18316.04727
129	18265.55615
130	18239.40293
131	18179.07347
132	18131.93997
133	18088.363
134	18047.03721
135	18001.85644
136	17958.92137
137	17898.95388
138	17864.71658
139	17799.49921
140	17736.67104
141	17677.23904
142	17589.62231
143	17543.97294
144	17517.57089
145	17477.36847
146	17434.74312
147	17348.07091
148	17307.77417
149	17266.31903
150	17232.73571
151	17173.23094
152	17138.29987
153	17105.6731
154	17077.68428
155	17017.12762
156	16987.03686
157	16926.45671
158	16884.74616
159	16852.82033
160	16815.31767
161	16765.20131
162	16732.52371
163	16690.44126
164	16659.02394
165	16623.5337
166	16585.00569
167	16544.33038
168	16494.48981
169	16465.5294
170	16409.16695
171	16373.65964
172	16342.83368
173	16305.40611
174	16271.99066
175	16249.36042
176	16209.42287
177	16181.64247
178	16142.7173
179	16109.53115
180	16072.19656
181	16040.61712
182	16011.29047
183	15980.52977
184	15946.17018
185	15915.63427
186	15864.05136
187	15846.47513
188	15817.22767
189	15786.6955
190	15736.61453
191	15715.33604
192	15667.06079
193	15648.87623
194	15627.48605
195	15615.58518
196	15569.71794
197	15536.96418
198	15497.36657
199	15459.24132
200	15435.03367
201	15422.50445
202	15373.11358
203	15345.26588
204	15319.07749
205	15308.31918
206	15274.8184
207	15235.16321
208	15187.24844
209	15158.00672
210	15123.71856
211	15112.48726
212	15085.26843
213	15046.94501
214	14998.77506
215	14971.19828
216	14921.73473
217	14874.80694
218	14846.60291
219	14800.28402
220	14756.95096
221	14714.76935
222	14676.57336
223	14641.40529
224	14608.91126
225	14568.49338
226	14535.49483
227	14501.27109
228	14474.87767
229	14454.2349
230	14437.32252
231	14427.78073
232	14404.05809
233	14388.29758
234	14353.58889
235	14318.44791
236	14278.68259
237	14244.58404
238	14207.10707
239	14192.36998
240	14155.90002
241	14126.36978
242	14084.05112
243	14059.6392
244	14019.22173
245	13978.61035
246	13970.74559
247	13960.5872
248	13936.61688
249	13911.74554
250	13889.2395
251	13855.49151
252	13821.69829
253	13795.80072
254	13753.31556
255	13730.16341
256	13697.12168
257	13667.60383
258	13659.48194
259	13650.27379
260	13606.20831
261	13578.90148
262	13572.50757
263	13531.73259
264	13506.23584
265	13477.12673
266	13446.03694
267	13430.93399
268	13424.04409
269	13400.99507
270	13384.1139
271	13356.61279
272	13329.08372
273	13302.37731
274	13274.13357
275	13246.40013
276	13232.18818
277	13203.72881
278	13180.39768
279	13149.36178
280	13132.29997
281	13114.95256
282	13096.67505
283	13069.36093
284	13036.10243
285	13013.70918
286	12973.42468
287	12953.94037
288	12939.56101
289	12908.12866
290	12881.8771
291	12849.31569
292	12824.82039
293	12805.5922
294	12775.44877
295	12754.10054
296	12740.34767
297	12729.12187
298	12704.45942
299	12693.54716
300	12673.23401
301	12651.70925
302	12640.99097
303	12614.20864
304	12577.30855
305	12553.13363
306	12544.65288
307	12532.34725
308	12523.30059
309	12504.52726
310	12482.23455
311	12462.6099
312	12439.49496
313	12430.80661
314	12425.43758
315	12409.34277
316	12389.47729
317	12365.97504
318	12342.59256
319	12324.52355
320	12314.34871
321	12299.12351
322	12278.38509
323	12262.92475
324	12238.20231
325	12235.05335
326	12228.36026
327	12214.22722
328	12184.49993
329	12180.09368
330	12166.03534
331	12154.25536
332	12139.50831
333	12123.33005
334	12107.01568
335	12097.81314
336	12080.13434
337	12064.56487
338	12060.89097
339	12043.43559
340	12017.26053
341	12012.93028
342	11987.02988
343	11957.41245
344	11939.94368
345	11936.90526
346	11919.73724
347	11907.75173
348	11888.22509
349	11862.79125
