iter	Passed	Remaining
0	2	2306
1	4	2133
2	5	1899
3	7	1917
4	9	1862
5	11	1962
6	13	1978
7	16	1987
8	17	1975
9	19	1974
10	22	1998
11	24	1983
12	26	2001
13	28	1990
14	30	1988
15	32	2002
16	34	2013
17	37	2023
18	38	2004
19	41	2019
20	43	2034
21	45	2031
22	47	2034
23	50	2036
24	51	2019
25	53	2008
26	56	2036
27	58	2023
28	60	2021
29	62	2018
30	64	2021
31	66	2010
32	68	1999
33	70	1991
34	72	1989
35	74	1990
36	76	1990
37	78	1981
38	80	1989
39	82	1981
40	84	1977
41	86	1972
42	88	1968
43	91	1986
44	93	1979
45	95	1979
46	97	1980
47	99	1980
48	101	1975
49	103	1972
50	105	1967
51	107	1962
52	109	1962
53	111	1961
54	113	1956
55	115	1954
56	118	1953
57	120	1960
58	122	1956
59	125	1968
60	127	1967
61	129	1965
62	131	1960
63	134	1960
64	135	1952
65	137	1951
66	139	1943
67	141	1938
68	143	1931
69	144	1923
70	146	1919
71	148	1913
72	150	1911
73	152	1909
74	154	1905
75	156	1903
76	158	1899
77	160	1897
78	162	1892
79	164	1886
80	166	1886
81	169	1893
82	171	1892
83	173	1895
84	175	1892
85	177	1887
86	179	1882
87	181	1878
88	183	1877
89	185	1873
90	187	1870
91	189	1867
92	191	1865
93	193	1863
94	196	1870
95	198	1867
96	200	1863
97	202	1863
98	204	1859
99	206	1856
100	208	1857
101	210	1856
102	212	1853
103	214	1849
104	216	1847
105	218	1839
106	220	1841
107	222	1836
108	224	1833
109	225	1827
110	228	1828
111	230	1825
112	232	1825
113	234	1820
114	236	1816
115	237	1811
116	240	1811
117	241	1807
118	243	1805
119	245	1803
120	248	1805
121	250	1802
122	252	1801
123	254	1799
124	256	1796
125	258	1792
126	260	1790
127	262	1788
128	264	1785
129	266	1784
130	268	1783
131	270	1781
132	272	1778
133	274	1775
134	276	1774
135	279	1773
136	281	1770
137	283	1770
138	285	1769
139	287	1767
140	289	1765
141	291	1762
142	293	1760
143	296	1759
144	298	1761
145	300	1758
