iter	RMSE
0	74876.25122
1	72683.63974
2	70538.00014
3	68665.15826
4	66780.53069
5	65061.98655
6	63278.83863
7	61486.76764
8	59786.95139
9	58185.57591
10	56686.88499
11	55289.97295
12	53937.09905
13	52539.20533
14	51344.74963
15	50051.99939
16	48949.0523
17	47786.82542
18	46678.07161
19	45624.88697
20	44567.1916
21	43546.47028
22	42605.80238
23	41794.31511
24	40997.23601
25	40164.30421
26	39358.54647
27	38670.55791
28	38003.87037
29	37285.01488
30	36713.74151
31	36141.1754
32	35557.57156
33	35026.83912
34	34464.08015
35	33880.08205
36	33362.4411
37	32886.74988
38	32435.51819
39	31974.54284
40	31494.89948
41	31039.94968
42	30707.8426
43	30271.25912
44	29869.10431
45	29478.00586
46	29103.56897
47	28738.28882
48	28431.05557
49	28106.87525
50	27758.01878
51	27458.65153
52	27145.64301
53	26873.26287
54	26601.3259
55	26319.83456
56	26059.11969
57	25791.31714
58	25590.57991
59	25349.66535
60	25134.73463
61	24909.12975
62	24702.37325
63	24534.40745
64	24308.19526
65	24126.9521
66	23950.23428
67	23723.37959
68	23580.6876
69	23398.22667
70	23254.73692
71	23085.43158
72	22928.70888
73	22773.53143
74	22631.92467
75	22488.84495
76	22350.28087
77	22205.0435
78	22058.52419
79	21902.11694
80	21779.56883
81	21638.32788
82	21524.24013
83	21408.88214
84	21274.31478
85	21138.83785
86	21022.18939
87	20926.18192
88	20815.44655
89	20677.60147
90	20587.89361
91	20517.23341
92	20420.80306
93	20332.0774
94	20227.39583
95	20106.58408
96	20023.91766
97	19932.56187
98	19866.35322
99	19762.59536
100	19687.1064
101	19613.1847
102	19550.48503
103	19465.79567
104	19381.8817
105	19293.06489
106	19220.63112
107	19150.58409
108	19080.58156
109	19021.68939
110	18942.29118
111	18863.5502
112	18795.82794
113	18749.08666
114	18686.07824
115	18633.32931
116	18576.44865
117	18515.03536
118	18444.26471
119	18367.3588
120	18299.21322
121	18269.58946
122	18210.99227
123	18151.94671
124	18082.87627
125	18030.54773
126	17970.32954
127	17933.95656
128	17861.83001
129	17817.25961
130	17769.06048
131	17729.74948
132	17684.54334
133	17642.13418
134	17595.25318
135	17528.52744
136	17488.00053
137	17432.22449
138	17374.70757
139	17330.43934
140	17305.73
141	17272.53437
142	17251.72315
143	17190.0151
144	17164.34031
145	17140.844
146	17095.77021
147	17052.98147
148	17012.21244
149	16957.54833
150	16914.67562
151	16873.95052
152	16843.70475
153	16813.23282
154	16776.7828
155	16754.3256
156	16725.44553
157	16683.95354
158	16632.74811
159	16583.59754
160	16546.01724
161	16499.19237
162	16473.64162
163	16435.25066
164	16395.77524
165	16347.19458
166	16313.58564
167	16273.57862
168	16237.61703
169	16223.29782
170	16206.95931
171	16175.61223
172	16143.74056
173	16118.26955
174	16102.9784
175	16073.51678
176	16037.6178
177	16015.96036
178	15977.76549
179	15929.91204
180	15896.10054
181	15876.24394
182	15858.98473
183	15820.48378
184	15774.12366
185	15725.69108
186	15688.20278
187	15661.78607
188	15624.33368
189	15601.09329
190	15575.7905
191	15550.72551
192	15520.25852
193	15504.92545
194	15477.02407
195	15439.02742
196	15406.59042
197	15385.03838
198	15332.82413
199	15316.14526
200	15297.25721
201	15268.29905
202	15228.35706
203	15196.05361
204	15172.07682
205	15156.36749
206	15115.77588
207	15093.33234
208	15079.77995
209	15063.64439
210	15050.97453
211	15035.3436
212	14987.62821
213	14971.34682
214	14941.01547
215	14913.40156
216	14897.84778
217	14852.43704
218	14832.21779
219	14802.58827
220	14761.01348
221	14712.55977
222	14698.74599
223	14655.5967
224	14643.30124
225	14625.80547
226	14613.66873
227	14577.09693
228	14562.62411
229	14551.81666
230	14523.24649
231	14486.26712
232	14459.10988
233	14446.64548
234	14416.0944
235	14405.75425
236	14378.06121
237	14353.40858
238	14317.90178
239	14291.49834
240	14265.99285
241	14233.58032
242	14201.86165
243	14168.22751
244	14127.95693
245	14097.93778
246	14073.2403
247	14048.48079
248	14038.06663
249	14002.47365
250	13972.49386
251	13943.5672
252	13911.0459
253	13901.7811
254	13867.46588
255	13825.15715
256	13789.98717
257	13752.0848
258	13719.10605
259	13695.77729
260	13668.31051
261	13661.78116
262	13630.79106
263	13622.84237
264	13605.0643
265	13581.56328
266	13574.53555
267	13553.97156
268	13520.50574
269	13501.68381
270	13469.4574
271	13453.41659
272	13438.46684
273	13407.38604
274	13378.47419
275	13365.5219
276	13346.85825
277	13341.01678
278	13316.95388
279	13285.48601
280	13257.75447
281	13230.60956
282	13224.87986
283	13205.84622
284	13198.66766
285	13193.72915
286	13166.26736
287	13145.07947
288	13118.12217
289	13090.25121
290	13065.99029
291	13038.49044
292	13033.22885
293	13029.44989
294	13024.57388
295	13005.66668
296	12986.74799
297	12981.30413
298	12956.94884
299	12941.42286
300	12924.05221
301	12919.19052
302	12887.07424
303	12855.23666
304	12842.44572
305	12814.80811
306	12792.88452
307	12767.75842
308	12764.43283
309	12759.322
310	12742.63641
311	12714.39198
312	12682.03617
313	12652.36119
314	12648.189
315	12628.66463
316	12609.87265
317	12587.70071
318	12583.57576
319	12579.79133
320	12559.50982
321	12521.68593
322	12516.32774
323	12493.71048
324	12466.89249
325	12458.98927
326	12422.36695
327	12400.0382
328	12393.70437
329	12381.198
330	12359.23844
331	12338.85971
332	12332.38943
333	12306.29742
334	12300.78801
335	12298.39047
336	12278.27829
337	12269.52453
338	12254.1282
339	12214.83471
340	12199.54799
341	12166.66875
342	12164.10923
343	12160.80331
344	12156.58315
345	12120.38623
346	12107.21457
347	12087.15806
348	12065.8332
349	12060.6699
350	12056.78945
351	12046.45909
352	12018.58097
353	11991.12023
354	11963.17401
355	11937.04994
356	11919.359
357	11903.00281
358	11897.91147
359	11894.33138
360	11864.81441
361	11859.05358
362	11839.25058
363	11821.4545
364	11817.25115
365	11790.25189
366	11786.43704
367	11769.67862
368	11753.1777
369	11724.64638
370	11708.53144
371	11684.79069
372	11682.39574
373	11658.92707
374	11645.66338
375	11628.25816
376	11625.1909
377	11602.29186
378	11582.66065
379	11561.45018
380	11540.70215
381	11518.96607
382	11492.97066
383	11466.26091
384	11439.19929
385	11427.21362
386	11411.10223
387	11390.23613
388	11367.7012
389	11345.79566
390	11323.47216
391	11303.0669
392	11300.17768
393	11280.67353
394	11265.59467
395	11247.87134
396	11229.15453
397	11225.81403
398	11211.62699
399	11191.25074
400	11173.48187
401	11155.2151
402	11136.09354
403	11131.79771
404	11128.18762
405	11102.42657
406	11088.27401
407	11066.77255
408	11056.98016
409	11039.93636
410	11027.50001
411	11024.42299
412	11003.34456
413	10985.04344
414	10967.44478
415	10947.14948
416	10922.20292
417	10909.08844
418	10895.25764
419	10873.39814
420	10851.66257
421	10835.41555
422	10822.15306
423	10818.95208
424	10796.32866
425	10782.90756
426	10760.23167
427	10741.25942
428	10737.94689
429	10719.95095
430	10698.61364
431	10684.8487
432	10672.38257
433	10669.80337
434	10651.17405
435	10629.00147
436	10605.66739
437	10582.37349
438	10563.5948
439	10558.26608
440	10546.37891
441	10532.88405
442	10519.72408
443	10516.46976
444	10498.84786
445	10486.92301
446	10469.38058
447	10445.51054
448	10426.56388
449	10409.97354
450	10395.40926
451	10374.01207
452	10371.35139
453	10356.36877
454	10341.32783
455	10323.81782
456	10305.20162
457	10293.45728
458	10290.89873
459	10272.20688
460	10266.03281
461	10248.16008
462	10231.03063
463	10215.02775
464	10196.72469
465	10187.01593
466	10185.74698
467	10169.83378
468	10150.21975
469	10128.91744
470	10115.16568
471	10099.64169
472	10094.16119
473	10076.85766
474	10064.46711
475	10050.32727
476	10027.39281
477	10024.53466
478	10021.8662
479	10019.76113
480	10018.60088
481	9997.544833
482	9981.427619
483	9967.855267
484	9952.151859
485	9934.497131
486	9933.172284
487	9917.03427
488	9914.949083
489	9894.998558
490	9876.319962
491	9870.808637
492	9854.714284
493	9845.422242
494	9831.28579
495	9814.818249
496	9794.081394
497	9776.289171
498	9756.895756
499	9738.532067
500	9736.22046
501	9720.862856
502	9704.444575
503	9686.510519
504	9669.269389
505	9667.144411
506	9654.410372
507	9636.159489
508	9621.631329
509	9609.781499
510	9592.212969
511	9580.415465
512	9560.288624
513	9539.073574
514	9526.859221
515	9515.409291
516	9499.758384
517	9485.174163
518	9470.270159
519	9468.226735
520	9454.780956
521	9436.989646
522	9435.650264
523	9423.648149
524	9419.473496
525	9407.608017
526	9393.295446
527	9377.687509
528	9375.304549
529	9357.385902
530	9336.36561
531	9321.044101
532	9311.182604
533	9292.997529
534	9282.915731
535	9280.715506
536	9269.969426
537	9251.239325
538	9248.996654
539	9240.194238
540	9223.091455
541	9210.56845
542	9200.351498
543	9185.343809
544	9171.972631
545	9170.693546
546	9168.640276
547	9159.822484
548	9150.850641
549	9141.85834
550	9139.74723
551	9125.664813
552	9122.738901
553	9120.801763
554	9103.103701
555	9086.568107
556	9073.798913
557	9062.006285
558	9051.166837
559	9037.140999
560	9027.06401
561	9012.462644
562	9001.580871
563	8988.852621
564	8987.009286
565	8975.411804
566	8960.783459
567	8943.629227
568	8926.437694
569	8913.338876
570	8903.164485
571	8901.507444
572	8892.440477
573	8881.815345
574	8870.592011
575	8854.361224
576	8841.881523
577	8827.612323
578	8814.44892
579	8803.420799
580	8787.89182
581	8775.002544
582	8764.075528
583	8754.081556
584	8741.210827
585	8726.533758
586	8723.905681
587	8710.316203
588	8696.127988
589	8683.212346
590	8675.108467
591	8662.639273
592	8660.923542
593	8655.733066
594	8639.881487
595	8632.944187
596	8621.742604
597	8606.675232
598	8592.382951
599	8591.262032
600	8577.319869
601	8576.016828
602	8568.905246
603	8560.358546
604	8549.469185
605	8532.304466
606	8524.726726
607	8523.284931
608	8510.903394
609	8499.234526
610	8485.682686
611	8476.908766
612	8465.60749
613	8450.397621
614	8439.309357
615	8436.314309
616	8425.045645
617	8416.122487
618	8403.907416
619	8392.002174
620	8381.499886
621	8367.503869
622	8363.071517
623	8355.584571
624	8351.873727
625	8342.349385
626	8333.422115
627	8323.551399
628	8310.544892
629	8302.447169
630	8289.331085
631	8279.866888
632	8265.773431
633	8256.953987
634	8242.182255
635	8234.43616
636	8225.021235
637	8210.43167
638	8196.403338
639	8184.739026
