iter	Passed	Remaining
0	6	6621
1	12	6189
2	17	5655
3	22	5544
4	27	5477
5	33	5481
6	38	5448
7	43	5341
8	48	5303
9	55	5499
10	60	5452
11	67	5535
12	72	5510
13	77	5480
14	83	5457
15	88	5421
16	92	5365
17	98	5388
18	103	5363
19	108	5339
20	114	5320
21	120	5343
22	128	5460
23	133	5434
24	138	5415
25	144	5414
26	149	5393
27	154	5380
28	160	5369
29	165	5366
30	170	5332
31	176	5351
32	182	5335
33	188	5348
34	194	5374
35	200	5364
36	205	5346
37	211	5364
38	218	5387
39	224	5396
40	230	5391
41	236	5397
42	241	5384
43	246	5358
44	252	5359
45	258	5356
46	263	5343
47	268	5328
48	275	5343
49	281	5339
50	285	5317
51	291	5312
52	297	5309
53	302	5307
54	307	5285
55	313	5280
56	318	5267
57	324	5269
58	330	5270
59	335	5249
60	342	5276
61	349	5287
62	353	5260
63	358	5237
64	364	5239
65	369	5229
66	375	5225
67	380	5215
68	386	5216
69	393	5230
70	398	5209
71	402	5190
72	409	5197
73	414	5181
74	419	5178
75	425	5167
76	431	5174
77	436	5155
78	440	5138
79	447	5142
80	453	5145
81	458	5133
82	464	5133
83	471	5137
84	478	5149
85	483	5141
86	490	5149
87	495	5137
88	500	5119
89	504	5099
90	509	5092
91	514	5077
92	523	5106
93	529	5102
94	533	5084
95	539	5081
96	546	5086
97	551	5079
98	555	5058
99	562	5059
100	566	5040
101	572	5044
102	578	5034
103	583	5029
104	588	5016
105	593	5003
106	599	4999
107	605	5000
108	611	4998
109	616	4986
110	620	4971
111	625	4962
112	630	4952
113	635	4939
114	643	4950
115	649	4945
116	656	4954
117	661	4947
118	669	4954
119	675	4955
120	682	4956
121	687	4948
122	692	4937
123	699	4941
124	705	4940
125	710	4931
126	717	4929
127	722	4923
128	729	4923
129	735	4920
130	740	4912
131	745	4900
132	749	4885
133	755	4881
134	759	4868
135	765	4865
136	770	4853
137	774	4840
138	781	4838
139	785	4828
140	790	4816
141	795	4809
142	803	4815
143	810	4819
144	816	4815
145	821	4804
146	827	4803
147	832	4794
148	837	4784
149	844	4785
150	851	4784
151	855	4774
152	863	4777
153	867	4766
154	872	4755
155	878	4750
156	882	4740
157	889	4738
158	894	4729
159	902	4737
160	908	4734
161	913	4725
162	920	4727
163	926	4722
164	931	4713
