iter	RMSE
0	72296.70964
1	70227.8825
2	68087.06675
3	66233.70127
4	64356.50508
5	62605.16986
6	60789.06244
7	59095.2066
8	57477.6195
9	55971.2591
10	54375.17326
11	52936.57732
12	51627.54461
13	50292.50458
14	48995.41994
15	47780.02947
16	46607.77827
17	45494.47162
18	44432.16574
19	43379.90326
20	42423.2012
21	41408.03321
22	40509.28548
23	39698.69524
24	38826.02042
25	38071.58531
26	37260.79201
27	36540.57197
28	35841.80237
29	35176.49093
30	34621.72332
31	34020.88001
32	33434.28854
33	32838.98832
34	32321.26003
35	31793.93393
36	31262.59363
37	30793.99837
38	30292.29995
39	29874.95883
40	29473.22111
41	29062.20735
42	28643.83753
43	28257.78753
44	27940.09437
45	27580.05746
46	27225.6429
47	26916.56794
48	26628.59777
49	26327.72066
50	26022.35416
51	25737.12064
52	25480.1863
53	25230.79228
54	24923.81604
55	24670.41353
56	24434.37453
57	24179.54303
58	23932.27262
59	23682.05784
60	23490.65363
61	23283.55404
62	23098.51001
63	22917.00088
64	22722.38032
65	22542.45422
66	22364.67542
67	22189.93838
68	22024.72334
69	21857.90745
70	21704.47165
71	21553.60162
72	21387.12091
73	21251.21809
74	21130.95049
75	21032.37034
76	20929.27993
77	20804.72401
78	20692.75709
79	20575.14122
80	20473.55015
81	20360.07593
82	20251.1189
83	20161.77569
84	20057.76571
85	19947.96682
86	19857.4022
87	19766.09904
88	19678.39463
89	19609.23501
90	19517.15166
91	19424.05835
92	19343.03182
93	19264.23349
94	19200.08768
95	19118.88777
96	19037.94573
97	18946.23299
98	18888.94169
99	18830.02269
100	18761.01546
101	18696.51414
102	18622.50707
103	18560.78992
104	18493.62218
105	18424.31983
106	18367.84796
107	18293.17416
108	18235.12285
109	18172.35116
110	18121.77675
111	18069.50277
112	18009.36847
113	17943.43477
114	17893.10201
115	17850.75327
116	17800.80293
117	17754.81747
118	17715.37129
119	17664.54391
120	17595.50145
121	17554.31085
122	17503.31705
123	17453.17825
124	17428.38459
125	17375.71333
126	17302.55632
127	17259.22646
128	17209.38894
129	17163.53978
130	17121.43625
131	17072.20331
132	17032.53912
133	17004.43333
134	16969.90049
135	16934.36364
136	16899.65897
137	16854.63855
138	16816.16503
139	16770.13805
140	16736.31621
141	16708.74088
142	16675.78479
143	16626.92474
144	16590.90488
145	16554.37189
146	16526.17244
147	16479.801
148	16456.08132
149	16421.30742
150	16378.23616
151	16347.01737
152	16301.39167
153	16245.08252
154	16218.8664
155	16168.93255
156	16131.21123
157	16104.4579
158	16063.88304
159	16036.65748
160	15999.79077
161	15963.84063
162	15957.98181
163	15929.47171
164	15898.40718
165	15853.05676
166	15828.63097
167	15775.39324
168	15745.92317
