iter	Passed	Remaining
0	5	5292
1	12	6263
2	17	5898
3	21	5474
4	26	5299
5	31	5299
6	37	5249
7	43	5365
8	49	5431
9	55	5458
10	61	5531
11	66	5445
12	73	5555
13	79	5612
14	85	5592
15	89	5514
16	95	5520
17	99	5413
18	104	5376
19	109	5379
20	114	5358
21	119	5325
22	125	5314
23	130	5327
24	136	5336
25	142	5356
26	147	5328
27	153	5342
28	161	5418
29	166	5385
30	173	5433
31	180	5467
32	185	5439
33	190	5408
34	194	5353
35	198	5327
36	205	5350
37	210	5336
38	217	5359
39	224	5378
40	228	5333
41	233	5336
42	238	5310
43	244	5307
44	250	5321
45	255	5297
46	261	5294
47	264	5249
48	274	5325
49	280	5330
50	287	5343
51	292	5335
52	301	5383
53	304	5341
54	310	5330
55	318	5377
56	324	5368
57	331	5388
58	337	5387
59	343	5376
60	348	5363
61	354	5357
62	358	5328
63	364	5333
64	368	5306
65	373	5289
66	379	5283
67	384	5275
68	392	5295
69	398	5292
70	403	5273
71	408	5265
72	417	5302
73	422	5286
74	426	5263
75	430	5236
76	438	5255
77	447	5287
78	451	5264
79	459	5286
80	463	5261
81	468	5245
82	474	5237
83	478	5222
84	486	5233
85	492	5233
86	498	5230
87	504	5228
88	510	5227
89	516	5217
90	520	5197
91	524	5177
92	528	5151
93	533	5138
94	539	5138
95	544	5131
96	548	5110
97	553	5094
98	559	5087
99	564	5081
100	577	5135
101	583	5138
102	589	5136
103	595	5126
104	599	5111
105	603	5089
106	610	5096
107	616	5094
108	622	5087
109	629	5090
110	634	5077
111	639	5066
112	644	5061
113	650	5053
114	656	5054
115	664	5062
116	671	5065
117	677	5064
118	684	5068
119	691	5073
120	699	5084
121	706	5081
122	712	5078
123	719	5083
124	723	5065
125	728	5054
126	735	5052
127	740	5046
128	744	5025
129	750	5021
130	755	5008
131	760	5001
132	765	4990
133	771	4984
134	775	4969
135	785	4990
136	796	5020
137	809	5054
138	817	5066
139	827	5086
140	836	5098
141	842	5092
142	849	5090
143	854	5079
144	859	5068
145	866	5068
146	873	5066
147	877	5053
