iter	RMSE
0	71886.50168
1	69907.49792
2	67843.28754
3	65926.50049
4	64044.97211
5	62391.69322
6	60635.63179
7	58929.13578
8	57440.02066
9	55939.23073
10	54418.55186
11	52983.57654
12	51715.37161
13	50445.72358
14	49187.17066
15	47966.6323
16	46775.93429
17	45634.74076
18	44520.83061
19	43455.89239
20	42480.64531
21	41662.0375
22	40786.39503
23	39980.6893
24	39179.44955
25	38381.35433
26	37636.40808
27	36933.01252
28	36261.38024
29	35594.84015
30	35005.19839
31	34452.34513
32	33858.46913
33	33270.8383
34	32727.40273
35	32212.62333
36	31668.6662
37	31206.83194
38	30723.89439
39	30272.92752
40	29811.28842
41	29404.05936
42	28992.1316
43	28612.42394
44	28253.10079
45	27891.82368
46	27505.74788
47	27142.05312
48	26830.09623
49	26530.12923
50	26263.23004
51	26013.38883
52	25730.07207
53	25492.66636
54	25218.87433
55	24950.26055
56	24665.04698
57	24436.15244
58	24200.67985
59	23955.90555
60	23768.62979
61	23572.22263
62	23368.5501
63	23164.62688
64	22970.72609
65	22792.54522
66	22600.60093
67	22430.85524
68	22260.53541
69	22105.54944
70	21979.66476
71	21801.25282
72	21646.82397
73	21505.94878
74	21390.347
75	21266.57964
76	21155.5705
77	21019.2351
78	20881.48536
79	20764.14581
80	20638.49815
81	20527.46496
82	20401.0525
83	20299.25053
84	20178.31668
85	20074.69427
86	19967.34027
87	19879.16028
88	19780.74063
89	19673.84684
90	19573.40438
91	19450.3024
92	19359.90576
93	19283.94593
94	19181.10461
95	19122.24492
96	19063.44086
97	18989.56973
98	18926.84838
99	18843.39117
100	18763.96642
101	18688.18883
102	18639.35223
103	18564.63247
104	18520.4432
105	18439.02282
106	18363.88504
107	18301.84586
108	18228.574
109	18167.14062
110	18108.01312
111	18012.25465
112	17937.4808
113	17868.65034
114	17807.95155
115	17736.95992
116	17691.81133
117	17644.27217
118	17601.05012
119	17550.13061
120	17498.75825
121	17455.45802
122	17393.43075
123	17312.30276
124	17271.1784
125	17204.95831
126	17170.32457
127	17105.08698
128	17063.80873
129	17019.64638
130	16943.45587
131	16890.93691
132	16834.07412
133	16760.51502
134	16705.86822
135	16664.06997
136	16618.3136
137	16563.32761
138	16511.39529
139	16456.59995
140	16419.66022
141	16390.49621
142	16348.82824
143	16331.00848
144	16293.45654
145	16247.42193
146	16200.43151
147	16159.92832
148	16125.88469
149	16093.23639
150	16047.76172
151	16015.11526
152	15960.13728
153	15921.51585
154	15897.53424
155	15850.09228
156	15813.47707
157	15760.02281
158	15718.2565
159	15698.48672
160	15661.95863
161	15624.61446
162	15602.68677
163	15567.92402
164	15518.74302
165	15487.21515
166	15457.91131
167	15422.88676
168	15382.80441
169	15364.64531
170	15323.08127
171	15290.09677
172	15242.29899
173	15206.85206
174	15178.79821
175	15149.23086
176	15123.38869
177	15093.01045
178	15071.72339
179	15029.84272
180	14990.45661
181	14961.83955
182	14926.32757
183	14897.14046
184	14869.79799
185	14840.43403
186	14821.06958
187	14778.56335
188	14767.04688
189	14742.3958
190	14717.61937
191	14696.63546
192	14664.92365
193	14612.92908
194	14584.886
195	14562.50671
196	14518.19724
197	14498.61645
198	14464.70177
199	14437.66219
200	14395.69497
201	14352.0872
202	14328.37123
203	14293.81208
204	14267.36991
205	14214.56618
206	14188.58247
207	14155.68579
208	14112.88536
209	14082.65678
210	14056.2358
211	14023.34307
212	13992.32354
213	13962.21147
214	13936.38605
215	13916.80901
216	13892.42979
217	13877.28668
218	13854.89685
219	13816.35228
220	13784.25581
221	13749.91983
222	13734.94284
223	13699.38742
224	13671.75159
225	13631.68957
226	13605.03282
227	13585.59906
228	13560.18682
229	13526.63426
230	13501.87551
231	13462.30505
232	13436.25022
233	13402.59976
234	13370.25928
235	13358.78484
236	13334.76839
237	13312.93221
238	13303.65558
239	13283.96292
240	13274.45556
241	13245.23131
242	13217.44956
243	13189.14118
244	13169.51143
245	13140.68482
246	13131.4719
247	13121.35829
248	13093.66456
249	13070.38487
250	13047.07057
251	13040.60401
252	13032.057
253	13004.35561
254	12987.41625
255	12961.45912
256	12930.25109
257	12899.06864
258	12869.16799
259	12843.06941
260	12810.23633
261	12787.78358
262	12763.79947
263	12740.19516
264	12713.67791
265	12692.94878
266	12672.35847
267	12651.5383
268	12637.98984
269	12617.26285
270	12597.13734
271	12573.66531
272	12550.06435
273	12524.87731
274	12496.25183
275	12490.42455
276	12475.60979
277	12442.77041
278	12423.27269
279	12404.37779
280	12399.23097
281	12393.95819
282	12369.24537
283	12342.24598
284	12325.06309
285	12299.99553
286	12294.13866
287	12263.0026
288	12237.72657
289	12217.23916
290	12191.95982
291	12170.07756
292	12149.56938
293	12131.28433
294	12113.29233
295	12092.12987
296	12065.51415
297	12050.62635
298	12027.42987
299	12003.98977
300	11997.2819
301	11978.63562
302	11956.36645
303	11934.9984
304	11919.71305
305	11901.22105
306	11885.84056
307	11866.19552
308	11850.46651
309	11833.88163
310	11807.03249
311	11787.43575
312	11768.46293
313	11754.87018
314	11735.28295
315	11719.42328
316	11688.68655
317	11674.46508
318	11668.27729
319	11645.92574
320	11627.65233
321	11602.7584
322	11583.33906
323	11564.14083
324	11550.43964
325	11530.92446
326	11526.10489
327	11505.50912
328	11491.0002
329	11473.20904
330	11465.03161
331	11451.1668
332	11428.98436
333	11416.0723
334	11401.14091
335	11390.25067
336	11369.39405
337	11354.4449
338	11342.00395
339	11325.09665
340	11315.86094
341	11296.84809
342	11277.53936
343	11272.74791
344	11269.2467
345	11251.58498
346	11238.8002
347	11220.65013
348	11202.44244
349	11185.08898
350	11169.47555
351	11151.41375
352	11135.89071
353	11111.59285
354	11100.56355
355	11080.80565
356	11060.02163
357	11040.97889
358	11023.08155
359	11007.18152
360	10998.80712
361	10989.94856
362	10965.99491
363	10944.53369
364	10925.81287
365	10916.23425
366	10902.43124
367	10884.02156
368	10872.3133
369	10857.12168
370	10844.45426
371	10841.26254
372	10824.78634
373	10817.70907
374	10807.72394
375	10788.55841
376	10777.50119
377	10764.28758
378	10747.55182
379	10729.11316
380	10723.93803
381	10717.71219
382	10701.85203
383	10687.29514
384	10659.81754
385	10653.03066
386	10635.30025
387	10625.79212
388	10616.37557
389	10606.30809
390	10602.63959
391	10586.86917
392	10579.37685
393	10563.04635
394	10556.80875
395	10548.75501
396	10539.23504
397	10521.44447
398	10500.89789
399	10484.57316
400	10476.14571
401	10471.75269
402	10460.65445
403	10444.88883
404	10439.12808
405	10430.72471
406	10415.51966
407	10401.46987
408	10388.56528
409	10369.45515
410	10355.1482
411	10342.17102
412	10328.91299
413	10316.16536
414	10303.47225
415	10288.73555
416	10277.03967
417	10264.62817
418	10250.67811
419	10237.63313
420	10220.13378
421	10199.95141
422	10187.4524
423	10171.366
424	10158.3216
425	10136.95453
426	10126.88447
427	10116.11623
428	10098.9725
429	10087.36275
430	10075.16079
431	10059.15405
432	10047.79736
433	10032.0583
434	10021.75738
435	10007.26691
436	9994.825673
437	9981.23848
438	9972.766207
439	9960.248189
