iter	Passed	Remaining
0	4	4990
1	8	4277
2	12	4178
3	17	4338
4	21	4299
5	25	4227
6	29	4211
7	33	4131
8	36	4042
9	39	3958
10	43	3896
11	46	3841
12	49	3774
13	52	3718
14	55	3657
15	58	3596
16	61	3537
17	63	3471
18	66	3426
19	68	3376
20	71	3332
21	73	3286
22	76	3242
23	78	3196
24	80	3155
25	83	3119
26	85	3086
27	88	3071
28	90	3041
29	93	3011
30	95	2981
31	97	2955
32	100	2940
33	102	2924
34	105	2898
35	107	2876
36	109	2856
37	111	2832
38	114	2815
39	116	2792
40	118	2772
41	120	2756
42	123	2740
43	125	2725
44	127	2709
45	129	2694
46	132	2681
47	134	2670
48	137	2660
49	139	2645
50	141	2633
51	143	2619
52	146	2611
53	148	2604
54	150	2593
55	153	2585
56	155	2578
57	157	2565
58	160	2556
59	162	2548
60	164	2537
61	167	2534
62	170	2529
63	172	2519
64	174	2512
65	176	2501
66	178	2490
67	181	2482
68	183	2474
69	185	2469
70	188	2464
71	190	2455
72	192	2446
73	194	2439
74	197	2438
75	199	2430
76	202	2423
77	204	2414
78	206	2406
79	208	2401
80	210	2393
81	213	2386
82	215	2379
83	217	2374
84	220	2369
85	222	2362
86	224	2354
87	226	2348
88	229	2346
89	231	2340
90	233	2335
91	236	2330
92	238	2324
93	240	2317
94	242	2312
95	245	2308
96	247	2305
97	249	2300
98	252	2296
99	254	2292
100	257	2287
101	259	2282
102	261	2277
103	263	2273
104	266	2269
105	268	2265
106	270	2261
107	273	2257
108	275	2251
109	277	2245
110	279	2239
111	282	2235
112	284	2230
113	286	2224
114	288	2221
115	290	2217
116	293	2212
117	295	2206
118	297	2203
119	299	2199
120	302	2195
121	304	2190
122	306	2186
123	308	2181
124	311	2178
125	313	2174
126	315	2170
127	317	2164
128	320	2160
129	322	2156
130	324	2152
131	327	2150
132	329	2147
133	331	2143
134	334	2143
135	336	2139
136	339	2135
137	341	2132
138	343	2129
139	346	2125
140	348	2123
141	350	2120
142	353	2116
143	355	2113
144	357	2109
145	360	2106
146	362	2102
147	364	2099
148	367	2097
149	369	2093
150	371	2090
151	374	2089
152	376	2086
153	379	2082
154	381	2078
155	383	2074
156	385	2070
157	388	2068
158	390	2065
159	392	2061
160	394	2057
161	397	2054
162	399	2050
163	401	2047
164	404	2047
165	406	2043
166	409	2040
167	411	2037
168	413	2034
169	415	2030
170	418	2027
171	420	2023
172	422	2020
173	424	2017
174	427	2013
175	429	2009
176	431	2006
177	434	2004
178	436	2000
179	438	1997
180	440	1995
181	443	1992
182	445	1990
183	448	1988
184	451	1987
185	453	1985
186	456	1985
187	459	1986
188	462	1983
189	464	1980
190	467	1978
191	469	1975
192	471	1971
193	473	1968
194	476	1966
195	478	1963
196	480	1960
197	483	1957
198	485	1953
199	487	1951
200	489	1947
201	492	1944
202	494	1942
203	496	1938
204	499	1937
205	501	1933
206	504	1932
207	506	1928
208	508	1925
209	511	1922
210	513	1919
211	515	1917
212	517	1913
213	520	1911
214	522	1908
215	524	1905
216	527	1902
217	529	1899
218	531	1896
219	534	1893
220	536	1890
221	538	1887
222	540	1884
223	542	1880
224	544	1877
225	547	1874
226	549	1871
227	552	1869
228	554	1866
229	556	1863
230	558	1860
231	560	1857
232	563	1854
233	566	1853
234	568	1851
235	571	1848
236	573	1845
237	575	1843
238	577	1840
239	580	1839
240	583	1836
241	585	1835
242	588	1832
243	590	1829
244	592	1826
245	594	1823
246	597	1821
247	599	1818
248	601	1815
249	604	1814
250	607	1811
251	609	1809
252	611	1806
253	614	1804
254	616	1800
255	618	1798
256	621	1795
257	623	1792
258	625	1790
259	628	1787
260	630	1785
261	632	1782
262	635	1780
263	637	1777
264	639	1774
265	642	1772
266	644	1769
267	646	1766
268	649	1763
269	651	1762
270	654	1759
271	656	1756
272	658	1753
273	661	1751
274	663	1748
275	665	1746
276	668	1744
277	670	1741
278	672	1738
279	675	1735
280	677	1732
281	679	1729
282	681	1726
283	683	1724
284	686	1721
285	688	1719
286	691	1717
287	694	1716
288	696	1713
289	698	1710
290	701	1709
291	703	1706
292	705	1703
