iter	RMSE
0	72571.33395
1	70623.25651
2	68518.86386
3	66567.31106
4	64735.25543
5	62875.19378
6	61177.46176
7	59482.00673
8	57942.49608
9	56436.15673
10	55082.17814
11	53702.64617
12	52340.58186
13	51114.87735
14	49842.87659
15	48630.88409
16	47591.34579
17	46538.06356
18	45465.15869
19	44392.26071
20	43403.3734
21	42465.03063
22	41638.98631
23	40880.83622
24	40051.302
25	39332.4921
26	38745.21398
27	38060.67042
28	37372.35939
29	36737.16349
30	36026.68835
31	35401.9738
32	34803.07795
33	34263.14849
34	33737.6874
35	33223.91022
36	32728.11666
37	32331.67275
38	31913.02496
39	31475.99903
40	31098.28137
41	30660.4316
42	30263.91482
43	29946.004
44	29545.4462
45	29243.41235
46	28891.44262
47	28628.73005
48	28354.61773
49	28098.86459
50	27838.33113
51	27557.50261
52	27316.03647
53	27102.31673
54	26830.7343
55	26530.05472
56	26259.49521
57	26003.7275
58	25794.43772
59	25580.15654
60	25404.76317
61	25209.02084
62	25055.02629
63	24928.73007
64	24790.11686
65	24610.91792
66	24451.30156
67	24302.31442
68	24113.18621
69	23923.78864
70	23738.41739
71	23607.63354
72	23499.90039
73	23383.38647
74	23240.83734
75	23098.90791
76	22951.87909
77	22854.95218
78	22750.5535
79	22604.14656
80	22480.81052
81	22424.36309
82	22307.19048
83	22220.89805
84	22106.58013
85	21989.2095
86	21898.7913
87	21800.43658
88	21723.64766
89	21629.8176
90	21549.68904
91	21443.44467
92	21374.12219
93	21264.73055
94	21177.27703
95	21110.73594
96	21029.14961
97	20904.90561
98	20810.28874
99	20709.5933
100	20625.81058
101	20540.04032
102	20466.73011
103	20378.54912
104	20295.42031
105	20223.01958
106	20158.86554
107	20091.07448
108	20016.86295
109	19968.85558
110	19902.13145
111	19843.54729
112	19780.41389
113	19702.57761
114	19613.19011
115	19550.22974
116	19492.18007
117	19431.09436
118	19351.73692
119	19290.95551
120	19239.37286
121	19183.91126
122	19122.13033
123	19073.12855
124	19020.63602
125	18969.20263
126	18926.3704
127	18899.25945
128	18839.65991
129	18784.71059
130	18736.00469
131	18696.13064
132	18624.20325
133	18573.21912
134	18519.09525
135	18480.39413
136	18421.68923
137	18377.36082
138	18342.34812
139	18257.39734
140	18214.41361
141	18158.1114
142	18110.04271
143	18061.49611
144	18017.38294
145	17957.3768
146	17919.56153
147	17876.0954
148	17835.14898
149	17780.0278
150	17729.22467
151	17680.15562
152	17657.81812
153	17626.33014
154	17587.46502
155	17553.51938
156	17485.70661
157	17428.85526
158	17388.55761
159	17370.67316
160	17321.35921
161	17285.72252
162	17234.29466
163	17192.50562
164	17144.98065
165	17110.35607
166	17060.79436
167	17017.40746
168	16958.36091
169	16910.604
170	16871.0803
171	16836.35095
172	16781.51068
173	16749.93339
174	16711.7412
175	16670.48297
176	16639.30876
177	16609.41219
178	16557.19833
179	16527.67548
180	16491.04126
181	16442.90923
182	16403.72683
183	16375.36255
184	16341.80576
