iter	Passed	Remaining
0	3	3645
1	5	2869
2	7	2625
3	9	2449
4	11	2366
5	13	2299
6	16	2280
7	18	2260
8	20	2223
9	22	2212
10	24	2191
11	26	2172
12	28	2142
13	30	2125
14	32	2103
15	33	2089
16	35	2078
17	38	2076
18	40	2069
19	41	2055
20	44	2055
21	46	2047
22	48	2047
23	50	2046
24	52	2044
25	54	2035
26	56	2024
27	58	2015
28	60	2011
29	61	2004
30	63	1998
31	65	1992
32	67	1988
33	69	1980
34	71	1974
35	73	1970
36	75	1968
37	77	1962
38	79	1958
39	81	1951
40	83	1947
41	85	1944
42	87	1942
43	89	1937
44	91	1933
45	92	1928
46	95	1928
47	96	1922
48	98	1918
49	101	1925
50	103	1919
51	104	1913
52	106	1910
53	108	1906
54	110	1901
55	112	1896
56	115	1905
57	117	1902
58	119	1903
59	121	1899
60	123	1897
61	125	1892
62	127	1896
63	129	1893
64	131	1889
65	133	1885
66	135	1884
67	137	1879
68	138	1874
69	140	1869
70	142	1864
71	144	1861
72	146	1856
73	148	1852
74	149	1849
75	151	1846
76	153	1842
77	155	1839
78	157	1836
79	159	1832
80	161	1829
81	163	1825
82	164	1822
83	166	1820
84	168	1816
85	170	1813
86	172	1811
87	174	1809
88	176	1805
89	178	1801
90	180	1798
91	181	1795
92	183	1792
93	185	1791
94	187	1788
95	189	1784
96	191	1780
97	193	1777
98	194	1774
99	196	1770
100	198	1768
101	200	1768
102	203	1769
103	205	1770
104	207	1770
105	210	1772
106	212	1772
107	214	1770
108	216	1767
109	218	1765
110	220	1764
111	222	1761
112	224	1760
113	226	1760
114	229	1763
115	231	1762
116	233	1759
117	235	1757
118	237	1755
119	239	1754
120	241	1752
121	243	1749
122	245	1747
123	247	1745
124	248	1742
125	250	1740
126	252	1738
127	254	1735
128	256	1732
129	258	1730
130	260	1727
131	262	1724
132	264	1721
133	265	1718
134	268	1717
135	270	1715
136	271	1713
137	273	1710
138	275	1707
139	277	1706
140	279	1703
141	281	1701
142	283	1698
143	285	1695
144	286	1692
145	288	1690
146	290	1687
147	292	1684
148	294	1680
149	296	1678
150	298	1675
151	299	1673
152	301	1670
153	303	1667
154	305	1665
155	307	1663
156	309	1661
157	311	1658
158	313	1656
159	315	1654
160	317	1652
161	319	1650
162	320	1647
163	322	1645
164	324	1642
165	326	1640
166	328	1637
167	330	1635
168	332	1633
169	334	1631
170	336	1628
171	338	1627
172	340	1625
173	342	1623
174	343	1621
175	345	1619
176	348	1620
177	350	1618
178	352	1615
179	354	1613
180	356	1611
181	358	1609
182	360	1607
183	361	1605
184	363	1602
185	365	1600
186	367	1598
187	369	1596
188	371	1594
189	373	1592
190	375	1589
191	377	1588
192	379	1586
193	381	1583
194	383	1581
195	385	1579
196	387	1577
197	388	1575
198	390	1573
199	392	1570
200	394	1568
201	396	1566
202	398	1564
203	400	1561
204	401	1558
205	403	1556
206	405	1553
207	407	1551
208	409	1549
209	411	1546
210	413	1544
211	414	1542
212	416	1540
213	418	1538
214	420	1535
215	422	1533
216	424	1530
217	426	1529
218	428	1526
219	430	1525
220	432	1523
221	434	1521
222	435	1518
223	437	1516
224	439	1514
225	441	1511
226	443	1510
227	446	1510
228	449	1513
229	452	1514
230	453	1511
231	455	1508
232	457	1505
233	458	1502
234	461	1501
235	462	1498
236	464	1494
237	465	1491
238	467	1488
239	469	1485
240	470	1482
241	472	1479
242	474	1477
243	475	1474
244	477	1472
245	479	1469
246	481	1466
247	482	1463
248	484	1460
249	485	1457
250	487	1454
251	489	1452
