iter	RMSE
0	73882.66865
1	71635.50038
2	69667.35286
3	67688.21779
4	65710.17834
5	64110.87027
6	62416.39601
7	60787.91628
8	59279.41209
9	57685.41527
10	56124.3295
11	54698.5669
12	53332.88025
13	52038.10475
14	50819.51263
15	49530.43429
16	48344.0921
17	47348.13515
18	46366.41247
19	45425.66896
20	44469.79204
21	43595.45027
22	42719.71227
23	41814.05008
24	41026.59604
25	40289.78216
26	39545.59953
27	38830.25587
28	38127.86535
29	37462.69033
30	36850.16182
31	36250.24462
32	35635.59811
33	35166.8744
34	34585.1069
35	34109.15086
36	33674.92715
37	33209.64923
38	32761.2841
39	32314.01308
40	31897.92111
41	31509.58444
42	31143.7196
43	30781.99744
44	30415.43116
45	30009.03467
46	29657.71403
47	29278.17299
48	28952.18872
49	28646.52244
50	28336.35245
51	28045.52144
52	27771.66987
53	27459.86259
54	27219.16669
55	26989.92017
56	26743.43131
57	26522.97127
58	26269.97649
59	26072.31744
60	25854.03031
61	25675.04293
62	25493.53945
63	25312.02038
64	25115.43693
65	24943.95204
66	24763.30841
67	24607.52196
68	24420.119
69	24274.00821
70	24155.83573
71	23990.78653
72	23857.40537
73	23709.26294
74	23554.06103
75	23386.41854
76	23252.00919
77	23123.24267
78	22987.59535
79	22843.05215
80	22744.86689
81	22608.89331
82	22449.75663
83	22339.13274
84	22209.57402
85	22119.24413
86	22002.52184
87	21896.90559
88	21801.22443
89	21709.08137
90	21620.56206
91	21536.80408
92	21436.73529
93	21357.12332
94	21253.63198
95	21158.67101
96	21066.16735
97	20972.81592
98	20883.42352
99	20801.35341
100	20715.19164
101	20631.72408
102	20556.54408
103	20484.39276
104	20397.88315
105	20326.21113
106	20242.6828
107	20176.13175
108	20089.53461
109	20030.65101
110	19949.50741
111	19877.96703
112	19817.33224
113	19754.12009
114	19666.8646
115	19618.24468
116	19558.10006
117	19482.70914
118	19419.79615
119	19363.82511
120	19310.05292
121	19259.43604
122	19205.15939
123	19153.64071
124	19089.47367
125	19022.14835
126	18961.30241
127	18897.89917
128	18856.25998
129	18792.60917
130	18734.30195
131	18680.33067
132	18615.53286
133	18568.92683
134	18516.56521
135	18454.29834
136	18434.42977
137	18374.5371
138	18335.582
139	18300.4358
140	18235.37676
141	18185.10453
142	18139.28188
143	18098.10614
144	18038.88119
145	18023.77697
146	17984.89812
147	17947.10201
148	17935.71747
149	17891.09925
150	17866.71871
151	17811.65223
152	17770.13865
153	17728.34356
154	17691.99693
155	17638.22589
156	17599.03349
157	17559.5944
158	17504.60227
159	17479.19535
160	17436.05935
161	17404.6978
162	17356.07145
163	17346.4525
164	17338.04442
165	17290.28041
166	17265.42116
167	17224.02265
168	17178.00544
169	17130.20611
170	17114.91528
171	17105.3939
172	17088.60693
173	17047.3755
174	17041.07503
175	17022.11696
176	17010.93974
177	16978.82081
178	16928.31477
179	16888.91846
180	16878.62352
181	16830.66101
182	16778.4643
183	16745.12028
184	16738.37938
185	16687.15978
186	16671.85684
187	16631.62289
188	16626.06589
189	16587.46899
190	16544.21889
191	16513.27291
192	16473.29879
193	16433.07645
194	16393.18699
195	16360.0594
196	16352.25712
197	16340.0236
198	16290.72736
199	16284.97651
200	16239.51074
201	16232.84479
202	16197.26093
203	16191.288
204	16142.50134
205	16097.4012
206	16064.53586
207	16008.22378
208	16001.60879
209	15995.60838
210	15954.9596
211	15949.69436
212	15909.45722
213	15866.51776
214	15831.1305
215	15825.21087
216	15789.0424
217	15766.59207
218	15730.51193
219	15724.7117
220	15717.58863
221	15705.00345
222	15672.70192
223	15667.12729
224	15635.49501
225	15610.29146
226	15596.30233
227	15547.88343
228	15543.1292
229	15502.79
230	15477.3099
231	15436.85426
232	15430.34032
233	15383.10651
234	15344.67781
235	15314.94501
236	15271.06761
237	15247.793
238	15242.55736
239	15214.32896
240	15166.58413
241	15161.48754
242	15156.51846
243	15150.64962
244	15116.20506
245	15082.03991
246	15076.41637
247	15049.21995
248	15021.39285
249	14995.6211
250	14964.69012
251	14959.29106
252	14923.28546
253	14918.15719
254	14876.41313
255	14842.10203
256	14837.1637
257	14813.03222
258	14781.46608
259	14754.92299
260	14735.89725
261	14720.51203
262	14688.03958
263	14683.44605
264	14654.18623
265	14620.12374
266	14594.26966
267	14562.83642
268	14530.52509
269	14526.17369
270	14522.74188
271	14492.7443
272	14474.86923
273	14443.47667
274	14407.95428
275	14394.43234
276	14362.13729
277	14358.81329
278	14325.1368
279	14298.40802
280	14294.376
281	14273.62875
282	14247.03231
283	14228.74709
284	14203.30522
285	14174.39124
286	14170.57428
287	14145.31821
288	14142.21277
289	14107.92355
290	14104.94871
291	14083.14845
292	14058.13531
293	14030.6566
294	14017.71303
295	14014.84122
296	14012.06199
297	13983.46859
298	13962.77935
299	13924.31829
300	13896.39942
301	13865.7835
302	13839.90855
303	13837.20082
304	13822.07365
305	13785.52447
306	13767.11474
307	13740.4027
308	13737.76693
309	13734.89142
310	13710.48819
311	13687.65962
312	13663.02787
313	13629.60315
314	13610.86573
315	13608.02997
316	13590.46755
317	13588.01819
318	13548.09485
319	13545.40906
320	13512.20339
321	13494.34077
322	13474.7296
323	13449.08181
324	13428.24361
325	13425.64208
326	13407.79628
327	13374.76764
328	13357.43451
329	13337.98074
330	13306.91885
331	13291.90332
332	13270.14676
333	13252.72781
334	13225.56608
335	13201.01258
336	13177.32701
337	13164.64919
338	13148.12208
339	13134.7607
340	13123.03789
341	13106.72012
342	13089.10227
343	13057.82937
344	13033.81761
345	13014.4797
346	13005.68366
347	12991.08203
348	12966.80246
349	12947.1639
350	12944.83031
351	12915.61642
