iter	Passed	Remaining
0	64	64569
1	70	35232
2	76	25262
3	81	20232
4	85	17059
5	89	14840
6	93	13280
7	97	12093
8	101	11169
9	105	10411
10	109	9810
11	113	9317
12	117	8883
13	121	8529
14	125	8210
15	129	7947
16	133	7694
17	137	7478
18	141	7307
19	146	7175
20	151	7052
21	155	6912
22	159	6774
23	163	6641
24	167	6532
25	171	6417
26	175	6308
27	179	6219
28	183	6136
29	187	6066
30	191	5983
31	195	5908
32	199	5842
33	203	5787
34	207	5730
35	211	5669
36	215	5612
37	219	5557
38	224	5519
39	227	5471
40	233	5455
41	236	5404
42	240	5355
43	244	5307
44	248	5266
45	251	5225
46	255	5174
47	258	5135
48	262	5096
49	266	5056
50	269	5018
51	273	4980
52	276	4944
53	280	4907
54	284	4881
55	287	4853
56	291	4820
57	294	4789
58	298	4758
59	301	4728
60	305	4698
61	308	4670
62	312	4642
63	315	4620
64	319	4590
65	322	4563
66	326	4544
67	329	4518
68	333	4495
69	337	4480
70	341	4464
71	345	4454
72	349	4437
73	352	4415
74	356	4398
75	361	4400
76	366	4388
77	370	4375
78	373	4355
79	377	4340
80	380	4321
81	384	4303
82	387	4281
83	391	4264
84	394	4251
85	398	4237
86	402	4224
87	406	4215
88	410	4200
89	414	4186
90	417	4170
91	420	4153
92	424	4136
93	427	4122
94	431	4106
95	434	4092
96	437	4076
97	441	4062
98	444	4048
99	448	4035
100	452	4024
101	455	4010
102	459	3997
103	462	3984
104	465	3971
105	469	3959
106	473	3949
107	476	3937
108	480	3926
109	484	3917
110	487	3905
111	490	3892
112	494	3884
113	498	3871
114	501	3859
115	505	3850
116	508	3837
117	512	3829
118	515	3818
119	519	3810
120	523	3801
121	527	3794
122	530	3783
123	534	3772
124	537	3763
125	541	3753
126	544	3744
127	548	3736
128	553	3734
129	556	3724
130	560	3715
131	563	3706
132	567	3697
133	570	3688
134	574	3681
135	578	3674
136	581	3665
137	585	3654
138	588	3645
139	592	3637
140	595	3629
141	599	3623
142	603	3618
143	607	3610
144	611	3606
145	615	3597
146	618	3587
147	622	3581
148	625	3572
149	629	3565
150	632	3556
151	635	3547
152	639	3538
153	642	3531
154	646	3524
155	650	3517
156	653	3508
157	656	3500
158	660	3493
159	664	3486
160	667	3478
161	671	3471
162	674	3463
163	677	3455
164	681	3447
165	684	3439
166	687	3431
167	691	3422
168	694	3415
169	698	3408
170	702	3404
171	705	3398
172	709	3392
173	713	3386
174	716	3378
175	719	3370
176	723	3363
177	727	3358
178	730	3350
179	734	3344
180	737	3337
181	741	3332
182	744	3325
183	748	3317
184	751	3310
185	754	3303
186	758	3296
187	761	3289
188	764	3281
189	768	3278
190	772	3271
191	776	3265
192	779	3259
193	782	3252
194	786	3245
195	789	3240
196	793	3233
197	796	3227
198	800	3220
199	803	3213
200	806	3207
201	810	3201
202	813	3195
203	817	3189
204	821	3184
205	825	3181
206	828	3174
207	832	3170
208	835	3163
209	839	3157
210	842	3151
211	846	3144
212	849	3139
213	853	3135
214	857	3130
215	860	3123
216	863	3116
217	867	3111
218	870	3105
219	874	3099
220	877	3093
221	881	3087
222	884	3081
223	887	3075
224	891	3069
225	894	3064
226	897	3057
227	901	3051
228	904	3045
229	907	3039
230	911	3034
231	914	3028
232	918	3023
233	922	3018
234	925	3013
235	929	3008
236	933	3004
237	936	2999
238	940	2994
239	944	2990
240	947	2984
241	951	2979
242	955	2975
243	958	2969
244	962	2964
245	965	2959
246	968	2954
247	972	2948
248	975	2942
249	979	2938
250	983	2933
251	986	2927
252	990	2924
253	993	2918
254	997	2913
255	1000	2908
256	1003	2902
257	1007	2896
258	1010	2891
259	1013	2885
260	1017	2880
261	1020	2875
262	1024	2869
263	1027	2864
264	1031	2859
265	1034	2854
266	1038	2850
267	1041	2844
268	1045	2841
269	1049	2836
270	1052	2831
271	1056	2828
272	1060	2823
273	1063	2817
274	1067	2813
275	1070	2807
276	1073	2802
277	1077	2797
278	1080	2792
279	1084	2788
280	1087	2782
281	1090	2777
282	1094	2772
283	1097	2767
284	1101	2762
285	1105	2758
286	1108	2755
287	1112	2751
288	1116	2747
289	1120	2742
290	1123	2737
291	1126	2732
292	1130	2728
293	1134	2723
294	1137	2719
295	1141	2714
296	1144	2710
297	1148	2705
298	1152	2701
299	1155	2697
300	1159	2693
301	1163	2688
302	1166	2683
303	1170	2679
304	1173	2675
305	1177	2669
306	1180	2664
307	1183	2660
308	1187	2655
309	1191	2650
310	1194	2646
311	1197	2641
312	1201	2636
313	1204	2632
314	1208	2628
315	1212	2624
316	1215	2619
317	1219	2614
318	1222	2610
319	1226	2605
320	1229	2600
321	1233	2596
322	1236	2592
323	1240	2588
324	1244	2583
325	1247	2580
326	1251	2575
327	1254	2570
328	1258	2565
329	1261	2561
330	1265	2557
331	1268	2552
332	1272	2548
333	1275	2543
334	1278	2538
335	1282	2533
336	1285	2528
337	1289	2524
338	1292	2520
339	1295	2515
340	1299	2510
341	1302	2506
342	1306	2502
343	1310	2498
344	1313	2494
345	1317	2489
346	1320	2485
347	1324	2481
348	1327	2476
349	1331	2472
350	1335	2468
351	1338	2464
352	1342	2460
353	1345	2456
354	1349	2451
355	1352	2447
356	1356	2442
357	1359	2438
358	1363	2434
359	1366	2429
360	1370	2425
361	1373	2420
362	1376	2416
363	1380	2411
364	1383	2407
365	1387	2402
366	1390	2398
367	1394	2394
368	1397	2390
369	1401	2385
370	1404	2381
371	1408	2377
372	1411	2373
373	1415	2369
374	1419	2365
375	1422	2360
376	1426	2356
377	1429	2352
378	1433	2348
379	1436	2344
380	1440	2340
381	1443	2335
382	1447	2331
383	1450	2327
384	1454	2323
385	1458	2319
386	1461	2315
387	1465	2311
388	1468	2306
389	1471	2302
390	1475	2298
391	1478	2293
392	1481	2288
393	1485	2284
394	1488	2280
395	1492	2276
396	1496	2272
397	1499	2268
398	1504	2265
399	1507	2261
400	1511	2257
401	1514	2253
402	1518	2249
403	1521	2244
404	1525	2240
405	1529	2237
406	1533	2234
407	1537	2230
408	1541	2227
409	1545	2223
410	1549	2219
411	1552	2215
412	1555	2211
413	1559	2206
414	1562	2202
415	1566	2198
416	1569	2194
417	1573	2190
418	1576	2186
419	1580	2182
420	1583	2178
421	1587	2173
422	1590	2169
423	1594	2165
424	1597	2161
425	1601	2157
426	1605	2153
427	1608	2150
428	1612	2145
429	1615	2141
430	1619	2138
431	1623	2134
432	1627	2130
433	1631	2127
434	1634	2123
435	1638	2118
436	1641	2115
437	1645	2110
438	1648	2106
439	1652	2102
440	1655	2098
441	1658	2094
442	1662	2090
443	1666	2086
444	1670	2083
445	1673	2079
446	1677	2074
447	1680	2070
448	1683	2066
449	1687	2062
450	1690	2057
451	1693	2053
452	1697	2049
453	1700	2045
454	1704	2041
455	1707	2037
456	1710	2032
457	1715	2029
458	1718	2025
459	1721	2021
460	1725	2017
461	1729	2013
462	1732	2009
463	1736	2005
464	1740	2002
465	1744	1998
466	1747	1994
467	1751	1990
468	1755	1987
469	1758	1983
470	1762	1979
471	1765	1974
472	1769	1971
473	1772	1966
474	1775	1962
475	1779	1959
476	1783	1955
477	1787	1951
478	1790	1948
479	1794	1944
480	1798	1940
481	1802	1937
482	1806	1933
483	1810	1930
484	1814	1926
485	1817	1922
486	1821	1918
