iter	RMSE
0	73421.4297
1	71329.16641
2	69111.31934
3	67149.28817
4	65267.23754
5	63385.78103
6	61565.0369
7	59912.50881
8	58202.08468
9	56627.25911
10	55091.13645
11	53523.33012
12	52079.95206
13	50896.37345
14	49656.53052
15	48410.71916
16	47231.4506
17	46079.78793
18	45023.05634
19	44000.83089
20	43049.92614
21	42192.74684
22	41306.93119
23	40458.05004
24	39591.88046
25	38861.42386
26	38100.87972
27	37358.09297
28	36694.48812
29	35940.36503
30	35352.90375
31	34738.11054
32	34147.74906
33	33519.29265
34	32918.46792
35	32372.78424
36	31890.82873
37	31380.74127
38	30915.72512
39	30409.7947
40	29972.24795
41	29565.607
42	29123.10147
43	28714.1692
44	28354.28286
45	27994.2574
46	27646.07993
47	27294.76797
48	26968.08934
49	26662.99314
50	26345.44958
51	26040.41612
52	25793.15383
53	25565.66553
54	25323.86634
55	25061.07485
56	24836.96627
57	24588.27582
58	24376.07306
59	24139.45816
60	23971.35603
61	23775.57108
62	23561.61272
63	23388.94407
64	23192.06353
65	23012.83025
66	22823.19241
67	22677.1857
68	22499.22363
69	22327.72683
70	22161.84951
71	22015.60215
72	21848.77491
73	21701.53391
74	21563.21539
75	21436.91335
76	21334.93198
77	21233.99209
78	21114.41446
79	20996.33435
80	20884.5466
81	20741.8495
82	20652.85739
83	20562.79254
84	20469.06158
85	20405.38636
86	20308.73634
87	20207.8452
88	20098.41366
89	20020.92916
90	19928.47932
91	19856.72819
92	19767.4664
93	19682.29796
94	19576.24603
95	19483.88629
96	19437.1631
97	19362.99125
98	19324.06767
99	19233.18695
100	19192.4417
101	19102.76487
102	19029.47116
103	18953.89441
104	18893.80348
105	18822.78618
106	18748.37888
107	18678.00177
108	18619.17851
109	18547.33536
110	18535.08344
111	18471.6073
112	18407.07707
113	18349.54573
114	18296.64156
115	18245.79037
116	18168.29436
117	18122.2026
118	18051.88271
119	18016.32866
120	17974.50505
121	17899.68378
122	17822.79542
123	17775.95157
124	17722.84514
125	17679.36416
126	17635.53926
127	17574.2047
128	17525.09455
129	17476.13717
130	17449.81538
131	17399.84859
132	17350.29128
133	17307.68449
134	17282.1994
135	17249.56757
136	17209.22116
137	17176.76753
138	17137.49796
139	17104.89962
140	17051.6362
141	17017.07894
142	16947.96964
143	16911.72648
144	16873.74946
145	16830.15369
146	16784.56141
147	16756.25098
148	16721.67915
149	16686.40501
150	16664.04497
151	16625.4875
152	16582.33495
153	16547.8881
154	16495.46174
155	16444.60925
156	16409.29416
157	16381.0363
158	16336.13741
159	16285.26565
160	16251.77457
161	16222.40212
162	16177.98122
163	16141.57886
164	16114.37206
165	16097.49263
166	16041.6682
167	16000.33283
168	15964.91808
169	15924.96526
170	15897.90908
171	15858.33023
172	15831.07844
173	15802.74308
174	15784.10062
175	15771.27571
176	15750.90239
177	15713.94915
178	15674.32597
179	15636.2001
180	15596.02682
181	15564.70909
182	15536.39756
183	15513.5072
184	15487.15984
185	15460.23902
186	15437.63316
187	15398.11794
188	15350.20778
189	15322.41242
190	15298.11295
191	15267.133
192	15229.63829
193	15208.32738
194	15172.78647
195	15132.56641
196	15101.5504
197	15070.49452
198	15037.53383
199	15007.78906
200	14993.18353
201	14958.47839
202	14923.51024
203	14879.51563
204	14847.59784
205	14809.83964
206	14797.59092
207	14765.91754
208	14734.61955
209	14717.59614
210	14684.91588
211	14649.80198
212	14638.52248
213	14609.95079
214	14592.46552
215	14571.65653
216	14549.88246
217	14518.85988
218	14489.05551
219	14459.62395
220	14423.87682
221	14394.5614
222	14384.05162
223	14359.40004
224	14323.49887
225	14294.35768
226	14262.2839
227	14253.46803
228	14223.5317
229	14197.45788
230	14168.60425
231	14157.21071
232	14131.73785
233	14119.6727
234	14086.99565
235	14047.50604
236	14026.94693
237	13993.22215
238	13965.05314
239	13957.27276
240	13928.02621
241	13889.63674
242	13860.77283
243	13833.86328
244	13811.4409
245	13790.2123
246	13765.37083
247	13744.31695
248	13719.73299
249	13702.39402
250	13684.89952
251	13662.5264
252	13621.85535
253	13612.17336
254	13602.07456
255	13578.97304
256	13562.42369
257	13532.92646
258	13514.80249
259	13495.02202
260	13448.66925
261	13426.98105
262	13414.24679
263	13385.93233
264	13365.35659
265	13342.73623
266	13314.45146
267	13308.44294
268	13281.06425
269	13262.48166
270	13237.43651
271	13217.61795
272	13193.05753
273	13162.01345
274	13138.9008
275	13115.45403
276	13108.54861
277	13099.51085
278	13085.30406
279	13070.67507
280	13042.97936
281	13015.16804
282	12999.32823
283	12993.52734
284	12976.0452
285	12953.03012
286	12925.50213
287	12907.76341
288	12882.20855
289	12857.86973
290	12838.29525
291	12810.07984
292	12788.18523
293	12781.10444
294	12748.58947
295	12729.72027
296	12706.99116
297	12696.4648
298	12670.73326
299	12654.44787
300	12629.00916
301	12603.83066
302	12586.79827
303	12566.23903
304	12546.51722
305	12529.72645
306	12507.36453
307	12487.5762
308	12464.64561
309	12447.17687
310	12433.01675
311	12417.42356
312	12397.33124
313	12374.90345
314	12346.50229
315	12333.5456
316	12305.82444
317	12277.28266
318	12264.19666
319	12246.44142
320	12219.33837
321	12198.63479
322	12183.25531
323	12170.10798
324	12141.38463
325	12120.38704
326	12114.1726
327	12093.75436
328	12088.56174
329	12066.73528
330	12044.46673
331	12021.37506
332	12005.71985
333	11995.53228
334	11981.21393
335	11965.1287
336	11952.94202
337	11932.93079
338	11904.6411
339	11885.68809
340	11869.65582
341	11850.25158
342	11846.5242
343	11827.24381
344	11812.31125
345	11803.29265
346	11783.40169
347	11762.89757
348	11746.9929
349	11725.4564
350	11710.28506
351	11689.92012
352	11676.22786
353	11657.40805
354	11644.19201
355	11635.05452
356	11608.36547
357	11586.30746
358	11568.5858
359	11553.15112
360	11536.85001
361	11520.12656
362	11509.17142
363	11493.08352
364	11479.07897
365	11459.17055
366	11447.22176
367	11431.06875
368	11411.32721
369	11400.59258
370	11383.43556
371	11365.48437
372	11345.34426
373	11322.19553
374	11315.29306
375	11302.52411
376	11283.33122
377	11262.60221
378	11245.474
379	11224.28814
380	11210.23712
381	11194.55621
382	11191.40808
383	11173.77714
384	11159.30717
385	11141.14099
386	11117.40886
387	11093.38406
388	11089.8948
389	11083.86546
390	11068.15102
391	11050.67982
392	11035.1677
393	11016.0755
394	11002.33263
395	10988.43679
396	10984.24011
397	10972.58434
398	10968.58936
399	10955.34025
400	10944.33854
401	10928.63631
402	10911.7684
403	10896.17844
404	10886.86444
405	10875.46305
406	10857.50194
407	10842.26895
408	10813.28971
409	10801.17375
410	10781.14157
411	10771.32834
412	10757.96782
413	10742.48702
414	10727.95381
415	10706.55374
416	10689.86994
417	10681.01078
418	10666.98144
419	10657.60873
420	10651.75619
421	10638.23152
422	10636.26496
423	10617.6801
424	10605.37613
425	10591.46856
426	10576.26269
427	10564.9951
428	10546.65985
429	10531.24347
430	10510.00423
431	10491.57252
432	10477.75268
433	10463.97014
434	10450.90469
435	10434.91551
436	10419.2516
437	10405.43077
438	10391.53619
439	10377.88434
440	10364.14113
441	10341.56595
442	10324.38323
443	10308.35616
444	10298.92931
445	10286.79915
446	10271.82523
447	10255.70302
448	10237.93647
449	10225.13669
450	10211.91432
451	10190.82843
452	10182.4285
453	10165.05949
454	10153.97089
455	10145.57616
456	10124.83137
457	10113.33468
458	10093.58362
459	10082.52544
460	10067.08335
461	10052.62767
462	10033.36701
463	10020.42597
464	10000.10444
465	9988.063289
466	9973.284915
467	9959.437484
468	9947.663238
469	9930.288584
470	9922.734864
471	9910.357777
472	9897.449949
473	9895.298448
474	9873.459397
475	9857.620996
476	9843.673258
477	9833.760228
478	9831.755774
479	9816.329064
480	9797.069328
481	9784.652117
482	9772.199874
483	9755.971031
484	9748.38565
485	9732.652276
486	9720.061626
487	9696.917075
488	9677.069586
489	9667.262612
490	9654.362199
491	9641.929458
492	9640.344238
493	9626.986814
494	9619.326124
495	9609.696669
496	9585.522617
497	9573.071641
498	9557.55163
499	9548.331394
500	9538.907201
501	9528.646284
502	9515.894752
503	9501.878563
504	9490.112358
505	9470.564994
506	9457.348278
507	9443.766642
508	9429.993475
509	9414.388401
510	9400.484842
511	9392.304707
512	9380.812862
513	9371.008088
514	9353.527906
515	9352.296112
516	9350.751634
517	9338.427786
518	9329.218611
519	9320.405186
520	9310.221016
521	9302.398239
522	9294.154154
523	9279.140212
524	9269.175796
525	9257.867318
526	9250.300752
527	9233.606982
528	9222.51777
529	9205.184648
530	9203.348046
531	9193.802443
532	9181.095057
533	9168.124761
534	9159.738735
535	9154.273663
536	9140.567608
537	9126.629489
538	9118.915838
539	9107.373955
540	9094.687652
541	9081.858696
542	9067.262479
543	9053.919724
544	9040.053483
545	9030.870281
546	9016.282262
547	9009.229408
548	9003.284848
549	8989.443319
550	8986.083008
551	8972.86001
552	8963.549709
553	8951.746689
554	8942.469521
555	8937.917019
556	8929.424724
557	8928.126355
558	8926.402456
559	8920.903355
560	8906.846105
561	8900.88644
562	8886.109635
563	8875.927602
564	8869.545106
565	8854.25991
566	8844.799473
567	8833.13745
568	8826.330772
569	8816.490692
570	8812.312748
571	8808.774618
572	8794.890765
573	8787.583799
574	8776.180264
575	8766.676977
576	8756.332233
577	8745.318452
