iter	Passed	Remaining
0	62	62552
1	64	32112
2	65	21927
3	67	16817
4	69	13749
5	70	11726
6	72	10247
7	73	9148
8	75	8291
9	76	7609
10	78	7048
11	79	6581
12	81	6171
13	82	5815
14	84	5517
15	85	5263
16	87	5033
17	88	4829
18	90	4657
19	91	4505
20	93	4352
21	94	4222
22	96	4100
23	98	3986
24	99	3879
25	100	3780
26	102	3695
27	104	3615
28	105	3542
29	107	3468
30	108	3401
31	110	3334
32	111	3273
33	113	3219
34	114	3167
35	116	3121
36	118	3079
37	120	3038
38	121	2998
39	123	2958
40	124	2916
41	126	2880
42	127	2845
43	129	2815
44	131	2788
45	132	2757
46	134	2723
47	136	2699
48	138	2683
49	139	2654
50	141	2626
51	142	2601
52	144	2575
53	145	2556
54	147	2531
55	148	2508
56	150	2487
57	151	2467
58	153	2445
59	154	2425
60	156	2414
61	158	2395
62	159	2378
63	161	2360
64	162	2342
65	164	2325
66	166	2314
67	167	2297
68	169	2282
69	170	2266
70	172	2253
71	173	2240
72	175	2227
73	176	2214
74	178	2199
75	179	2185
76	181	2171
77	182	2157
78	184	2145
79	185	2134
80	187	2124
81	188	2111
82	190	2100
83	191	2089
84	192	2077
85	194	2067
86	196	2057
87	197	2046
88	199	2036
89	200	2027
90	201	2017
91	203	2006
92	204	1997
93	206	1990
94	208	1983
95	209	1975
96	211	1965
97	212	1956
98	214	1954
99	216	1946
100	217	1938
101	219	1931
102	220	1923
103	222	1915
104	223	1908
105	225	1901
106	227	1895
107	228	1886
108	229	1879
109	231	1873
110	232	1858
111	233	1851
112	235	1844
113	236	1837
114	238	1832
115	239	1824
116	240	1818
117	242	1812
118	243	1805
119	245	1800
120	247	1794
121	248	1788
122	250	1783
123	251	1778
124	253	1772
125	254	1766
126	256	1763
127	258	1758
128	259	1754
129	261	1748
130	262	1744
131	264	1738
132	265	1731
133	267	1726
134	268	1721
135	270	1715
136	271	1710
137	272	1704
138	274	1700
139	276	1695
140	277	1690
141	279	1686
142	280	1680
143	281	1675
144	283	1672
145	285	1667
146	286	1662
147	288	1661
148	290	1656
149	291	1652
150	293	1648
151	294	1643
152	296	1639
153	297	1635
154	299	1631
155	301	1629
156	302	1625
157	304	1620
158	305	1615
159	306	1611
160	308	1609
161	310	1608
162	312	1604
163	313	1600
164	315	1597
165	316	1592
166	318	1588
167	320	1584
168	321	1580
169	322	1576
170	324	1572
171	325	1569
172	327	1564
173	328	1561
174	330	1557
175	331	1553
176	333	1549
177	334	1545
178	336	1542
179	337	1538
180	339	1535
181	340	1531
182	342	1527
183	344	1527
184	345	1524
185	347	1521
186	348	1516
187	350	1513
188	351	1510
189	353	1506
190	354	1502
191	356	1499
192	357	1495
193	359	1492
194	360	1489
195	362	1486
196	363	1483
197	365	1479
198	366	1476
199	368	1473
200	369	1469
201	371	1466
202	372	1463
203	374	1460
204	375	1457
205	377	1454
206	379	1454
207	380	1450
208	382	1447
209	384	1445
210	385	1442
211	387	1439
212	388	1436
213	390	1434
214	391	1430
215	393	1427
216	394	1424
217	396	1421
218	397	1417
219	399	1414
220	400	1411
221	402	1408
222	403	1405
223	404	1402
224	406	1400
225	408	1399
226	410	1396
227	411	1393
228	413	1390
229	414	1387
230	415	1384
231	417	1381
232	418	1378
233	420	1375
234	421	1373
235	423	1369
236	424	1366
237	425	1363
238	427	1361
239	428	1358
240	430	1355
241	432	1355
242	434	1352
243	435	1349
244	437	1346
245	438	1344
246	440	1341
247	441	1338
248	442	1336
249	444	1333
250	445	1330
251	447	1329
252	449	1326
253	450	1323
254	452	1322
255	454	1320
256	455	1317
257	457	1315
258	458	1313
259	460	1310
260	461	1307
261	463	1305
262	465	1303
263	466	1300
264	468	1298
265	469	1296
266	471	1293
267	472	1291
268	474	1288
269	475	1286
270	477	1283
271	478	1281
272	480	1278
273	481	1276
274	483	1274
275	484	1271
276	486	1270
277	488	1268
278	490	1267
279	491	1264
280	493	1262
281	494	1259
282	496	1257
283	497	1255
284	499	1252
285	500	1250
286	502	1248
287	504	1246
288	505	1244
289	507	1242
290	508	1239
291	510	1237
292	512	1236
293	513	1234
294	515	1231
295	517	1229
296	518	1227
297	519	1224
298	521	1222
299	522	1219
300	525	1219
301	526	1217
302	528	1215
303	529	1213
304	531	1211
305	533	1208
306	534	1207
307	536	1204
308	537	1202
309	539	1200
310	540	1197
311	542	1195
312	543	1192
313	545	1191
314	546	1188
315	548	1186
316	549	1184
317	551	1182
318	553	1181
319	554	1179
320	556	1177
321	558	1175
322	559	1172
323	561	1170
324	562	1168
325	564	1166
326	565	1164
327	567	1162
328	569	1160
329	570	1158
330	572	1156
331	573	1153
