iter	RMSE
0	70031.88039
1	67929.1461
2	66039.6208
3	64136.79544
4	62383.02167
5	60545.83333
6	59011.08279
7	57454.36625
8	55744.37782
9	54185.20602
10	52854.43935
11	51529.63173
12	50221.79716
13	48970.46027
14	47728.78503
15	46638.8233
16	45554.89809
17	44448.12094
18	43500.89892
19	42559.52248
20	41649.65714
21	40803.49774
22	39925.7102
23	39126.81384
24	38309.76064
25	37599.67579
26	36953.64092
27	36288.83136
28	35648.76534
29	34998.94338
30	34417.95848
31	33837.48261
32	33264.66036
33	32672.34882
34	32189.81574
35	31691.01479
36	31221.40087
37	30768.90069
38	30359.57243
39	30010.69329
40	29629.82302
41	29298.61159
42	28870.81721
43	28459.85271
44	28073.78181
45	27786.93632
46	27467.05497
47	27183.5059
48	26883.39473
49	26614.15186
50	26318.52377
51	26048.97475
52	25757.06924
53	25508.97473
54	25300.28068
55	25104.80598
56	24877.38836
57	24637.50954
58	24379.89079
59	24172.66075
60	23941.55177
61	23749.01136
62	23593.66564
63	23399.63231
64	23216.19463
65	23035.97071
66	22842.5719
67	22726.82427
68	22590.83992
69	22449.3822
70	22421.44507
71	22305.74627
72	22188.08226
73	22095.39127
74	21969.91339
75	21866.96935
76	21725.61039
77	21573.01107
78	21466.27026
79	21333.86058
80	21231.05875
81	21125.02047
82	21039.03316
83	20948.57002
84	20848.44428
85	20778.94549
86	20679.21066
87	20586.74803
88	20545.18984
89	20430.26467
90	20379.9539
91	20318.08222
92	20236.09017
93	20147.97181
94	20040.43321
95	19958.61228
96	19909.27595
97	19803.04295
98	19716.28644
99	19679.35871
100	19657.85646
101	19591.53646
102	19528.40511
103	19462.51217
104	19386.3713
105	19282.24817
106	19181.57481
107	19100.76713
108	19034.69281
109	19003.85008
110	18935.11263
111	18873.2374
112	18809.4464
113	18760.27223
114	18715.44637
115	18655.28385
116	18617.07977
117	18553.71014
118	18512.1156
119	18444.7147
120	18362.26119
121	18281.44238
122	18228.76541
123	18181.17044
124	18123.78816
125	18059.8025
126	18038.37847
127	17981.52743
128	17917.40035
129	17876.03127
130	17867.25798
131	17849.47753
132	17795.78256
133	17781.98662
134	17737.11469
135	17696.30985
136	17631.47565
137	17587.51914
138	17557.25223
139	17514.73503
140	17474.69301
141	17448.76087
142	17406.52311
143	17347.68279
144	17279.53257
145	17243.86229
146	17179.60008
147	17134.55983
148	17096.30315
149	17071.97604
150	17034.74705
151	16987.09765
152	16924.06841
153	16887.95828
154	16840.77153
155	16787.12151
156	16734.9355
157	16723.7604
158	16673.51303
159	16625.92222
160	16586.0194
161	16549.38242
162	16508.3894
163	16486.57906
164	16466.04953
165	16446.93458
166	16428.76365
167	16398.32438
168	16349.10535
169	16315.4753
170	16283.7866
171	16251.3499
172	16218.03253
173	16173.64086
174	16140.90917
175	16116.44299
176	16063.15674
177	16017.49619
178	15978.29344
179	15932.68951
180	15892.05862
181	15868.49906
182	15833.19066
183	15788.1849
184	15776.79428
185	15752.66764
186	15730.70079
187	15677.1346
188	15635.00632
189	15622.7082
190	15579.01004
191	15524.49011
192	15473.47404
193	15443.30985
194	15408.66511
195	15362.62287
196	15329.22797
197	15308.01914
198	15297.75152
199	15287.84696
200	15279.35536
201	15238.60031
202	15199.04977
203	15172.56136
204	15134.57935
205	15101.06265
206	15073.90103
207	15066.64376
208	15025.00976
209	15009.84049
210	14997.52091
211	14952.75892
212	14907.64256
213	14897.31268
214	14892.81985
215	14876.50674
216	14839.64566
217	14807.37367
218	14761.69993
219	14725.85739
220	14698.84113
221	14675.66204
222	14650.05215
223	14620.36521
224	14603.545
225	14580.8912
226	14545.8605
227	14524.48623
228	14489.8031
229	14455.72242
230	14427.83544
231	14420.05747
232	14405.58846
233	14364.16549
234	14336.38179
235	14290.06507
236	14261.8125
237	14218.43356
238	14183.87729
239	14153.24382
240	14120.05066
241	14085.74101
242	14080.41644
243	14040.07044
244	14014.30039
245	13980.32525
246	13948.61014
247	13916.38658
248	13909.81294
249	13895.93944
250	13890.49037
251	13881.26314
252	13877.06585
253	13840.92222
254	13836.27936
255	13810.91416
256	13800.13769
257	13790.81397
258	13754.78658
259	13725.02846
260	13705.65773
261	13661.45926
262	13633.22765
263	13628.42336
264	13610.78535
265	13583.25484
266	13554.4165
267	13526.44178
268	13498.21995
269	13468.26303
270	13432.46537
271	13408.34653
272	13378.21609
273	13373.44624
274	13342.27438
275	13312.10836
276	13307.26585
277	13286.6123
278	13282.13164
279	13245.45313
280	13210.77989
281	13188.91219
282	13160.75768
283	13129.50217
284	13121.24242
285	13092.3634
286	13082.1192
287	13060.98509
288	13026.38727
289	12998.46097
290	12978.16808
291	12969.41489
292	12945.75922
293	12942.05071
294	12924.98694
295	12910.35504
296	12881.36695
297	12853.80464
298	12836.2597
299	12813.74408
300	12788.22091
301	12784.22182
302	12762.05347
303	12734.96319
304	12715.61601
305	12686.67346
306	12658.86164
