iter	Passed	Remaining
0	5	5929
1	8	4470
2	11	3979
3	15	3833
4	18	3618
5	21	3544
6	23	3356
7	25	3178
8	27	3059
9	30	2974
10	32	2893
11	34	2863
12	37	2820
13	39	2806
14	42	2781
15	44	2751
16	46	2711
17	49	2675
18	51	2656
19	54	2649
20	56	2614
21	58	2584
22	60	2563
23	62	2533
24	64	2499
25	66	2493
26	68	2464
27	70	2440
28	71	2410
29	73	2383
30	75	2358
31	77	2338
32	79	2315
33	80	2296
34	82	2284
35	84	2259
36	86	2239
37	87	2221
38	89	2200
39	91	2184
40	92	2162
41	93	2143
42	95	2125
43	97	2108
44	98	2098
45	100	2085
46	102	2072
47	103	2059
48	105	2049
49	107	2035
50	108	2026
51	110	2013
52	112	2004
53	113	1995
54	115	1987
55	117	1979
56	119	1971
57	120	1962
58	122	1953
59	124	1945
60	125	1937
61	127	1930
62	129	1921
63	131	1923
64	133	1918
65	135	1914
66	136	1907
67	138	1903
68	140	1897
69	142	1890
70	143	1882
71	145	1875
72	147	1873
73	149	1874
74	151	1867
75	153	1860
76	154	1853
77	156	1846
78	157	1840
79	159	1838
80	161	1833
81	163	1830
82	165	1825
83	166	1819
84	168	1813
85	170	1809
86	172	1806
87	173	1800
88	175	1793
89	176	1786
90	178	1783
91	180	1778
92	182	1776
93	184	1774
94	185	1770
95	187	1765
96	189	1765
97	191	1760
98	192	1756
99	195	1755
100	196	1750
101	198	1750
102	200	1745
103	201	1740
104	203	1737
105	205	1732
106	207	1729
107	209	1728
108	211	1726
109	212	1722
110	214	1719
111	216	1716
112	218	1712
113	219	1709
114	221	1706
115	223	1705
116	225	1701
117	227	1696
118	228	1694
119	230	1691
120	232	1688
121	234	1690
122	236	1685
123	238	1684
124	240	1680
125	241	1676
126	243	1676
127	245	1674
128	247	1669
129	248	1666
130	250	1663
131	252	1659
132	253	1655
133	255	1651
134	257	1647
135	258	1643
136	260	1639
137	261	1635
138	263	1632
139	265	1629
140	267	1627
141	269	1625
142	270	1622
143	272	1619
144	273	1614
145	275	1611
146	277	1608
147	278	1603
148	280	1600
149	282	1600
150	284	1599
151	286	1596
152	288	1597
153	290	1593
154	291	1591
155	293	1589
156	295	1587
157	297	1584
158	298	1580
159	300	1577
160	301	1573
161	303	1570
162	305	1567
163	307	1565
164	308	1563
165	310	1560
166	312	1556
167	313	1554
168	315	1552
169	317	1549
170	318	1546
171	320	1543
172	322	1540
173	324	1538
174	325	1536
175	327	1533
176	329	1530
177	330	1527
178	332	1523
179	334	1521
180	335	1518
181	337	1516
182	338	1513
183	340	1510
184	342	1507
185	343	1504
186	345	1501
187	347	1499
188	349	1497
189	350	1495
190	352	1492
191	354	1489
192	355	1486
193	357	1484
194	359	1482
195	360	1479
196	362	1476
197	363	1473
198	365	1471
199	367	1470
200	369	1469
201	371	1466
202	372	1463
203	374	1461
204	376	1458
205	377	1456
206	379	1454
207	381	1452
208	383	1450
209	384	1447
210	387	1448
211	389	1447
212	391	1445
213	392	1442
214	393	1438
215	396	1437
216	398	1436
217	400	1435
218	401	1432
219	403	1429
220	404	1426
221	406	1423
222	407	1421
223	409	1418
224	410	1415
225	412	1413
226	414	1413
227	416	1411
228	418	1410
229	420	1408
230	422	1405
231	423	1403
232	425	1401
233	427	1400
234	429	1398
235	431	1396
236	432	1393
237	434	1391
238	436	1388
239	437	1385
240	439	1383
241	440	1380
242	442	1378
243	444	1376
244	445	1374
245	447	1371
246	449	1370
247	451	1367
248	452	1365
249	454	1363
250	456	1360
251	457	1359
252	459	1356
253	461	1354
254	462	1352
255	464	1350
256	466	1347
257	468	1346
258	470	1345
259	471	1343
260	473	1340
261	475	1338
262	476	1336
263	478	1334
264	480	1332
265	482	1330
266	483	1327
267	485	1325
268	487	1323
269	488	1322
270	491	1321
271	493	1319
272	494	1317
273	496	1315
274	497	1312
275	499	1310
276	501	1308
277	503	1307
278	505	1305
279	506	1303
280	508	1301
281	510	1299
282	511	1297
283	513	1294
284	515	1292
285	516	1290
286	518	1287
287	520	1285
288	521	1283
289	523	1281
290	525	1280
291	526	1277
292	528	1275
293	530	1273
294	532	1271
295	533	1269
296	535	1267
297	537	1265
298	539	1264
299	540	1262
300	542	1260
301	544	1257
302	546	1256
303	547	1253
304	549	1252
305	551	1249
306	552	1247
307	554	1245
308	556	1243
309	557	1241
310	559	1239
311	561	1237
312	563	1235
313	564	1233
314	566	1232
315	568	1230
316	570	1228
317	572	1226
318	573	1224
319	575	1222
320	577	1220
321	578	1218
322	580	1216
323	582	1214
324	583	1212
325	585	1211
326	588	1210
327	589	1208
328	591	1206
329	593	1204
330	595	1203
331	596	1201
332	598	1199
333	600	1197
334	602	1195
335	604	1193
336	605	1191
337	607	1189
338	609	1187
339	611	1186
340	613	1185
341	615	1184
342	617	1182
343	619	1180
344	620	1178
345	622	1176
346	624	1174
347	625	1172
348	627	1170
349	628	1167
350	630	1165
351	632	1164
352	634	1162
353	635	1160
354	637	1157
355	638	1155
356	640	1154
357	642	1151
358	644	1150
359	646	1148
360	647	1146
361	649	1144
362	651	1142
363	652	1140
364	654	1138
365	656	1136
366	657	1134
367	659	1132
368	661	1130
369	662	1128
370	664	1126
371	665	1124
372	667	1122
373	669	1120
374	671	1118
375	672	1116
376	674	1114
377	676	1112
378	677	1110
379	679	1108
380	680	1106
381	682	1103
382	684	1102
383	685	1100
384	688	1099
385	689	1096
386	691	1094
387	692	1092
388	694	1090
389	696	1088
390	697	1087
391	699	1084
392	701	1083
393	702	1081
394	704	1079
395	706	1077
396	707	1075
397	709	1073
398	711	1071
399	713	1070
400	715	1068
401	717	1066
402	718	1065
403	720	1062
404	722	1061
405	724	1059
406	725	1057
407	727	1055
408	729	1054
409	731	1052
410	733	1050
411	734	1048
412	736	1046
413	738	1044
414	739	1042
415	741	1040
416	743	1039
417	745	1037
418	746	1035
419	748	1033
420	750	1032
421	752	1030
422	753	1028
423	755	1026
424	757	1024
425	758	1022
426	760	1020
427	762	1018
428	763	1016
429	765	1014
430	767	1012
431	768	1010
432	770	1008
433	772	1007
434	773	1005
435	775	1003
436	777	1001
437	779	999
438	780	997
439	782	995
440	784	993
441	785	991
442	787	990
443	788	987
444	790	986
445	792	984
446	794	982
447	796	981
448	798	979
449	799	977
450	801	976
451	803	974
452	804	971
453	806	970
454	808	968
455	810	966
456	812	965
457	814	963
458	815	961
459	817	959
460	819	957
461	820	955
462	822	954
463	824	952
464	825	950
465	827	948
466	829	946
467	831	945
468	833	943
469	834	941
470	836	939
471	838	938
472	840	936
473	841	934
474	843	932
475	845	930
476	847	929
477	849	927
478	851	925
479	852	923
480	854	922
481	856	920
482	858	919
483	860	917
484	862	915
485	863	913
486	865	911
487	867	910
488	869	908
489	870	906
490	872	904
491	874	902
492	876	901
493	878	899
494	880	897
495	881	896
496	883	894
497	885	892
498	887	891
499	889	889
500	891	888
501	893	886
502	895	884
503	897	883
504	899	881
505	900	879
506	902	877
