iter	RMSE
0	71479.0063
1	69328.46873
2	67358.99176
3	65304.25834
4	63410.21255
5	61560.5944
6	59796.89143
7	58162.25687
8	56579.21151
9	55216.43332
10	53668.72372
11	52252.33938
12	50957.12302
13	49581.36129
14	48314.28743
15	47125.07396
16	45897.12718
17	44869.53574
18	43778.62427
19	42875.19976
20	41900.26463
21	41151.10646
22	40239.01415
23	39436.49552
24	38591.87965
25	37804.9715
26	37133.20376
27	36375.34371
28	35745.39512
29	35071.7484
30	34496.95597
31	33936.36814
32	33335.48194
33	32749.23434
34	32213.23922
35	31717.54762
36	31239.03909
37	30703.91404
38	30248.82012
39	29856.29461
40	29470.70036
41	29075.62557
42	28657.28143
43	28235.36244
44	27877.13369
45	27505.17735
46	27149.65829
47	26854.61309
48	26611.34854
49	26323.47407
50	25997.87855
51	25676.69173
52	25417.79948
53	25184.42981
54	24936.7483
55	24715.53437
56	24464.24929
57	24268.13921
58	24052.57615
59	23844.03444
60	23694.96884
61	23486.12521
62	23307.29535
63	23129.33065
64	22989.09771
65	22846.94031
66	22657.45395
67	22527.92776
68	22403.47846
69	22262.16023
70	22119.56149
71	21991.68298
72	21830.73087
73	21720.45027
74	21609.93093
75	21506.19855
76	21373.24353
77	21289.56803
78	21178.28155
79	21060.28847
80	20930.74906
81	20834.69705
82	20726.8648
83	20629.60616
84	20547.26785
85	20456.94487
86	20368.11942
87	20268.52965
88	20166.87013
89	20085.90929
90	20009.48026
91	19931.88406
92	19832.13519
93	19716.93965
94	19615.84766
95	19550.63902
96	19465.58818
97	19391.44896
98	19338.87739
99	19266.11834
100	19198.08228
101	19098.80106
102	19001.37117
103	18924.27735
104	18874.52498
105	18826.11493
106	18770.53222
107	18730.13513
108	18653.65272
109	18568.93526
110	18517.22796
111	18461.12016
112	18390.42072
113	18315.10862
114	18262.74714
115	18172.79322
116	18136.98403
117	18084.79055
118	18019.11607
119	17959.92287
120	17916.6059
121	17848.10908
122	17790.57278
123	17744.29696
124	17693.47458
125	17631.21451
126	17568.40366
127	17497.61872
128	17444.03183
129	17409.46605
130	17356.42854
131	17319.26671
132	17245.18699
133	17194.15529
134	17150.20497
135	17120.97117
136	17086.96722
137	17047.38089
138	16977.41105
139	16946.0051
140	16892.52932
141	16851.60797
142	16814.75921
143	16785.68171
144	16738.78753
145	16694.92476
146	16661.58676
147	16630.20197
148	16599.25445
149	16556.65635
150	16502.99994
151	16467.35583
152	16417.56759
153	16375.48009
154	16352.18424
155	16315.61789
156	16289.46266
157	16260.1299
158	16207.45842
159	16175.70596
160	16147.04449
161	16109.23852
162	16061.20434
163	16022.6257
164	15961.6186
165	15929.29196
166	15908.6233
167	15873.47834
168	15834.05348
169	15794.27018
170	15763.37359
171	15720.36334
172	15695.04771
173	15679.33598
174	15658.29823
175	15640.27583
176	15615.93398
177	15566.2608
178	15531.19802
179	15493.72693
180	15453.28539
181	15416.30132
182	15391.0426
183	15348.67918
184	15323.78315
185	15281.03098
186	15250.08271
187	15231.23116
188	15194.70865
189	15167.6435
190	15149.91859
191	15096.10437
192	15065.5832
193	15036.37733
194	14993.52669
195	14969.58505
196	14942.85351
197	14914.68127
198	14891.62646
199	14864.81204
200	14823.22048
201	14803.70155
202	14774.60463
203	14737.18808
204	14700.90117
205	14664.263
206	14621.50463
207	14594.24164
208	14565.06974
209	14532.56163
210	14503.34808
211	14462.72043
212	14429.2052
213	14400.26582
214	14363.77949
215	14338.01317
216	14300.69034
217	14282.81588
218	14250.63599
219	14218.84916
220	14200.11396
221	14173.52134
222	14149.09644
223	14124.56575
224	14079.22633
225	14061.26635
226	14046.78346
227	14026.33588
228	14008.01005
229	13974.08653
230	13953.03924
231	13933.20582
232	13908.05333
233	13882.66196
234	13861.89286
235	13850.84754
236	13823.60422
237	13787.15939
238	13777.4923
239	13754.43267
240	13743.71946
241	13736.29316
242	13714.07157
243	13685.50543
244	13674.84919
245	13654.31284
246	13633.22925
247	13615.16105
248	13580.72623
249	13560.04269
250	13541.27525
251	13530.90281
252	13506.68266
253	13475.43467
254	13452.10074
255	13422.77706
256	13387.24714
257	13360.82467
258	13338.00199
259	13322.84307
260	13297.70866
261	13290.26731
262	13263.43026
263	13226.18457
264	13203.37544
265	13187.40684
266	13167.33945
267	13148.42173
268	13141.59607
269	13108.08157
270	13092.85945
271	13066.38632
272	13042.50871
273	13022.37044
274	13001.12308
275	12971.14767
276	12965.05726
277	12941.70269
278	12931.66984
279	12911.82282
280	12882.1062
281	12863.35175
282	12837.39585
283	12813.31358
284	12786.48545
285	12757.16069
286	12733.60075
287	12705.09427
288	12685.25975
289	12660.36802
290	12631.09428
291	12610.70113
292	12587.77183
293	12575.64943
294	12557.70816
295	12533.78309
296	12512.26822
297	12487.09914
298	12468.43858
299	12439.1249
300	12417.92236
301	12395.2202
302	12377.16653
303	12371.89466
304	12345.95385
305	12324.63331
306	12298.02429
307	12278.56171
308	12257.49528
309	12232.46007
310	12204.44472
311	12181.98339
312	12174.52008
313	12149.49595
314	12120.46455
315	12097.09883
316	12076.44426
317	12056.13199
318	12048.13301
319	12026.94451
320	11995.18694
321	11972.565
322	11949.3426
323	11946.04156
324	11930.56797
325	11904.26502
326	11882.89925
327	11867.24213
328	11847.06738
329	11827.18912
330	11803.5434
331	11777.45818
332	11762.77243
333	11744.85627
334	11714.98518
335	11694.21112
336	11679.15231
337	11667.93109
338	11662.00892
339	11642.11437
340	11627.55777
341	11621.33347
342	11601.0836
343	11580.63653
344	11560.91814
345	11538.41356
346	11509.47492
347	11492.95746
348	11481.64208
349	11464.8389
350	11462.86359
351	11459.89242
352	11442.67085
353	11438.11464
354	11435.55478
355	11424.14516
356	11400.86954
357	11374.83366
358	11345.69917
359	11339.39885
360	11329.70282
361	11313.82884
362	11298.89879
363	11289.35735
364	11270.3618
365	11247.2736
366	11226.40011
367	11210.3013
368	11193.83855
369	11187.09366
370	11177.54022
371	11156.15661
372	11142.19669
373	11121.74327
374	11105.75356
375	11091.32792
376	11073.99753
377	11062.96121
378	11044.84159
379	11042.246
380	11038.66253
381	11021.60213
382	11002.31669
383	10990.11505
384	10977.81224
385	10961.9328
386	10936.8061
387	10923.41556
388	10905.13239
389	10889.81607
390	10887.38573
391	10869.54875
392	10852.52947
393	10838.28494
394	10824.05833
395	10812.67231
396	10787.41636
397	10770.72487
398	10760.6127
399	10746.28608
400	10734.52934
401	10717.52695
402	10705.82762
403	10701.17082
404	10685.95583
405	10673.74949
406	10661.61196
407	10653.13254
408	10633.52381
409	10620.70994
410	10603.69548
411	10586.4297
412	10568.46851
413	10553.49655
414	10539.67098
415	10535.2025
416	10527.68059
417	10510.30538
418	10502.15855
419	10499.60759
420	10485.99678
421	10473.95825
422	10461.5276
