iter	Passed	Remaining
0	6	6743
1	9	4726
2	12	4253
3	15	3837
4	17	3531
5	19	3309
6	22	3158
7	24	3085
8	27	2991
9	29	2889
10	31	2787
11	32	2704
12	34	2630
13	36	2578
14	38	2550
15	40	2514
16	42	2470
17	44	2431
18	46	2394
19	48	2359
20	50	2338
21	52	2311
22	53	2278
23	55	2255
24	57	2227
25	58	2208
26	60	2184
27	62	2172
28	64	2155
29	66	2144
30	68	2128
31	69	2109
32	71	2094
33	73	2082
34	74	2064
35	76	2048
36	78	2032
37	79	2020
38	81	2009
39	83	1999
40	85	1988
41	87	1985
42	88	1974
43	90	1964
44	92	1953
45	93	1946
46	95	1939
47	97	1931
48	99	1922
49	100	1916
50	102	1909
51	104	1901
52	106	1901
53	108	1896
54	109	1889
55	111	1883
56	113	1876
57	115	1872
58	116	1864
59	118	1859
60	120	1852
61	122	1847
62	123	1842
63	125	1840
64	127	1833
65	129	1826
66	131	1825
67	132	1820
68	134	1817
69	136	1812
70	138	1806
71	139	1799
72	141	1796
73	143	1792
74	144	1787
75	146	1781
76	148	1777
77	150	1775
78	151	1769
79	153	1767
80	155	1762
81	157	1758
82	158	1754
83	160	1754
84	162	1752
85	164	1748
86	166	1745
87	167	1740
88	169	1736
89	171	1731
90	172	1727
91	174	1723
92	176	1719
93	178	1716
94	179	1712
95	181	1709
96	183	1706
97	185	1702
98	186	1698
99	188	1695
100	190	1692
101	192	1690
102	193	1688
103	195	1683
104	197	1681
105	199	1686
106	201	1684
107	204	1685
108	205	1681
109	207	1677
110	208	1673
111	210	1669
112	212	1669
113	214	1663
114	215	1658
115	217	1654
116	218	1650
117	220	1650
118	222	1645
119	223	1642
120	225	1638
121	227	1635
122	228	1632
123	230	1627
124	231	1623
125	233	1618
126	234	1613
127	236	1610
128	237	1606
129	239	1604
130	241	1600
131	242	1596
132	244	1593
133	245	1589
134	247	1586
135	249	1582
136	250	1578
137	252	1574
138	253	1570
139	255	1566
140	256	1563
141	258	1560
142	259	1557
143	261	1554
144	262	1550
145	264	1547
146	265	1543
147	267	1539
148	269	1536
149	270	1533
150	272	1530
151	273	1526
152	275	1523
153	276	1520
154	278	1517
155	279	1512
156	281	1510
157	282	1507
158	284	1507
159	286	1503
160	287	1500
161	289	1498
162	291	1495
163	292	1493
164	294	1491
165	296	1488
166	297	1484
167	299	1484
168	301	1482
169	302	1478
170	304	1475
171	306	1473
172	308	1473
173	309	1468
174	310	1466
175	312	1462
176	313	1459
177	315	1455
178	316	1453
179	318	1449
180	319	1446
181	321	1443
182	322	1441
183	324	1438
184	325	1435
185	327	1432
186	329	1430
187	330	1427
188	331	1424
189	333	1421
190	334	1418
191	336	1417
192	338	1413
193	339	1411
194	341	1408
195	342	1405
196	344	1402
197	345	1400
198	347	1397
199	348	1395
200	350	1392
201	351	1389
202	353	1387
203	354	1384
204	356	1382
205	357	1378
206	359	1376
207	360	1374
208	362	1372
209	364	1370
210	365	1367
211	367	1364
212	368	1362
213	370	1359
214	371	1357
215	373	1355
216	374	1352
217	376	1349
218	377	1347
219	379	1345
220	380	1342
221	382	1340
222	384	1339
223	385	1336
224	387	1334
225	388	1331
226	390	1329
227	391	1327
228	393	1324
229	395	1322
230	396	1319
231	398	1317
232	399	1315
233	401	1312
234	402	1310
235	404	1307
236	405	1305
237	407	1303
238	408	1301
239	410	1299
240	411	1296
241	413	1294
242	414	1291
243	416	1289
244	417	1287
245	419	1285
246	420	1282
247	422	1280
248	423	1278
249	425	1275
250	426	1273
251	428	1271
252	430	1269
253	431	1267
254	433	1265
255	435	1266
256	437	1264
257	439	1262
258	440	1260
259	442	1258
260	443	1256
261	445	1254
262	446	1252
263	448	1250
264	449	1247
265	451	1245
266	452	1242
267	454	1241
268	456	1239
