iter	RMSE
0	72696.94218
1	70481.02503
2	68332.79339
3	66203.32603
4	64214.52321
5	62259.14175
6	60457.45104
7	58754.39854
8	57109.25394
9	55662.74135
10	54246.51103
11	52740.37648
12	51392.83024
13	50120.83965
14	48848.05838
15	47494.84549
16	46442.65165
17	45346.98338
18	44339.07929
19	43260.59098
20	42229.05429
21	41277.51362
22	40400.44836
23	39566.28996
24	38633.05362
25	37778.70523
26	37051.77858
27	36300.90348
28	35543.51717
29	34859.58993
30	34119.05649
31	33495.21112
32	32861.84914
33	32346.43595
34	31754.16993
35	31254.42089
36	30803.96197
37	30372.56147
38	29889.66224
39	29425.28305
40	29035.48507
41	28611.94453
42	28228.66303
43	27891.17492
44	27527.6651
45	27143.42109
46	26836.32961
47	26478.31544
48	26130.85064
49	25822.89872
50	25536.45432
51	25234.97091
52	24972.32529
53	24748.8979
54	24512.01206
55	24242.53417
56	24025.52245
57	23752.89343
58	23515.52863
59	23327.51128
60	23120.00577
61	22944.02616
62	22771.85962
63	22596.74367
64	22422.65407
65	22271.47414
66	22101.10268
67	21974.9713
68	21793.47509
69	21638.41668
70	21510.84963
71	21357.61087
72	21242.36373
73	21114.18327
74	20997.15492
75	20871.93065
76	20769.25375
77	20691.81769
78	20568.9781
79	20465.95102
80	20352.63345
81	20271.23829
82	20181.71292
83	20087.2731
84	19998.88314
85	19887.54651
86	19782.71497
87	19676.51648
88	19595.65503
89	19511.97389
90	19406.90064
91	19326.15949
92	19254.19182
93	19181.23815
94	19097.89922
95	19010.55995
96	18944.84036
97	18887.80778
98	18821.60777
99	18744.68473
100	18684.76509
101	18615.35315
102	18547.57118
103	18458.32668
104	18395.46844
105	18361.08685
106	18282.68644
107	18232.80171
108	18172.87211
109	18116.4253
110	18069.98836
111	18030.84913
112	17959.75968
113	17898.35042
114	17842.84486
115	17782.98412
116	17739.94588
117	17664.44828
118	17629.02997
119	17566.20981
120	17523.46476
121	17491.39037
122	17451.39065
123	17396.41393
124	17344.82995
125	17296.16815
126	17247.34138
127	17210.69895
128	17179.36649
129	17138.29371
130	17099.93816
131	17060.63185
132	17031.36073
133	17005.12641
134	16959.25543
135	16919.94432
136	16890.37226
137	16840.80514
138	16802.48173
139	16761.23301
140	16708.18678
141	16670.52524
142	16624.37148
143	16586.94443
144	16541.09325
145	16495.35953
146	16451.51281
147	16413.03671
148	16378.75534
149	16368.90714
150	16334.66429
151	16295.72423
152	16265.82214
153	16232.64876
154	16186.22715
155	16161.57193
156	16114.73342
157	16078.33013
158	16045.70169
159	16015.35478
160	15982.17321
161	15940.49221
162	15895.89389
163	15838.07371
164	15811.91388
165	15791.17024
166	15760.20932
167	15730.26008
168	15676.09098
169	15642.72446
170	15619.31432
171	15581.68625
172	15562.36315
173	15516.88457
174	15471.69469
175	15445.61973
176	15420.12594
177	15392.4758
178	15362.12301
179	15323.67423
180	15283.0878
181	15242.40661
182	15195.01532
183	15176.54147
184	15138.11188
185	15110.24322
186	15088.44796
187	15051.97346
188	15017.68601
189	14995.88708
190	14959.79915
191	14921.2324
192	14892.48376
193	14865.30115
194	14824.86125
195	14786.30213
196	14753.69273
197	14724.11504
198	14683.69741
199	14661.58745
200	14635.88646
201	14608.10587
202	14577.25195
203	14537.14227
204	14491.70748
205	14460.13838
206	14425.76237
207	14391.62613
208	14355.99036
209	14312.89213
210	14281.33735
211	14257.30681
212	14239.45601
213	14199.8608
214	14163.39572
215	14142.19605
216	14115.38572
217	14081.24228
218	14065.34412
219	14035.23928
220	13996.05958
221	13970.68841
222	13946.69787
223	13919.26488
224	13901.36292
225	13874.41273
226	13845.16075
227	13818.43095
228	13800.82446
229	13778.87677
230	13753.90406
231	13730.9237
232	13702.78941
233	13664.2105
23235	13853.749523236	13829.837923237	13799.213237238	13763.28564
239	13736.66061
240	13709.64816
241	13688.54765
242	13665.24754
243	13654.6852
244	13645.7285
245	13617.5071
246	13589.47869
247	13561.92605
248	13531.6088
249	13502.47391
250	13470.56283
251	13455.19811
252	13423.60902
253	13393.11635
254	13363.18219
255	13334.50686
256	13300.13819
257	13271.73833
258	13248.76835
259	13233.97501
260	13212.22849
261	13201.28268
262	13193.05295
263	13161.01809
264	13133.30338
265	13109.05854
266	13083.63569
267	13061.27567
268	13032.71915
269	13013.03797
270	12999.10013
271	12972.35609
272	12941.5983
273	12920.05082
274	12893.99376
275	12885.28876
276	12874.03547
277	12849.52153
278	12829.86785
279	12809.37085
280	12801.45045
281	12774.81969
282	12746.29619
283	12721.92038
284	12695.21786
285	12669.04368
286	12646.91069
287	12616.28225
288	12596.47045
289	12573.18134
290	12547.41701
291	12525.04565
292	12500.56467
293	12481.05563
294	12468.29958
295	12445.84748
296	12426.59775
297	12408.58221
298	12387.4251
299	12364.12263
300	12344.03666
301	12329.28778
302	12307.74988
303	12279.91
304	12260.13227
305	12240.96992
306	12216.96859
307	12189.62471
308	12163.52481
309	12150.88912
310	12146.06561
311	12117.17712
312	12108.62384
313	12081.26495
314	12077.34681
315	12058.85183
316	12046.61242
317318	11490.54231319	11462.206831320	11442.522232321	11427.26201
322	11406.71667
323	11397.05221
324	11379.55767
325	11364.67724
326	11348.19297
327	11329.45245
328	11314.171332329	11295.26825
330	11280.67325
331	11258.631333332	11244.4923
333	11227.33598
334	11212.31459
335	11197.02333
336	11188.27465
337	11166.41336
338	11149.24338	339	11141.19339	340	11116.30340	341	11098.21341	11577.45379
342	11560.30695
343	11544.37139
344	11530.93101
345	11510.31876
346	11489.57997
347	11472.89247
348	11450.87771
349	11447.39041
350	11427.18502
351	11408.77757
352	11390.03707
353	11374.86759
354	11355.25145
355	11345.02514
356	11331.97463
357	11312.34717
358	11300.7914
359	11283.07158
360	11266.51723
361	11237.73694
362	11224.90852
363	11206.68496
364	11193.7057
365	11174.15113
366	11169.94988
367	11146.17884
368	11126.99489
369	11119.25759
370	11101.64477
371	11083.03497
372	11069.65305
373	11049.76626
374	11027.20492
375	11008.08091
376	10993.73806
377	10974.11479
378	10955.16358
379	10934.73179
380	10925.06898
381	10912.62911
382	10896.97073
383	10872.02111
384	10858.39487
385	10837.62326
386	10825.43047
387	10809.49077
388	10794.62363
389	10782.28618
390	10769.96776
391	10757.43475
392	10748.51824
393	10729.97765
394	10713.4993
395	10699.04437
396	10681.48075
397	10662.2109
398	10645.7253
399	10626.26035
400	10615.10403
401	10599.38694
402	10586.88995
403	10570.7579
404	10562.45403
405	10548.78598
406	10533.27572
407	10521.54032
408	10510.65986
409	10504.18514
410	10483.70854
411	10470.36942
412	10460.58976
413	10448.06317
414	10432.52016
415	10413.06095
416	10401.18605
417	10388.02055
418	10369.2672
419	10354.04584
420	10345.08561
421	10327.47419
422	10315.22465
423	10303.78347
424	10292.42941
425	10284.5102
426	10272.80161
427	10262.85522
428	10257.97408
429	10246.11133
430	10233.89645
431	10211.33953
432	10201.43655
433	10180.58822
434	10166.67247
435	10158.95168
436	10150.77445
437	10136.56537
438	10121.94572
439	10107.55047
440	10086.09192
441	10070.12534
442	10064.39681
443	10055.47914
444	10042.21864
445	10019.69959
446	10002.90575
447	9988.943515
448	9977.129264
449	9962.581277
450	9952.468486
451	9943.399744
452	9931.947197
453	9919.416294
454	9905.0038
455	9897.903418
456	9888.025218
457	9877.562151
458	9863.922292
459	9847.113625
460	9831.494987
461	9825.850839
462	9811.132336
463	9794.276123
464	9783.358857
465	9768.498389
466	9759.096034
467	9746.170216
468	9733.319846
469	9724.077995
470	9710.805966
471	9699.807805
472	9697.250442
473	9685.779947
474	9672.968925
475	9659.016191
476	9647.794136
477	9634.576106
478	9624.725899
479	9611.989672
480	9601.197689
481	9588.916016
482	9577.298472
483	9561.269232
484	9554.783159
485	9530.183318
486	9514.756803
487	9513.105384
488	9504.567966
489	9487.515547
490	9476.917898
491	9464.301593
492	9447.054511
493	9433.671166
494	9422.730731
495	9407.492232
496	9396.159813
497	9384.49013
498	9378.812396
499	9367.086497
500	9352.612341
501	9341.35137
502	9323.627504
503	9311.022757
