iter	Passed	Remaining
0	5	5192
1	10	5391
2	16	5640
3	26	6720
4	33	6748
5	38	6382
6	53	7649
7	58	7207
8	66	7351
9	74	7360
10	78	7048
11	86	7098
12	91	6963
13	95	6754
14	104	6841
15	112	6905
16	120	6976
17	128	7009
18	132	6861
19	137	6727
20	143	6675
21	147	6577
22	156	6652
23	161	6567
24	166	6494
25	170	6401
26	176	6343
27	180	6264
28	187	6270
29	191	6197
30	197	6158
31	203	6165
32	211	6203
33	217	6186
34	227	6276
35	231	6200
36	237	6173
37	247	6257
38	251	6198
39	256	6158
40	263	6157
41	271	6192
42	281	6255
43	292	6347
44	302	6423
45	309	6424
46	316	6418
47	326	6467
48	330	6412
49	346	6585
50	350	6525
51	356	6502
52	366	6548
53	379	6650
54	386	6633
55	394	6652
56	399	6607
57	404	6564
58	408	6512
59	414	6488
60	421	6495
61	427	6465
62	431	6424
63	441	6450
64	451	6499
65	462	6541
66	468	6520
67	472	6472
68	478	6456
69	484	6438
70	489	6405
71	499	6441
72	504	6406
73	509	6372
74	516	6367
75	520	6329
76	527	6320
77	537	6350
78	545	6364
79	550	6330
80	554	6293
81	558	6255
82	564	6236
83	571	6228
84	585	6299
85	595	6329
86	602	6318
87	612	6344
88	618	6333
89	623	6308
90	631	6304
91	636	6286
92	640	6250
93	646	6231
94	654	6236
95	661	6233
96	668	6220
97	674	6208
98	679	6181
99	685	6167
100	689	6135
101	698	6151
102	708	6169
103	716	6176
104	727	6198
105	734	6198
106	743	6203
107	751	6208
108	764	6246
109	769	6228
110	774	6201
111	779	6176
112	783	6149
113	793	6164
114	798	6145
115	811	6182
116	815	6155
117	829	6203
118	840	6222
119	849	6231
120	859	6246
121	868	6248
122	872	6218
123	877	6197
124	881	6169
125	889	6167
126	894	6148
127	905	6167
128	909	6139
129	913	6115
130	918	6095
131	926	6091
132	932	6079
133	941	6085
134	949	6081
135	954	6066
136	961	6058
137	969	6054
138	973	6028
139	977	6004
140	982	5984
141	986	5959
142	993	5952
143	1001	5951
144	1007	5940
145	1015	5940
146	1023	5937
147	1029	5925
148	1033	5900
149	1034	5862
150	1039	5846
151	1045	5830
152	1052	5827
153	1061	5832
154	1069	5832
155	1076	5823
156	1081	5805
157	1087	5795
158	1092	5776
159	1098	5768
160	1104	5753
161	1109	5737
162	1114	5721
163	1129	5755
164	1132	5733
165	1143	5744
166	1149	5731
167	1155	5723
168	1163	5720
169	1173	5731
170	1182	5731
171	1191	5737
172	1195	5716
173	1200	5696
174	1208	5697
175	1214	5687
176	1220	5673
177	1224	5653
178	1235	5668
179	1241	5653
180	1250	5659
181	1261	5668
182	1271	5674
183	1286	5705
184	1290	5687
185	1300	5692
186	1306	5680
187	1311	5665
188	1318	5656
189	1322	5637
190	1333	5649
191	1347	5669
192	1356	5674
193	1368	5687
194	1374	5672
195	1385	5683
196	1398	5698
197	1405	5694
198	1412	5685
199	1420	5682
200	1425	5668
201	1429	5648
202	1437	5642
203	1441	5624
204	1444	5601
205	1452	5600
206	1456	5577
207	1459	5556
208	1469	5561
209	1474	5548
210	1479	5532
211	1487	5527
212	1491	5510
213	1495	5493
214	1500	5478
215	1505	5465
216	1511	5454
217	1518	5445
218	1521	5426
219	1531	5429
220	1536	5414
221	1539	5394
222	1542	5375
223	1545	5353
224	1550	5339
225	1554	5324
226	1557	5304
227	1561	5285
228	1566	5275
229	1571	5259
